question_id,SNEA-BERT_tau,ROUGE-L_tau,BLEU_tau,BERTScore F1_tau,Sentence-BERT_tau
3,0.3333,0.3333,0.3333,0.3333,0.3333
6,-0.3333,0.3333,0.3333,0.3333,0.3333
14,0.0,0.3333,0.3333,0.3333,0.0
16,0.3333,0.3333,0.3333,0.3333,0.3333
20,0.0,0.3333,0.3333,0.3333,0.3333
23,0.0,0.3333,0.3333,0.0,0.3333
48,0.0,0.3333,0.3333,0.0,0.3333
58,0.0,0.3333,0.3333,0.3333,0.0
63,0.0,0.1826,0.3333,0.3333,0.0
64,0.0,0.3333,0.3333,0.3333,0.0
74,0.3333,0.3333,0.3333,0.3333,0.3333
78,1.0,0.3333,0.3333,0.3333,0.3333
80,0.0,0.3333,0.0,0.3333,0.0
101,0.3333,0.3333,0.3333,0.3333,0.3333
112,0.0,0.3333,0.0,0.3333,0.0
115,0.3333,0.3333,0.3333,0.3333,0.3333
121,0.0,0.3333,0.3333,0.3333,0.3333
147,0.0,0.5477,0.3333,0.6667,0.0
170,0.0,0.3333,0.3333,0.3333,0.3333
200,0.0,0.3333,0.3333,0.3333,0.0
217,0.0,0.3333,0.3333,0.3333,0.3333
222,0.3333,0.6667,0.3333,0.3333,0.3333
226,0.0,0.3333,0.3333,0.3333,0.3333
239,0.0,0.3333,0.3333,0.3333,0.0
248,0.3333,0.6667,0.3333,0.3333,0.3333
249,0.3333,0.3333,0.3333,0.3333,0.0
251,0.0,0.3333,0.3333,0.3333,0.3333
257,0.3333,0.3333,0.3333,0.3333,0.3333
260,0.0,0.3333,0.3333,0.3333,0.3333
269,0.6667,0.3333,0.3333,0.3333,0.3333
270,0.3333,0.3333,0.3333,0.3333,0.3333
277,0.3333,0.6667,0.3333,0.3333,0.3333
278,0.0,0.3333,0.3333,0.0,0.3333
295,0.3333,0.3333,0.3333,0.6667,0.3333
298,0.3333,0.3333,0.3333,0.3333,0.3333
299,0.0,0.3333,0.3333,0.3333,0.3333
321,0.0,0.3333,0.3333,0.3333,0.3333
324,0.0,0.3333,0.3333,0.3333,0.3333
338,0.3333,0.3333,0.3333,0.3333,0.0
343,0.3333,0.3333,0.3333,0.3333,0.3333
352,0.3333,0.3333,0.3333,0.3333,0.0
365,0.3333,0.3333,0.3333,0.3333,0.0
368,0.3333,0.3333,0.0,0.3333,0.3333
384,0.0,0.3333,0.3333,0.3333,0.0
385,0.0,0.6667,0.3333,0.3333,0.3333
386,0.0,0.3333,0.3333,0.6667,0.3333
388,0.0,0.5477,0.3333,0.3333,0.0
417,0.3333,0.3333,0.3333,0.3333,0.3333
418,0.3333,0.3333,0.3333,0.3333,0.0
442,0.0,0.6667,0.3333,0.3333,0.3333
457,0.0,0.3333,0.3333,0.3333,0.3333
462,0.0,0.6667,0.3333,0.6667,0.0
468,0.0,0.3333,0.3333,0.3333,0.3333
493,0.0,0.3333,0.3333,0.3333,0.3333
499,0.3333,0.0,0.0,0.0,0.3333
528,0.3333,0.3333,0.3333,0.6667,0.3333
540,0.0,0.0,0.0,0.0,0.3333
550,0.3333,0.0,0.3333,0.6667,0.3333
551,0.0,0.3333,0.3333,0.3333,0.3333
556,1.0,0.3333,0.3333,0.6667,0.3333
563,0.0,0.3333,0.3333,0.3333,0.0
570,0.3333,0.3333,0.0,0.3333,0.6667
587,0.3333,0.3333,0.3333,0.3333,0.0
594,0.0,0.6667,0.3333,0.3333,0.3333
605,0.0,0.3333,0.0,0.3333,0.3333
608,0.3333,0.5477,0.3333,0.3333,0.3333
663,0.0,0.3333,0.3333,0.3333,0.6667
667,0.3333,0.3333,0.3333,0.6667,0.3333
675,0.3333,0.5477,0.3333,0.6667,0.3333
682,0.0,0.3333,0.3333,0.3333,0.3333
697,0.0,0.3333,0.3333,0.3333,0.3333
703,0.6667,0.3333,0.3333,0.3333,0.3333
708,0.0,0.6667,0.3333,0.6667,0.3333
712,0.0,0.3333,0.3333,0.3333,0.3333
714,0.0,0.3333,0.3333,0.3333,0.3333
719,0.3333,0.3333,0.3333,0.3333,0.3333
739,0.0,0.3333,0.3333,0.3333,0.0
748,0.3333,0.3333,0.3333,0.3333,0.3333
751,0.1826,0.3333,0.3333,0.6667,0.3333
752,0.0,0.3333,0.3333,0.3333,0.0
760,-0.1826,0.3333,0.0,0.0,0.0
768,0.0,0.3333,0.3333,0.3333,0.3333
769,0.3333,0.3333,0.0,0.3333,0.3333
815,0.0,0.3333,0.3333,0.3333,0.3333
817,1.0,0.3333,0.3333,0.3333,0.3333
819,0.3333,0.3333,0.3333,0.3333,0.3333
828,0.3333,0.0,0.3333,0.0,0.3333
844,0.6667,0.3333,0.3333,0.0,0.3333
874,1.0,0.3333,0.3333,0.6667,0.3333
881,0.3333,0.3333,0.3333,0.3333,0.3333
882,0.6667,0.3333,0.3333,0.3333,0.3333
883,0.0,0.3333,0.3333,0.3333,0.0
897,0.6667,0.3333,0.3333,0.6667,0.3333
913,0.3333,0.3333,0.3333,0.3333,0.3333
918,0.6667,0.3333,0.3333,0.0,0.3333
920,0.3333,0.6667,0.3333,0.3333,0.0
931,0.3333,0.6667,0.3333,0.3333,0.3333
963,0.3333,0.3333,0.3333,0.3333,0.3333
969,1.0,0.3333,0.3333,0.3333,0.3333
998,0.3333,0.3333,0.3333,0.3333,0.3333
