row_id,sentence1,sentence2,kg1,kg2,semantic_wl_similarity
0,But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up.,But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.,[],[],0.0
1,Micron has declared its first quarterly profit for three years.,Micron's numbers also marked the first quarterly profit in three years for the DRAM manufacturer.,"[['Micron', 'declared', 'first quarterly profit'], ['Micron', 'type', 'DRAM manufacturer'], ['first quarterly profit', 'occurred in', 'three years']]","[['Micron', 'marked', 'first quarterly profit'], ['Micron', 'type', 'DRAM manufacturer'], ['first quarterly profit', 'occurred in', 'three years']]",0.9968258738517761
2,The fines are part of failed Republican efforts to force or entice the Democrats to return.,"Perry said he backs the Senate's efforts, including the fines, to force the Democrats to return.","[['Republicans', 'made_efforts', 'forced_or_enticed_Democrats'], ['fines', 'used_as', 'Republican_efforts'], ['fines', 'part_of', 'Republican_efforts']]","[['Perry', 'backs', ""Senate's_efforts""], [""Senate's_efforts"", 'includes', 'fines'], ['Perry', 'supports', ""Senate's_efforts""]]",0.5625171065330505
3,"The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate group.","The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate province in North America because of last week's actions.","[['American Anglican Council', 'represents', 'Episcopalian conservatives'], ['American Anglican Council', 'will seek', 'authorization'], ['American Anglican Council', 'will seek', 'creation of a separate group']]","[['American Anglican Council', 'represents', 'Episcopalian conservatives'], ['American Anglican Council', 'will seek', 'authorization'], ['American Anglican Council', 'will seek', 'creation of a separate province'], ['American Anglican Council', 'will seek', 'authorization to create a separate province'], ['American Anglican Council', 'actions', 'last week']]",0.8634514212608337
4,"The tech-loaded Nasdaq composite rose 20.96 points to 1595.91, ending at its highest level for 12 months.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.","[['Nasdaq composite', 'rose', '20.96 points'], ['Nasdaq composite', 'ended_at', '1595.91'], ['Nasdaq composite', 'highest_level_for', '12 months']]","[['Nasdaq Composite Index', 'climbed', '19.11 points'], ['Nasdaq Composite Index', 'increased_by', '1.2 percent'], ['Nasdaq Composite Index', 'ended_at', '1,615.02']]",0.854434609413147
5,"Amgen shares gained 93 cents, or 1.45 percent, to $65.05 in afternoon trading on Nasdaq.",Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,"[['Amgen', 'gained', '93 cents'], ['Amgen', 'gained_percentage', '1.45%'], ['Amgen', 'trading_price', '65.05'], ['Amgen', 'trading_location', 'Nasdaq']]","[['Allergan', 'was_up', '14 cents'], ['Allergan', 'trading_price', '78.40'], ['Allergan', 'trading_location', 'New York Stock Exchange']]",0.44004154205322266
6,U.S. prosecutors have arrested more than 130 individuals and have seized more than $17 million in a continuing crackdown on Internet fraud and abuse.,More than 130 people have been arrested and $17 million worth of property seized in an Internet fraud sweep announced Friday by three U.S. government agencies.,"[['US prosecutors', 'arrested', 'more than 130 individuals'], ['more than 130 individuals', 'seized', 'more than $17 million'], ['Internet fraud and abuse', 'targeted', 'US prosecutors']]","[['three U.S. government agencies', 'announced', 'Internet fraud sweep'], ['Internet fraud sweep', 'resulted in', 'more than 130 arrests'], ['more than 130 arrests', 'resulted in', 'seizure of more than $17 million'], ['Internet fraud and abuse', 'targeted', 'three U.S. government agencies']]",0.7476747632026672
7,"Chavez said investigators feel confident they've got ""at least one of the fires resolved in that regard.""","Albuquerque Mayor Martin Chavez said investigators felt confident that with the arrests they had ""at least one of the fires resolved.""","[['Chavez','role','investigators spokesperson'],['Investigators','feel confident','at least one fire resolved'],['Chavez','said','Investigators feel confident about fire resolution']]","[['Martin Chavez','role','Albuquerque Mayor'],['Investigators','feel confident','at least one fire resolved'],['Arrests','led to','at least one fire resolved'],['Martin Chavez','said','Investigators feel confident about fire resolution'],['Investigators','effect of arrests','confidence in fire resolution']]",0.7128287553787231
8,Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.","[['scientist', 'developed_symptoms', 'SARS'], ['scientist', 'quarantined_himself', 'home']]","[['scientist', 'developed_symptoms', 'SARS'], ['scientist', 'quarantined_himself', 'home']]",0.9999999403953552
9,The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,The upgrade will be available as a free download for current customers with SmarNet support in January 2004.,"[['current customers that have support contracts', 'receive', 'WebVPN software upgrade'], ['WebVPN software upgrade', 'type', 'free software upgrade']]","[['current customers with SmarNet support', 'receive', 'free software upgrade'], ['free software upgrade', 'available_from', 'January 2004']]",0.5583827495574951
