pair_id,response1,response2,label,perturbation_type,dataset_name
0,"The drug sulbenicillin increases the efficacy of mivacurium, while decreasing the efficacy of demegestone. Penimepicycline enhances the efficacy of rocuronium but reduces the efficacy of sultamicillin and sulbenicillin. Rocuronium boosts the efficacy of amdinocillin and azidocillin, but it also has the side effect of injection site swelling. Additionally, flucloxacillin diminishes the efficacy of penimepicycline and has side effects like arthralgia and immune system disorder.","Sulbenicillin increases the efficacy of mivacurium, but decreases the efficacy of demegestone. Penimepicycline increases the efficacy of rocuronium, however it decreases the efficacy of sultamicillin and sulbenicillin. Flucloxacillin decreases the efficacy of penimepicycline and has side effects including arthralgia and immune system disorder. Rocuronium increases the efficacy of amdinocillin and azidocillin, but also has a side effect of injection site swelling.",1,node_replacement,semantic_kg_oregano
1,"The drug bunazosin decreases the efficacy of naphazoline, protokylol, and norfenefrine. Bisoprolol decreases the efficacy of calcium acetate and calcium lactate gluconate. Protokylol increases the efficacy of etilefrine and histapyrrodine. Naphazoline decreases the efficacy of tolazoline, propafenone, and celiprolol. Nadolol increases the efficacy of exenatide and insulin aspart, but decreases the efficacy of moxonidine. Cirazoline decreases the efficacy of bisoprolol, nadolol, and bunazosin.","The drug bunazosin decreases the efficacy of naphazoline, protokylol, and norfenefrine. Additionally, bisoprolol decreases the efficacy of calcium acetate and calcium lactate gluconate. On the other hand, protokylol increases the efficacy of etilefrine and histapyrrodine. The usage of naphazoline reduces the efficacy of tolazoline, propafenone, and celiprolol. Moreover, nadolol can increase the efficacy of exenatide and insulin aspart, but it decreases the efficacy of moxonidine. Lastly, cirazoline decreases the efficacy of bisoprolol, nadolol, and bunazosin.",1,node_removal,semantic_kg_oregano
2,"Buthiazide increases the efficacy of glipizide and decreases the efficacy of verinurad and benzhydrocodone. Torasemide is affecting adducin 1 and has an indication for diuresis. Additionally, torasemide decreases the efficacy of mofebutazone. Estetrol decreases the efficacy of streptomycin, chenodeoxycholic acid, and nigericin. Luseogliflozin decreases the efficacy of torasemide and estetrol, but increases the efficacy of buthiazide.","The drug buthiazide can both increase the efficacy of glipizide and decrease the efficacy of verinurad and benzhydrocodone. Similarly, luseogliflozin can increase the efficacy of buthiazide. 

Torasemide is affecting adducin 1 and has an indication for diuresis. It also decreases the efficacy of mofebutazone.

On the other hand, estetrol decreases the efficacy of streptomycin, chenodeoxycholic acid, and nigericin.",0,edge_deletion,semantic_kg_oregano
3,"The compound 9-deazaguanine increases the activity of the hypotensive activities and decreases the efficacy of halazepam. Pinazepam increases the effect of neuropsychiatric effects, while decreasing the efficacy of 9-deazaguanine and proxyphylline. Proxyphylline has activity in the hyperkalemic activities and decreases the efficacy of delorazepam.","The compound 9-deazaguanine is known to increase the activity of the hypotensive activities, while at the same time decreasing the efficacy of halazepam. Pinazepam has been shown to increase the effect of neuropsychiatric effects, but it decreases the efficacy of 9-deazaguanine and proxyphylline. Proxyphylline has activity related to the hyperkalemic activities, however, it decreases the efficacy of delorazepam.",1,edge_replacement,semantic_kg_oregano
4,"Medazepam increases the neuropsychiatric effects, but decreases the efficacy of metronidazole and theobromine. Lobucavir decreases the efficacy of 1,2-benzodiazepine, medazepam, and doxefazepam. Doxefazepam targets the GABA(A) receptor and has the sedative activities. Additionally, 1,2-benzodiazepine's efficacy is decreased by pentoxifylline, doxofylline, and acefylline.","The drug medazepam decreases the efficacy of metronidazole, theobromine, and also reduces the neuropsychiatric effects. Additionally, lobucavir decreases the efficacy of 1,2-benzodiazepine, medazepam, and doxefazepam. Doxefazepam targets the GABA(A) receptor and has the sedative activities. Furthermore, 1,2-benzodiazepine decreases the efficacy of pentoxifylline, doxofylline, and acefylline.",0,edge_replacement,semantic_kg_oregano
5,"Andexanet alfa decreases the efficacy of several drugs including edetic acid, clorindione, and diphenadione. Diphenadione, in turn, increases the efficacy of levothyroxine but decreases the efficacy of pantothenic acid and formic acid. Cefacetrile decreases the efficacy of dabigatran. Edetic acid decreases the efficacy of cefpiramide, cefacetrile, and rurioctocog alfa pegol. Additionally, clorindione increases the efficacy of ketoconazole and nitroxoline.","Andexanet alfa decreases the efficacy of clorindione. Diphenadione increases the efficacy of levothyroxine but decreases the efficacy of pantothenic acid and formic acid. Cefacetrile decreases the efficacy of dabigatran. Edetic acid decreases the efficacy of cefpiramide, cefacetrile, and rurioctocog alfa pegol. Clorindione increases the efficacy of ketoconazole and nitroxoline.",0,edge_deletion,semantic_kg_oregano
6,"The drug Rimexolone increases the activity of the excretion rate, has an effect on electrolyte imbalance, and decreases the efficacy of Aminoglutethimide. Flurandrenolide causes the side effect of Contact Dermatitis. Aminoglutethimide decreases the efficacy of both Flurandrenolide and Hydrocortisone Aceponate, and targets the SN12K1. Hydrocortisone Aceponate decreases the efficacy of allogeneic processed thymus tissue.","Rimexolone increases the activity of the excretion rate and has the effect of causing electrolyte imbalance. It also decreases the efficacy of aminoglutethimide. Flurandrenolide leads to the side effect of contact dermatitis. Aminoglutethimide decreases the efficacy of both flurandrenolide and hydrocortisone aceponate, and targets sn12k1. Hydrocortisone aceponate further decreases the efficacy of allogeneic processed thymus tissue.",1,edge_replacement,semantic_kg_oregano
7,"Hyodeoxycholic acid decreases the efficacy of norethisterone and gemfibrozil. It also has a target, UDP-glucuronosyltransferase 1-8. Lynestrenol reduces the efficacy of insulin detemir, procaine benzylpenicillin, and hyodeoxycholic acid. Insulin detemir has side effects such as eczema, fatigue, and diabetes mellitus. Procaine benzylpenicillin decreases the efficacy of desogestrel, norelgestromin, and Vibrio cholerae CVD 103-HgR strain live antigen. Norelgestromin targets the androgen receptor and reduces the efficacy of lepirudin.","The medication procaine benzylpenicillin decreases the efficacy of desogestrel, norelgestromin, and the Vibrio cholerae CVD 103-HgR strain live antigen.",0,node_removal,semantic_kg_oregano
8,"The drug nafcillin decreases the efficacy of demeclocycline, felodipine, and seletracetam. Demeclocycline, in turn, decreases the efficacy of sulbenicillin. Seletracetam decreases the efficacy of docusate and sulfate ion. Additionally, felodipine decreases the efficacy of deacetylbisacodyl and frangula purshiana bark while also having the side effect of causing tension.","The drug nafcillin decreases the efficacy of demeclocycline, felodipine, and seletracetam. Demeclocycline, in turn, decreases the efficacy of sulbenicillin. Seletracetam decreases the efficacy of docusate and sulfate ion. Felodipine decreases the efficacy of deacetylbisacodyl and frangula purshiana bark, while also causing the side effect of tension.",1,edge_deletion,semantic_kg_oregano
9,"Tiotropium increases the effect of urinary retention and has the side effect of mouth ulceration. Additionally, tiotropium decreases the efficacy of magnesium. Emetonium iodide decreases the efficacy of linaclotide, magnesium carbonate, and sodium tartrate. Magnesium, in turn, decreases the efficacy of dihydroetorphine, dimetindene, and emetonium iodide. Dihydroetorphine increases the efficacy of pregabalin and lofexidine.","Tiotropium decreases efficacy of magnesium and has a side effect of mouth ulceration, as well as decreasing the effect of urinary retention. Emetonium iodide decreases efficacy of linaclotide, magnesium carbonate, and sodium tartrate. Magnesium decreases efficacy of dihydroetorphine, dimetindene, and emetonium iodide. Dihydroetorphine increases efficacy of pregabalin and lofexidine.",0,edge_replacement,semantic_kg_oregano
10,"The drug acarbose increases the efficacy of trovafloxacin, sulfamerazine, and succinylsulfathiazole. Additionally, sulfaquinoxaline increases the efficacy of acarbose, buformin, and rivoglitazone. On the other hand, buformin both increases the efficacy of moxifloxacin and decreases the efficacy of metolazone and aripiprazole. Furthermore, rivoglitazone decreases the efficacy of goserelin while increasing the efficacy of sarafloxacin and sulfametrole.","The compound glochidone increases the efficacy of trovafloxacin, sulfamerazine, and succinylsulfathiazole. Buformin enhances the efficacy of spathulenol, but decreases the efficacy of marein and cloprostenol. Sulfaquinoxaline boosts the efficacy of glochidone, buformin, and rivoglitazone. Rivoglitazone increases the efficacy of sarafloxacin and sulfametrole, but decreases the efficacy of goserelin.",0,node_replacement,semantic_kg_oregano
11,"The drug nicardipine decreases the activity of effectiveness, decreases the efficacy of emodin, and has a side effect of pericarditis. Additionally, methylcellulose decreases the efficacy of nicardipine, flunarizine, and timepidium.","Nicardipine is known to decrease the activity of effectiveness, decrease the efficacy of emodin, and has a side effect of pericarditis. Methylcellulose, on the other hand, decreases the efficacy of nicardipine, flunarizine, and timepidium.",1,edge_replacement,semantic_kg_oregano
