method,length_bin,avg_length,n_samples,accuracy,f1
AA-KEA (Our Method),"(0, 40]",31.787128712871286,101,0.7920792079207921,0.7529411764705882
BERTScore,"(0, 40]",31.787128712871286,101,0.6237623762376238,0.6346153846153846
sentence-t5-base,"(0, 40]",31.787128712871286,101,0.9207920792079208,0.8947368421052632
ROUGE-L,"(0, 40]",31.787128712871286,101,0.594059405940594,0.5858585858585859
AA-KEA (Our Method),"(40, 60]",50.26158940397351,151,0.6556291390728477,0.717391304347826
BERTScore,"(40, 60]",50.26158940397351,151,0.6754966887417219,0.751269035532995
sentence-t5-base,"(40, 60]",50.26158940397351,151,0.8145695364238411,0.8444444444444444
ROUGE-L,"(40, 60]",50.26158940397351,151,0.7086092715231788,0.7582417582417582
AA-KEA (Our Method),"(60, 80]",68.68141592920354,113,0.6371681415929203,0.7132867132867133
BERTScore,"(60, 80]",68.68141592920354,113,0.7079646017699115,0.7755102040816326
sentence-t5-base,"(60, 80]",68.68141592920354,113,0.7787610619469026,0.8322147651006712
ROUGE-L,"(60, 80]",68.68141592920354,113,0.6814159292035398,0.7534246575342466
AA-KEA (Our Method),"(80, 100]",87.35714285714286,28,0.7142857142857143,0.7894736842105263
BERTScore,"(80, 100]",87.35714285714286,28,0.7142857142857143,0.8
sentence-t5-base,"(80, 100]",87.35714285714286,28,0.7142857142857143,0.8095238095238095
ROUGE-L,"(80, 100]",87.35714285714286,28,0.6785714285714286,0.7567567567567568
AA-KEA (Our Method),"(100, 150]",108.0,7,0.8571428571428571,0.9230769230769231
BERTScore,"(100, 150]",108.0,7,0.7142857142857143,0.8
sentence-t5-base,"(100, 150]",108.0,7,0.8571428571428571,0.9230769230769231
ROUGE-L,"(100, 150]",108.0,7,0.5714285714285714,0.6666666666666666
