row_id,sentence1,sentence2,score
0,A plane is taking off.,An air plane is taking off.,1.0
1,A man is playing a large flute.,A man is playing a flute.,0.76
2,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,0.76
3,Three men are playing chess.,Two men are playing chess.,0.52
4,A man is playing the cello.,A man seated is playing the cello.,0.85
5,Some men are fighting.,Two men are fighting.,0.85
6,A man is smoking.,A man is skating.,0.1
7,The man is playing the piano.,The man is playing the guitar.,0.32
8,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,0.44
9,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,1.0
10,The man hit the other man with a stick.,The man spanked the other man with a stick.,0.84
11,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,0.92
12,A man is playing a flute.,A man is playing a bamboo flute.,0.77
13,A person is folding a piece of paper.,Someone is folding a piece of paper.,0.93
14,A man is running on the road.,A panda dog is running on the road.,0.33
15,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,0.75
16,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,1.0
17,A woman is writing.,A woman is swimming.,0.1
18,A cat is rubbing against baby's face.,A cat is rubbing against a baby.,0.76
19,The man is riding a horse.,A man is riding on a horse.,1.0
20,A man pours oil into a pot.,A man pours wine in a pot.,0.64
21,A man is playing a guitar.,A girl is playing a guitar.,0.56
22,A panda is sliding down a slide.,A panda slides down a slide.,0.92
23,A woman is eating something.,A woman is eating meat.,0.6
24,A woman peels a potato.,A woman is peeling a potato.,1.0
25,The boy fell off his bike.,A boy falls off his bike.,0.96
26,The woman is playing the flute.,A woman is playing a flute.,1.0
27,A rabbit is running from an eagle.,A hare is running from a eagle.,0.84
28,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,0.84
29,A girl is flying a kite.,A girl running is flying a kite.,0.8
30,A man is riding a mechanical bull.,A man rode a mechanical bull.,0.8
31,The man is playing the guitar.,A man is playing a guitar.,0.98
32,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,0.6
33,A man is slicing a bun.,A man is slicing an onion.,0.48
34,A man is pouring oil into a pan.,A man is pouring oil into a skillet.,0.84
35,A lion is playing with people.,A lion is playing with two men.,0.68
36,A dog rides a skateboard.,A dog is riding a skateboard.,1.0
37,Someone is carving a statue.,A man is carving a statue.,0.75
38,A woman is slicing an onion.,A man is cutting an onion.,0.55
39,A woman peels shrimp.,A woman is peeling shrimp.,1.0
40,A woman is frying fish.,A woman is cooking fish.,0.8
41,A woman is playing an electric guitar.,A woman is playing a guitar.,0.72
42,A baby tiger is playing with a ball.,A baby is playing with a doll.,0.32
43,A person is slicing a tomato.,A person is slicing some meat.,0.35
44,A person cuts an onion.,A person is cutting an onion.,1.0
45,A man is playing the piano.,A woman is playing the violin.,0.2
46,A woman is playing the flute.,A man is playing the guitar.,0.2
47,A man is cutting up a potato.,A man is cutting up carrots.,0.47
48,A kid is playing guitar.,A boy is playing a guitar.,0.76
49,A boy is playing guitar.,A man is playing a guitar.,0.64
50,A man is playing guitar.,A boy is playing a guitar.,0.64
51,A little boy is playing a keyboard.,A boy is playing key board.,0.88
52,A man is playing a guitar.,A man is playing an electric guitar.,0.75
53,A dog licks a baby.,A dog is licking a baby.,0.95
54,A woman is slicing an onion.,A man is cutting and onion.,0.64
55,A man is playing the guitar.,A man is playing the drums.,0.31
56,A woman is slicing a pepper.,A woman is cutting a red pepper.,0.79
57,A man is playing the drums.,A man plays the drum.,1.0
58,A woman rides a horse.,A woman is riding a horse.,1.0
59,A man is eating a banana by a tree.,A man is eating a banana.,0.8
60,A cat is playing a key board.,A man is playing two keyboards.,0.32
61,A man chops down a tree with an axe.,A man cut a tree with an axe.,0.95
62,A kid plays with a toy phone.,A little boy plays with a toy phone.,0.7
63,A man is riding a motorcycle.,A man is riding a horse.,0.28
64,A man is riding a motorcycle.,A man is riding a horse.,0.28
65,A squirrel is spinning around in circles.,A squirrel runs around in circles.,0.8
66,A man and a woman are kissing.,A man and woman kiss.,1.0
67,A man is getting into a car.,A man is getting into a car in a garage.,0.77
68,A man is dancing.,A man is talking.,0.12
69,A man is playing the guitar and singing.,A man is playing the guitar.,0.58
70,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,0.84
71,A tiger cub is making a sound.,A tiger is walking around.,0.4
72,A person is slicing onions.,A person is peeling an onion.,0.52
73,A man is playing the piano.,A man is playing the trumpet.,0.32
74,A woman is peeling a potato.,A woman is peeling an apple.,0.4
75,A pankda is eating bamboo.,A panda bear is eating some bamboo.,0.84
76,A person is peeling an onion.,A person is peeling an eggplant.,0.4
77,A monkey pushes another monkey.,The monkey pushed the other monkey.,0.96
78,A squirrel runs around in circles.,A squirrel is moving in circles.,0.88
79,A man is tying his shoe.,A man ties his shoe.,1.0
80,A boy is singing and playing the piano.,A boy is playing the piano.,0.6
81,A dog is eating water melon.,A dog is eating a piece of watermelon.,0.85
82,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,0.85
83,A man is peeling a potato.,A man peeled a potatoe.,0.76
84,A woman is playing a guitar.,A man plays a guitar.,0.48
85,A woman is slicing tomato.,A man is slicing onion.,0.32
86,A man swims underwater.,A woman is swimming underwater.,0.4
87,A man and woman are talking.,A man and woman is eating.,0.32
88,A small dog is chasing a yoga ball.,A dog is chasing a ball.,0.8
89,The men are playing cricket.,The men are playing basketball.,0.44
90,A man rides off on a motorcycle.,A man is riding on a motorcycle.,0.88
91,A man is playing a guitar.,A man is singing and playing a guitar.,0.72
92,The man talked on the telephone.,The man is talking on the phone.,0.72
93,A man is fishing.,A man is exercising.,0.1
94,A man is levitating.,A man is talking.,0.16
95,Two boys are driving.,Two bays are dancing.,0.12
96,A man is riding on a horse.,A girl is riding a horse.,0.52
97,A man is riding a bicycle.,A monkey is riding a bike.,0.4
98,A man is slicing potatoes.,A woman is peeling potato.,0.44
99,A woman is peeling a potato.,A man is slicing potato.,0.48
100,But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up.,But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.,0.8
101,Micron has declared its first quarterly profit for three years.,Micron's numbers also marked the first quarterly profit in three years for the DRAM manufacturer.,0.75
102,The fines are part of failed Republican efforts to force or entice the Democrats to return.,"Perry said he backs the Senate's efforts, including the fines, to force the Democrats to return.",0.5599999999999999
103,"The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate group.","The American Anglican Council, which represents Episcopalian conservatives, said it will seek authorization to create a separate province in North America because of last week's actions.",0.6799999999999999
104,"The tech-loaded Nasdaq composite rose 20.96 points to 1595.91, ending at its highest level for 12 months.","The technology-laced Nasdaq Composite Index <.IXIC> climbed 19.11 points, or 1.2 percent, to 1,615.02.",0.48
105,"Amgen shares gained 93 cents, or 1.45 percent, to $65.05 in afternoon trading on Nasdaq.",Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.,0.2666
106,U.S. prosecutors have arrested more than 130 individuals and have seized more than $17 million in a continuing crackdown on Internet fraud and abuse.,More than 130 people have been arrested and $17 million worth of property seized in an Internet fraud sweep announced Friday by three U.S. government agencies.,0.92
107,"Chavez said investigators feel confident they've got ""at least one of the fires resolved in that regard.""","Albuquerque Mayor Martin Chavez said investigators felt confident that with the arrests they had ""at least one of the fires resolved.""",0.76
108,Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.",0.8400000000000001
109,The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,The upgrade will be available as a free download for current customers with SmarNet support in January 2004.,0.52
110,The man accused of using fake grenades to commandeer a Cuban plane that landed in Key West in April was sentenced Friday to 20 years in prison.,A Cuban architect was sentenced to 20 years in prison Friday for using two fake grenades to hijack a passenger plane from Cuba to Florida in April.,0.8800000000000001
111,"Jim Williams, director of the US-VISIT project, said that by the middle of November, many arriving passengers in Atlanta will be fingerprinted and photographed.","Jim Williams, director of the US-VISIT project, said that by the middle of November, inspectors will be fingerprinting and photographing many foreign passengers arriving in Atlanta.",0.8400000000000001
112,"The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.",The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.,1.0
113,"The Episcopal Church ''is alienating itself from the Anglican Communion,'' said the Very Rev. Peter Karanja, provost of the All Saints Cathedral, in Nairobi.","In Nairobi, the provost of All Saints Cathedral, the Very Reverend Peter Karanja, said the US Episcopal Church was alienating itself from the Anglican Communion.",1.0
114,"Counties with population declines will be Vermillion, Posey and Madison.","Vermillion, Posey and Madison County populations will decline.",1.0
115,"Swartz, indicted in February, had argued that New Hampshire was the wrong place to charge him.","Swartz had sought to have the charges dismissed, saying New Hampshire was the wrong place to charge him.",0.6799999999999999
116,"The last time the survey was conducted, in 1995, those numbers matched.","In 1995, the last survey, those numbers were equal.",1.0
117,Higher courts have ruled that the tablets broke the constitutional separation of church and state.,The federal courts have ruled that the monument violates the constitutional ban against state-established religion.,0.8
118,They were at Raffles Hospital over the weekend for further evaluation.,"They underwent more tests over the weekend, and are now warded at Raffles Hospital.",0.64
119,"When the bomb exploded at the Casa de España, customers were eating dinner and playing bingo.","At the Casa de Espaa, customers were eating dinner and playing bingo when a bomb went off.",1.0
120,Plofsky said the commission won't investigate because the three-year statute of limitations has expired.,"The panel will not begin a formal investigation because the statute of limitations has expired, Plofsky said.",0.8800000000000001
121,"In two weeks, he'll probably send out Peace Rules in the Preakness.",Frankel said Peace Rules will run in the Preakness Stakes on May 17.,0.72
122,"If convicted of the spying charges, he could face the death penalty.",The charges of espionage and aiding the enemy can carry the death penalty.,0.72
123,"The technology-laced Nasdaq Composite Index was up 7.60 points, or 0.46 percent, at 1,653.62.","The broader Standard & Poor's 500 Index <.SPX> shed 2.38 points, or 0.24 percent, at 995.10.",0.16
124,Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Klarman was charged with 16 counts of wire fraud.,0.2799999999999999
125,Entrenched interests are positioning themselves to control the network's chokepoints and they are lobbying the FCC to aid and abet them.,"It may be dying because entrenched interests are positioning themselves to control the Internet's choke-points and they are lobbying the FCC to aid and abet them.""",0.64
126,But church members and observers say they expect that the decision could be problematic for many Episcopalians.,But church members and observers say they anticipate that the decision here could pose doctrinal problems for some Episcopalians who believe the Bible prohibits homosexuality.,0.76
127,Squyres is principal investigator for the Athena payload - a collection of science instruments carted by each rover.,"Steve Squyres, a Cornell University scientist, is principal investigator for the missions' science instruments.",0.8400000000000001
128,"The military said it had killed 12 rebels and captured nine in the campaign so far, for the loss of six soldiers wounded.","The military said it had killed 16 rebels and captured nine in the campaign so far, with one soldier killed and six wounded.",0.6
129,The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.",0.72
130,Express Scripts ESRX.O shares fell 3.6 percent to close at $66.89 on the Nasdaq.,Shares of Express Scripts ESRX.O fell about 4 percent to $66.73 on the Nasdaq in late morning trade.,0.6
131,"One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.","Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.",0.6
132,Police launched an international hunt for Shevaun Pennington after she ran away with 31-year-old Toby Studabaker Saturday.,Shevaun Pennington disappeared on Saturday morning after arranging to meet 31-year-old Toby Studabaker.,0.6
133,"Lawyers and others familiar with the federal investigation say it remains focused on Campbell, though prosecutors declined to discuss the probe.","While federal prosecutors refuse to discuss the investigation, lawyers and others familiar with it say it remains focused on Campbell.",0.96
