method,length_bin,avg_length,n_samples,accuracy,f1
AA-KEA (Our Method),"(0, 40]",36.0,9,1.0,1.0
BERTScore,"(0, 40]",36.0,9,1.0,1.0
sentence-t5-base,"(0, 40]",36.0,9,1.0,1.0
ROUGE-L,"(0, 40]",36.0,9,1.0,1.0
AA-KEA (Our Method),"(40, 60]",53.104166666666664,96,0.9166666666666666,0.8857142857142857
BERTScore,"(40, 60]",53.104166666666664,96,0.75,0.7142857142857143
sentence-t5-base,"(40, 60]",53.104166666666664,96,0.84375,0.7761194029850746
ROUGE-L,"(40, 60]",53.104166666666664,96,0.75,0.7272727272727273
AA-KEA (Our Method),"(60, 80]",69.86942675159236,157,0.9235668789808917,0.9210526315789473
BERTScore,"(60, 80]",69.86942675159236,157,0.7961783439490446,0.8181818181818182
sentence-t5-base,"(60, 80]",69.86942675159236,157,0.89171974522293,0.8888888888888888
ROUGE-L,"(60, 80]",69.86942675159236,157,0.7133757961783439,0.7513812154696132
AA-KEA (Our Method),"(80, 100]",87.97311827956989,93,0.9247311827956989,0.9380530973451328
BERTScore,"(80, 100]",87.97311827956989,93,0.7956989247311828,0.8527131782945736
sentence-t5-base,"(80, 100]",87.97311827956989,93,0.8817204301075269,0.905982905982906
ROUGE-L,"(80, 100]",87.97311827956989,93,0.8172043010752689,0.8702290076335878
AA-KEA (Our Method),"(100, 150]",112.76136363636364,44,0.7954545454545454,0.8571428571428571
BERTScore,"(100, 150]",112.76136363636364,44,0.8409090909090909,0.8985507246376812
sentence-t5-base,"(100, 150]",112.76136363636364,44,0.7727272727272727,0.8571428571428571
ROUGE-L,"(100, 150]",112.76136363636364,44,0.7272727272727273,0.8181818181818182
AA-KEA (Our Method),"(150, 200]",164.0,1,1.0,1.0
BERTScore,"(150, 200]",164.0,1,1.0,1.0
sentence-t5-base,"(150, 200]",164.0,1,1.0,1.0
ROUGE-L,"(150, 200]",164.0,1,1.0,1.0
