pair_id,response1,response2,label,perturbation_type,dataset_name
0,let me remind you that our allies include fervent supporters of this tax .,"i insist on reminding you that among our allies , there are devotees of this tax .",1,similar,sts12
1,"provide with rails , as by laying .",provide with rails .,1,similar,sts12
2,personnel casualty,military personnel lost by death or capture .,0,dissimilar,sts12
3,this gross error is leading russia to political ruin .,and this serious error is taking to russia to its ruin policy .,1,similar,sts12
4,it has a margin of error of plus or minus 4 percentage points .,that poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points .,0,dissimilar,sts12
5,the processing or operation of something,"a set sequence of steps , part of larger computer program .",0,dissimilar,sts12
6,a measurable or quantitative decrease,a sudden sharp decrease in some quantity .,1,similar,sts12
7,"earlier this month , rim had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share .",excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share .,0,dissimilar,sts12
8,"maddox , 87 , cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery , virginia carnes said .","maddox , who had battled cancer since 1983 , cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery .",1,similar,sts12
9,a man shooting a car .,a man is cutting a potato .,0,dissimilar,sts12
10,"we don 't know if any will be sars , "" said dr. james young , ontario 's commissioner of public safety .",""" we 're being hyper-vigilant , "" said dr. james young , ontario 's commissioner of public safety .",0,dissimilar,sts12
11,"unfortunately , others separate on the basis of accumulated hatred .",other separate unfortunately because of an accumulated resentment .,1,similar,sts12
12,a man is playing keyboard .,a person is playing a piano .,0,dissimilar,sts12
13,a man is folding paper .,a woman is slicing a pepper .,0,dissimilar,sts12
14,a plane is landing .,a animated airplane is landing .,0,dissimilar,sts12
15,a cat rapidly swats a kid in the head .,a cat and a boy play together .,0,dissimilar,sts12
16,the who experts didn 't say how many cases in hebei were in rural areas .,"hebei has reported 191 cases and eight deaths , though the who experts did not say how many were in rural areas .",1,similar,sts12
17,iraq 's economy was ravaged during years of u.n. sanctions over ex-president saddam hussein 's 1990 occupation of kuwait and by the u.s.-led war to oust him which ended in april .,iraq 's economy was shattered under former president saddam hussein and by the u.s.-led war to oust him which ended in april .,1,similar,sts12
18,let me remind you that our allies include fervent supporters of this tax .,"i would like to remind you that among our allies , there are ardent supporters of this tax .",1,similar,sts12
