Dataset,Model,Temperature,Mean GoldSim,Mean CtxSim,Mean CUS
MesaQA,Llama-2-7B,0.0,0.6570,0.7236,0.6752
MesaQA,Llama-2-7B,0.3,0.6588,0.7212,0.6762
MesaQA,Llama-2-7B,0.7,0.6580,0.7248,0.6767
MesaQA,Llama-2-7B,1.0,0.6406,0.7026,0.6588
MesaQA,Gemma-7B,0.0,0.6889,0.7031,0.6774
MesaQA,Gemma-7B,0.3,0.7060,0.7217,0.6942
MesaQA,Gemma-7B,0.7,0.7015,0.7045,0.6811
MesaQA,Gemma-7B,1.0,0.6931,0.7013,0.6775
MesaQA,Mistral-7B,0.0,0.6491,0.7356,0.6780
MesaQA,Mistral-7B,0.3,0.6567,0.7585,0.6935
MesaQA,Mistral-7B,0.7,0.6523,0.7287,0.6756
MesaQA,Mistral-7B,1.0,0.6444,0.7223,0.6684
MesaQA,Falcon-7B,0.0,0.6036,0.6458,0.6063
MesaQA,Falcon-7B,0.3,0.6085,0.6571,0.6173
MesaQA,Falcon-7B,0.7,0.5558,0.6122,0.5716
MesaQA,Falcon-7B,1.0,0.4662,0.5195,0.4815
PubMedQA,Llama-2-7B,0.0,0.5220,0.6567,0.5651
PubMedQA,Llama-2-7B,0.3,0.5185,0.6563,0.5632
PubMedQA,Llama-2-7B,0.7,0.5143,0.6594,0.5628
PubMedQA,Llama-2-7B,1.0,0.5087,0.6468,0.5536
PubMedQA,Gemma-7B,0.0,0.5235,0.6401,0.5587
PubMedQA,Gemma-7B,0.3,0.5149,0.6540,0.5601
PubMedQA,Gemma-7B,0.7,0.5153,0.6434,0.5554
PubMedQA,Gemma-7B,1.0,0.5204,0.6319,0.5542
PubMedQA,Mistral-7B,0.0,0.5138,0.7331,0.5923
PubMedQA,Mistral-7B,0.3,0.5121,0.7352,0.5920
PubMedQA,Mistral-7B,0.7,0.5085,0.7314,0.5898
PubMedQA,Mistral-7B,1.0,0.5023,0.7003,0.5746
PubMedQA,Falcon-7B,0.0,0.4541,0.5560,0.4800
PubMedQA,Falcon-7B,0.3,0.4330,0.5165,0.4532
PubMedQA,Falcon-7B,0.7,0.4184,0.5120,0.4451
PubMedQA,Falcon-7B,1.0,0.3852,0.4571,0.4095
