perturbation_type,method,f1,roc_auc,n_samples
edge_replacement,AA-KEA,0.0,,39
edge_replacement,ROUGE-1,0.0,,39
edge_replacement,ROUGE-L,0.0,,39
edge_replacement,BLEU,0.0,,39
edge_replacement,BERTScore,0.0,,39
edge_replacement,Sentence-T5,0.0,,39
paraphrase,AA-KEA,1.0,,200
paraphrase,ROUGE-1,1.0,,200
paraphrase,ROUGE-L,1.0,,200
paraphrase,BLEU,1.0,,200
paraphrase,BERTScore,1.0,,200
paraphrase,Sentence-T5,1.0,,200
edge_deletion,AA-KEA,0.0,,49
edge_deletion,ROUGE-1,0.0,,49
edge_deletion,ROUGE-L,0.0,,49
edge_deletion,BLEU,0.0,,49
edge_deletion,BERTScore,0.0,,49
edge_deletion,Sentence-T5,0.0,,49
node_replacement,AA-KEA,0.0,,50
node_replacement,ROUGE-1,0.0,,50
node_replacement,ROUGE-L,0.0,,50
node_replacement,BLEU,0.0,,50
node_replacement,BERTScore,0.0,,50
node_replacement,Sentence-T5,0.0,,50
node_deletion,AA-KEA,0.0,,50
node_deletion,ROUGE-1,0.0,,50
node_deletion,ROUGE-L,0.0,,50
node_deletion,BLEU,0.0,,50
node_deletion,BERTScore,0.0,,50
node_deletion,Sentence-T5,0.0,,50
