pair_id,response1,response2,label,perturbation_type,dataset_name
0,"Malta is a member of both the Group on Earth Observations and UNESCO. Alejandro Ulloa, a film director and citizen of Spain, passed away in Barcelona, which shares a border with El Prat de Llobregat. Spain holds diplomatic relations with both Bulgaria and Malta and is also a member of the Universal Postal Union.","Moldova is a member of the Arab Fund for Economic and Social Development and UNESCO. Paul Weston, a film director, held citizenship in Spain, where he passed away in Barcelona. Spain is a member of the Club of Rome and maintains diplomatic relations with both Bulgaria and Moldova. Additionally, Barcelona shares a border with El Prat de Llobregat.",0,node_replacement,codex
1,"Taiwan maintains diplomatic relations with several countries, including Saint Lucia, Niue, and Andorra. Additionally, Peru is a member of both the United Nations and Interpol, and it also has diplomatic relations with Taiwan. Saint Lucia is a member of the International Development Association, the International Finance Corporation, and UNESCO. Furthermore, Andorra holds diplomatic relations with Italy and Germany. In terms of individual professions, Christian Meier is a model and businessperson, who is a citizen of Peru.","Taiwan maintains diplomatic relations with several countries, including Saint Lucia, Niue, and Andorra. Additionally, Andorra has diplomatic relations with Italy and Germany. Peru is also engaged in diplomatic relations with Taiwan and is a member of both the United Nations and Interpol. Meanwhile, Saint Lucia participates as a member of the International Development Association, the International Finance Corporation, and UNESCO. Christian Meier, a citizen of Peru, is known for his dual occupation as a model and businessperson.",1,edge_deletion,codex
2,"Richmond is located in Contra Costa County and shares borders with both El Cerrito and Albany. Additionally, San Francisco, which shares borders with Richmond and Alameda, is part of the San Francisco Bay Area. Andrew Halcro, who was born in San Francisco, is a member of the Republican Party and received his education from Willamette University.","Richmond is located in Contra Costa County and shares borders with both El Cerrito and Albany. Additionally, San Francisco shares borders with Richmond and Alameda, and it is part of the San Francisco Bay Area. Andrew Halcro, born in San Francisco, is a member of the Republican Party and was educated at Willamette University.",1,node_replacement,codex
3,"Germany maintains diplomatic relations with Portugal, North Korea, and Eswatini. Maxim Mehmet is a citizen of Germany, where he works as an actor and speaks German. Meanwhile, North Korea is a member of the United Nations Industrial Development Organization and the Non-Aligned Movement, and also has diplomatic relations with Singapore.","Germany maintains diplomatic relations with both Portugal and North Korea. Additionally, Germany is recognized as a country associated with Eswatini. Maxim Mehmet, an actor and citizen of Germany, is fluent in German. North Korea is a member of the United Nations Industrial Development Organization and the Non-Aligned Movement, and it also has diplomatic relations with Singapore.",0,edge_replacement,codex
4,"Switzerland is a member of the Organization for Security and Co-operation in Europe and maintains diplomatic relations with South Korea and Mexico. South Korea is also a member of Interpol, the Organisation for Economic Cooperation and Development, and the Missile Technology Control Regime. Meanwhile, Mexico is a member of the International Atomic Energy Agency and has diplomatic relations with both Norway and Suriname. Norway further engages in diplomatic relations with the European Union, Malaysia, and the Democratic Republic of the Congo. Eric Weber, a politician who speaks German, holds citizenship in Switzerland. Suriname has established diplomatic relations with the People’s Republic of China.","Switzerland is a member of the Organization for Security and Co-operation in Europe, while South Korea is actively involved as a member of several international organizations, including Interpol, the Organisation for Economic Cooperation and Development, and the Missile Technology Control Regime. In addition to these affiliations, Mexico holds membership in the International Atomic Energy Agency and maintains diplomatic relations with Suriname. Suriname also has diplomatic relations with the People's Republic of China. Politically engaged, Eric Weber is a politician who speaks, writes, or uses German. Moreover, Norway fosters diplomatic relations with several entities, including the European Union, Malaysia, and the Democratic Republic of the Congo.",0,edge_deletion,codex
5,"Germany maintains diplomatic relations with both Burundi and Cameroon. Additionally, Germany is a member of the World Trade Organization. Hansjoachim Walther, a mathematician and university teacher, holds German citizenship. Meanwhile, Cameroon is a member of the International Bank for Reconstruction and Development. In Burundi, French serves as an official language, and Burundi also has diplomatic relations with Taiwan.","Germany maintains diplomatic relations with both Burundi and Cameroon. Additionally, Germany is a member of the Australia Group. Hansjoachim Walther, a mathematician and university teacher, holds German citizenship. In Burundi, the official language is Middle High German, and the country also has diplomatic relations with Taiwan. Furthermore, Cameroon is a member of the International Bank for Reconstruction and Development.",0,node_replacement,codex
6,"The United States of America maintains diplomatic relations with Saudi Arabia, New Zealand, and Croatia. New Zealand not only has diplomatic relations with Taiwan but also has Wellington as its capital and is a member of the United Nations. Croatia, which recognizes Croatian as its official language, engages in diplomatic relations with both Hungary and the Philippines. Christine Correa, a citizen of the United States of America, is employed by Columbia University and specializes in voice as her instrument.","The United States of America maintains diplomatic relations with several countries, including Saudi Arabia, New Zealand, and Croatia. New Zealand, known for its capital Wellington, also shares diplomatic ties with Taiwan and is a member of the United Nations. Croatia, whose official language is Croatian, has diplomatic relations with Hungary and the Philippines. Additionally, Christine Correa, a citizen of the United States of America, is employed by Columbia University and utilizes her voice as her instrument.",1,node_replacement,codex
7,"Franz Peter Wirth is a screenwriter and film director who holds citizenship in Germany. Germany maintains diplomatic relations with both the Marshall Islands and Finland, and it is a member of the United Nations Industrial Development Organization. The Marshall Islands shares a border with Nauru and has diplomatic relations with Palau, while also being a member of the Alliance of Small Island States. Furthermore, Finland is a member of the Arctic Council.","Franz Peter Wirth is a screenwriter and film director who holds citizenship in Germany. Germany has diplomatic relations with both the Marshall Islands and Finland, and it is also a member of the United Nations Industrial Development Organization. The Marshall Islands shares a border with Nauru and has diplomatic relations with Palau. Additionally, the Marshall Islands is a member of the Alliance of Small Island States, while Finland is a member of the Arctic Council.",1,edge_replacement,codex
8,"Ivan Savvidi is a businessperson who holds citizenship in Greece and speaks Russian. Greece maintains diplomatic relations with several countries, including the People's Republic of China, Nigeria, and Chile. Additionally, Chile has diplomatic relations with Germany and Hungary, and it is part of Hispanic America. Nigeria is also a member of Interpol.","Ivan Savvidi is a businessperson who holds citizenship in Greece and speaks and writes in Russian. Greece maintains diplomatic relations with several countries, including the People's Republic of China, Nigeria, and Chile. Additionally, Chile has diplomatic relations with Germany and Hungary and is part of Hispanic America. Furthermore, Nigeria is a member of Interpol.",1,edge_deletion,codex
9,"Julius Tandler was a physician and politician who held citizenship in Austria. Austria maintains diplomatic relations with several countries, including Japan and Bangladesh, and is a member of the Australia Group. Bangladesh, for its part, has diplomatic relations with Papua New Guinea and is a member of both Interpol and the International Finance Corporation. Additionally, Japan enjoys diplomatic relations with Greece, Armenia, and Algeria. Notably, Armenia shares a border with the Nakhchivan Autonomous Republic.","Julius Tandler was a physician and politician who held Austrian citizenship. Austria has diplomatic relations with Japan and Bangladesh, and it is a member of the Australia Group. Conversely, Bangladesh maintains diplomatic relations with Papua New Guinea and is a member of both Interpol and the International Finance Corporation. Japan also has diplomatic relations with Greece, Armenia, and Algeria. Additionally, Armenia shares a border with the Nakhchivan Autonomous Republic.",1,node_replacement,codex
