pair_id,response1,response2,label,perturbation_type,dataset_name
0,"The U.S. Economy is closely related to Gross Domestic Product, the global economic slowdown, and innovation. The Gross Domestic Product operates in Mexico and relates to both economic growth and the Canadian economy. Spending impacts the U.S. Economy, while the global economic slowdown has a negative impact on bank stocks. Furthermore, innovation not only affects technology but also has a positive impact on business and significantly influences the jobs market.","The U.S. Economy relates to several key factors including Gross Domestic Product, global economic slowdown, and innovation. The Gross Domestic Product operates in Mexico and also relates to economic growth and the Canadian economy. Additionally, spending impacts the U.S. Economy, while the global economic slowdown has a negative impact on bank stocks. Innovation plays a significant role by impacting technology and the jobs market, and it has a positive impact on business.",1,node_replacement,semantic_kg_findkg
1,"Assad plays a central role in controlling the Syrian Conflict, a situation that has garnered international attention. His actions are closely related to the deployment of chemical weapons, which have been a significant and controversial aspect of the conflict. Additionally, Assad is a key member of the Assad regime, which underpins the political structure supporting his control and influence.","Assad exerts control over the Syrian Conflict, a complex situation involving various factions and international interests. His actions and decisions within this conflict are closely related to the deployment and alleged use of chemical weapons, which has drawn widespread condemnation and scrutiny. Additionally, Assad is a pivotal figure within the Assad regime, implying his integral role and influence within the governing structure that supports him.",1,node_removal,semantic_kg_findkg
2,"Manafort is related to both Paul Manafort and Mueller, and is involved in activities that raise concerns for U.S. banks. These banks, which operate in the United States, play a crucial role in controlling the financial response to potential cyberattacks.","Manafort is connected to both the Secretary of State and Mueller, suggesting a significant network of relationships possibly affecting political and legal domains. In addition to these connections, Manafort also engages in activities that raise funds for charities. These charities, operating within the United States, exercise control over initiatives such as the MeToo Movement, indicating their influence and reach within societal change efforts.",0,node_replacement,semantic_kg_findkg
3,"Paul Achleitner controls Deutsche Bank AG and has a significant impact on Deutsche Bank. Additionally, Paul Achleitner relates to John Cryan, indicating a connection between the two in the context of their roles within the bank.","Paul Achleitner controls Deutsche Bank AG and has a notable impact on Deutsche Bank. Additionally, Paul Achleitner relates to John Cryan, indicating a connection between them within the context of the bank's leadership and strategic direction.",1,node_replacement,semantic_kg_findkg
4,"The ISM relates to trading partners and has a significant impact on both the manufacturing sector and the US economy. The manufacturing sector, in turn, relates to employment and operates within the Canadian economy.","The ISM relates to trading partners and has an impact on the US economy. Furthermore, the manufacturing sector operates in the Canadian economy and relates to employment, highlighting the interconnectedness of these economic components across borders.",0,edge_deletion,semantic_kg_findkg
5,"The Securities and Exchange Commission controls both shareholders and the banking industry, and has a negative impact on the Bitcoin ETF. Shareholders, in turn, impact companies, while William Taylor relates to both the US Government and the Securities and Exchange Commission. Additionally, the US Government relates to the U.S.-China trade dispute and negatively impacts Kellyanne Conway, while it also has an impact on investment in China.","William Taylor relates to the US Government, which impacts investment in China. Additionally, shareholders have an influence on companies, indicating the interconnectedness between these entities in financial and political contexts.",0,node_removal,semantic_kg_findkg
6,"Economic data relates to inflation and has an impact on trade discussions. Additionally, the market is interconnected with economic data and it significantly impacts emerging-market currencies. Furthermore, the market is a member of the United Kingdom, reflecting its broader economic landscape.","Economic data relates to inflation and impacts trade discussions. The market is connected to this economic data and also has an impact on emerging-market currencies. Furthermore, the market is a member of the United Kingdom, indicating its inclusion within this economic framework.",1,node_removal,semantic_kg_findkg
7,"Chinese Steelmakers are noted to negatively impact U.S. Tariffs, which have a cascading effect on multiple fronts. The tariffs impact Beijing and influence the flow of Chinese imports. These measures also have implications for consumers, who, besides being impacted by the tariffs, are members of Alphabet Inc. Additionally, consumer behavior significantly impacts GDP Growth, highlighting the interconnected nature of modern economic systems.","Chinese Steelmakers have a positive impact on U.S. tariffs, adjusting foreign trade dynamics. These U.S. tariffs subsequently affect Beijing, influencing governmental strategy and policy adjustments, while equally impacting the influx of Chinese imports. Moreover, U.S. tariffs play a significant role in shaping consumer behavior and market conditions. Meanwhile, consumers contribute to the composition of market metrics as they are members of Alphabet Inc., a major tech conglomerate, and their spending patterns can influence GDP growth, highlighting the interconnected nature of global economic factors.",0,edge_replacement,semantic_kg_findkg
8,"Blackstone has a significant relationship with Wall Street and actively invests in Switzerland. Furthermore, Blackstone operates in Saudi Arabia. Switzerland is interconnected with various international economic elements, such as trade deficits, the European Union, and China.","Blackstone, a prominent financial entity, has various connections and operations that highlight its significant role in global finance. It relates to Wall Street, showcasing its involvement with one of the world's major financial centers. Furthermore, Blackstone invests in Switzerland, a country known for its banking prowess and strategic economic alliances. In addition to this investment, Blackstone operates in Saudi Arabia, indicating a diverse geographic span of activities. Switzerland itself maintains connections with several important economic factors; it relates to trade deficits, signaling its role in international trade dynamics. Additionally, Switzerland has established relationships with the European Union and China, two influential players in global commerce and economics.",1,node_replacement,semantic_kg_findkg
9,"The investigation, which has an impact on Tesla Inc., is related to Congress, highlighting its broader significance. Robert Swan plays a pivotal role in controlling this investigation, as well as overseeing the Community involved in it. This web of interactions underscores the complexity of the situation and the significant influence Robert Swan holds within this context.","Steve Penny has control over an investigation as well as the Community, guiding the direction and development of both. This investigation impacts Tesla Inc., shedding light on potential influences or outcomes related to the company. Furthermore, the investigation is related to the Military, suggesting broader implications that may affect both sectors.",0,node_replacement,semantic_kg_findkg
10,"The American Federation of Government Employees significantly impacts Federal Workers through its various activities and advocacy. This organization operates within the framework of the US Government, influencing policies and practices that affect the working conditions and benefits of Federal Workers. Additionally, the American Federation of Government Employees has a strong relation to Paychecks, as it actively engages in matters concerning the remuneration and financial welfare of those under its representation.","The American Federation of Government Employees has a significant impact on federal workers, influencing various aspects of their professional lives and working conditions.",0,node_removal,semantic_kg_findkg
11,"Jeff Van Drew has a notable impact on Pelosi and the broader group of House Democrats, influencing political dynamics within the legislative process. Pelosi, a key figure in the U.S. Congress, has operational influence there, directing significant actions such as controlling the response to a government shutdown. Her political maneuvers and decisions often relate to Donald Trump, reflecting the interconnected nature of their political spheres.","Jeff Van Drew has a significant impact on both Pelosi and House Democrats. Pelosi, who operates in the U.S. Congress, plays a notable role in the political landscape and has a relationship with Donald Trump. Additionally, Pelosi has the authority to control events such as government shutdowns.",1,node_replacement,semantic_kg_findkg
12,"Europe plays a significant role in impacting Apple Inc., showing its economic influence on major corporations. As a participant in the dynamics of global inflation, Europe contributes to international economic conditions. Additionally, there is a connection between Europe and New Zealand, suggesting intertwined geopolitical or economic interests. The European Council operates within Europe and controls the European Union, guiding policies and decisions that affect the region. The European Council is also related to Jens Weidmann, indicating potential collaboration or influence in financial leadership within Europe.","Europe has a substantial impact on Apple Inc., influencing its business operations and strategic decisions within the continent. Additionally, Europe actively participates in the analysis and implications of U.S. Employment Data, which is vital to global economic assessments. There is an intricate relationship between Europe and New Zealand, highlighting trade and political connections across the global landscape. The European Council operates within Europe, playing a crucial role in the administrative and political functions of the region. It connects closely with investors, emphasizing its influence on investment decisions and economic policies. Moreover, the European Council controls the European Union, directing policy measures and regulatory frameworks that affect member countries.",0,node_replacement,semantic_kg_findkg
13,"Sam Brownback is related to the US Government and has connections with topics concerning religious freedom. Additionally, his associations extend to the Saudi Government, highlighting his involvement in matters that bridge these entities and subjects.","Sam Brownback has a connection with the US Government, and his work is also related to the advocacy and promotion of religious freedom.",0,node_removal,semantic_kg_findkg
14,"Monetary policy has a significant impact on both unemployment and U.S. stocks, and it is intricately related to the broader economic conditions. The financial sector also plays a crucial role in shaping the dynamics of the stock market. Mark Carney's expertise is closely associated with both inflation and the implementation of monetary policies, and he plays a pivotal role in controlling the financial sector. Inflation, in turn, exerts a negative impact on bond yield while also affecting producer prices.","Monetary policy plays a significant role in influencing unemployment and U.S. stocks, as well as having a broader relationship with general economic conditions. Mark Carney exerts control over the financial sector, which in turn impacts the stock market. In the realm of inflation, it has a negative impact on bond yield, while also affecting producer prices.",0,edge_deletion,semantic_kg_findkg
15,"Phil Flynn, a member of Price Futures, is closely related to the dynamics of oil prices. These oil prices have a significant impact on Gary Cohn and U.S. stocks, while also exerting a negative influence on investor confidence. This interconnectedness illustrates the broader economic implications and market sensitivities tied to fluctuations in oil prices.","Oil prices have an impact on Gary Cohn, who is a prominent figure likely involved in economic policy or financial markets.",0,node_removal,semantic_kg_findkg
16,"Bloomberg has announced an investigation while simultaneously introducing new campaign staff, demonstrating its dynamic involvement in various initiatives. On a related note, ICE controls detention centers and is connected to both Bloomberg and the London Stock Exchange, highlighting its wide sphere of influence. The London Stock Exchange has taken steps to introduce Refinitiv Holdings Ltd., thereby strengthening its position within the finance sector. Furthermore, the Exchange, which operates primarily in the finance sector, maintains a relationship with the city of Shanghai, showcasing its global reach and strategic influence.","Bloomberg has announced an investigation and introduced Campaign Staff, showcasing its active role in current affairs. ICE, which controls Detention Centers, is related to both Bloomberg and the London Stock Exchange. The London Stock Exchange has introduced Refinitiv Holdings Ltd., strengthening its position in the Finance Sector where it operates. Furthermore, the London Stock Exchange is related to the city of Shanghai, indicating global connections in financial markets.",1,edge_deletion,semantic_kg_findkg
17,"Gross Domestic Product relates to economic growth and has a positive impact on the US Economy. It also impacts the global economy. In Ethiopia, there is a connection to the opposition, while the country operates in the aviation industry. Additionally, Ethiopia aims to raise its Gross Domestic Product.","Gross Domestic Product relates to economic growth and has a positive impact on the US economy. Additionally, Gross Domestic Product impacts the global economy. In Ethiopia, the country operates in the aviation industry and has a connection to the opposition. Furthermore, Ethiopia raises its Gross Domestic Product, emphasizing its efforts to enhance economic performance.",1,edge_deletion,semantic_kg_findkg
18,"The Gold Price relates to Barrick Gold Corp., indicating a connection between the value of gold and the performance of this mining company. The Federal-funds Rate impacts the economy and has several connections with risky assets and economic conditions. Furthermore, the economy is related to inflation, and it also significantly impacts small businesses and the Gold Price. These relationships illustrate how these economic factors influence each other in a broader financial context.","The Gold Price relates to Barrick Gold Corp., indicating a connection between gold market trends and this mining company. Additionally, the Federal-funds Rate impacts the economy while also relating to risky assets and economic conditions. As the economy changes, it has a relationship with inflation and simultaneously impacts small businesses. Notably, the economy’s fluctuations also influence the Gold Price, highlighting the interconnectedness of these financial elements.",1,node_replacement,semantic_kg_findkg
19,The Independent Democratic Conference controls the New York state Senate and has a relationship with Gov. Andrew Cuomo. This political entity also has a negative impact on the GOP.,"The Independent Democratic Conference controls the New York state Senate and has a relationship with Gov. Andrew Cuomo. Additionally, the Independent Democratic Conference has a negative impact on the GOP.",1,edge_replacement,semantic_kg_findkg
20,"The White House National Economic Council is closely related to Lawrence Kudlow, who has had an impact on trade policies through his influence and expertise. The council is responsible for producing pivotal figures such as Gary Cohn, contributing to policy directions and economic strategies. Additionally, the White House National Economic Council operates within the realm of financial regulatory policy, shaping the frameworks and guidelines that govern the financial landscape.","The White House National Economic Council plays a pivotal role in producing influential economic figures, including Gary Cohn, by offering strategic guidance and expertise in national economic affairs. Gary Cohn's association with the council underscores the importance of this organization in shaping leadership within the realm of economic policy.",0,node_removal,semantic_kg_findkg
21,"The economy relates to economic mobility and impacts both private-equity and the gold price. House prices, which relate to homeowners and interest rates, experience a decrease that subsequently affects consumer spending. Inflation is connected to the monetary easing program and has an impact on Fed policy. GDP growth influences the economy and is related to both inflation and house prices.","Positive impact relates to emissions and has a significant impact on various financial elements, including private-equity and Chinese depositary receipts. Additionally, cooperation is related to Alejandro Giammattei and is characterized by a decrease in consumer spending while also relating to interest rates. Inflation has a connection to peace efforts and impacts Fed policy, while GDP growth significantly impacts positive impact. Furthermore, GDP growth relates to both inflation and cooperation, indicating a complex interrelationship among these economic factors.",0,node_replacement,semantic_kg_findkg
22,"Elon Musk, under the regulatory control of the U.S. Securities and Exchange Commission (SEC), has a dual impact on the financial landscape. While Musk exerts control over investors, his influence presents a negative impact on the Consumer Confidence Index. Meanwhile, technology companies, which also fall under the regulatory control of the SEC, have significant connections to corporate earnings and consumer products. These companies further influence the broader economic picture by impacting the housing crisis. The SEC not only controls these technology companies and Elon Musk but also extends its regulatory oversight to institutions like Danske Bank.","Elon Musk, despite controlling investors, has a negative impact on the Consumer Confidence Index. At the same time, technology companies have a significant influence on the housing crisis, and they are intrinsically related to corporate earnings as well as consumer products. The U.S. Securities and Exchange Commission exercises regulatory control over technology companies, Elon Musk, and Danske Bank, playing a crucial role in maintaining stability within these entities and their operations.",1,edge_deletion,semantic_kg_findkg
23,"The U.S. Economy significantly impacts various facets of the financial world, including oil prices, tariffs, and government-bond prices. Tariffs, influenced by the U.S. Economy, affect Asian Markets and also have a positive impact on Vietnam while shifting consumer confidence. Treasury Bonds play a crucial role by raising real interest rates and connecting to U.S. government debt. Moreover, U.S. Government Bond Yields exert a positive influence on investor appetite, and they impact both Treasury Bonds and the broader U.S. Economy, intertwining these elements in the complex dynamics of the financial system.","The U.S. Economy exerts significant influence by impacting oil prices, tariffs, and government-bond prices. Tariffs, in turn, affect Asian markets, have a positive impact on Vietnam, and influence consumer confidence. Treasury Bonds, intertwined with U.S. government debt, contribute to raising real interest rates. Furthermore, U.S. Government Bond Yields have a positive impact on investor appetite and influence the dynamics of Treasury Bonds. These yields also play a role in impacting the U.S. Economy itself, illustrating a complex interplay within these economic elements.",1,node_removal,semantic_kg_findkg
24,"Poland maintains important connections with both the United States and the North Atlantic Treaty Organization, reflecting geopolitical and strategic relationships. Within Poland, the Law and Justice party operates as a significant political entity, controlling policies such as the retirement age. This party also has associations with nationalism, influencing its ideological and policy directions.","Poland maintains a relationship with both the United States and the North Atlantic Treaty Organization, underscoring its geopolitical and economic connections to these entities. Meanwhile, on the domestic front, the Law and Justice party operates within Poland, influencing the country's political landscape and policies in alignment with its relationships on the international stage.",0,node_removal,semantic_kg_findkg
25,"Justice Brett Kavanaugh is associated with several individuals and entities, including George Bush, Christine Blasey Ford, and the judiciary. Similarly, Andrew McCabe has connections to the Federal Bureau of Investigation, Hillary Clinton, and the United States. A subpoena, which is a legal document, is linked to the context of an impeachment inquiry. The New York Times has made announcements regarding key figures and events, such as publishing information about Andrew McCabe, the issuance of a subpoena, and news concerning Justice Brett Kavanaugh.","Justice Brett Kavanaugh has connections to George Bush, Christine Blasey Ford, and the Judiciary, highlighting his involvement in significant political and legal spheres. The New York Times announced matters involving Justice Brett Kavanaugh, Andrew McCabe, and the issuance of a subpoena, showing its role in reporting major legal proceedings and inquiries. The subpoena is connected to an impeachment inquiry, which signifies its importance in significant legal processes. Andrew McCabe is related to the Federal Bureau of Investigation, Hillary Clinton, and the broader context of the United States, indicating his prominence in national affairs.",1,node_replacement,semantic_kg_findkg
26,"The United States Senate has a pivotal role in legislative processes and has the authority to control bills, which may impact regions such as Hong Kong, depending on their content and implications. Moreover, the Senate is related to the Democratic Party, influencing its activities and decisions. Additionally, the Senate has a connection to Michael Pompeo, likely in terms of policy discussions or confirmations in his roles, demonstrating its multifaceted involvement in political matters.","The United States Senate is related to Michael Pompeo, reflecting a connection that may involve legislative oversight, confirmation processes, or collaborative discussions on matters of national and international policy.",0,node_removal,semantic_kg_findkg
