method,length_bin,avg_length,n_samples,accuracy,f1
AA-KEA (Our Method),"(0, 40]",31.958333333333332,60,0.7166666666666667,0.6909090909090909
BERTScore,"(0, 40]",31.958333333333332,60,0.65,0.6557377049180327
sentence-t5-base,"(0, 40]",31.958333333333332,60,0.8,0.7391304347826086
ROUGE-L,"(0, 40]",31.958333333333332,60,0.5666666666666667,0.59375
AA-KEA (Our Method),"(40, 60]",50.93684210526316,95,0.7263157894736842,0.7678571428571429
BERTScore,"(40, 60]",50.93684210526316,95,0.6842105263157895,0.7457627118644068
sentence-t5-base,"(40, 60]",50.93684210526316,95,0.7263157894736842,0.7450980392156863
ROUGE-L,"(40, 60]",50.93684210526316,95,0.5684210526315789,0.6771653543307087
AA-KEA (Our Method),"(60, 80]",69.74369747899159,119,0.7394957983193278,0.7973856209150327
BERTScore,"(60, 80]",69.74369747899159,119,0.680672268907563,0.7654320987654321
sentence-t5-base,"(60, 80]",69.74369747899159,119,0.7647058823529411,0.8133333333333334
ROUGE-L,"(60, 80]",69.74369747899159,119,0.6386554621848739,0.7542857142857143
AA-KEA (Our Method),"(80, 100]",88.83333333333333,72,0.8055555555555556,0.8478260869565217
BERTScore,"(80, 100]",88.83333333333333,72,0.75,0.8163265306122449
sentence-t5-base,"(80, 100]",88.83333333333333,72,0.75,0.7906976744186046
ROUGE-L,"(80, 100]",88.83333333333333,72,0.6944444444444444,0.7924528301886793
AA-KEA (Our Method),"(100, 150]",111.99056603773585,53,0.6226415094339622,0.7058823529411765
BERTScore,"(100, 150]",111.99056603773585,53,0.660377358490566,0.7567567567567568
sentence-t5-base,"(100, 150]",111.99056603773585,53,0.6415094339622641,0.6885245901639344
ROUGE-L,"(100, 150]",111.99056603773585,53,0.660377358490566,0.7428571428571429
AA-KEA (Our Method),"(150, 200]",162.0,1,1.0,1.0
BERTScore,"(150, 200]",162.0,1,1.0,1.0
sentence-t5-base,"(150, 200]",162.0,1,1.0,1.0
ROUGE-L,"(150, 200]",162.0,1,0.0,0.0
