method,length_bin,avg_length,n_samples,accuracy,f1
AA-KEA (Our Method),"(60, 80]",80.0,6,0.8333333333333334,0.9090909090909091
BERTScore,"(60, 80]",80.0,6,0.6666666666666666,0.8
sentence-t5-base,"(60, 80]",80.0,6,1.0,1.0
ROUGE-L,"(60, 80]",80.0,6,0.8333333333333334,0.9090909090909091
AA-KEA (Our Method),"(80, 100]",91.69186046511628,86,0.813953488372093,0.8596491228070176
BERTScore,"(80, 100]",91.69186046511628,86,0.7209302325581395,0.8032786885245902
sentence-t5-base,"(80, 100]",91.69186046511628,86,0.7325581395348837,0.8099173553719008
ROUGE-L,"(80, 100]",91.69186046511628,86,0.6744186046511628,0.7777777777777778
AA-KEA (Our Method),"(100, 150]",119.05116279069767,215,0.827906976744186,0.8477366255144033
BERTScore,"(100, 150]",119.05116279069767,215,0.7209302325581395,0.7744360902255639
sentence-t5-base,"(100, 150]",119.05116279069767,215,0.7302325581395349,0.7867647058823529
ROUGE-L,"(100, 150]",119.05116279069767,215,0.6604651162790698,0.7456445993031359
AA-KEA (Our Method),"(150, 200]",172.05645161290323,62,0.7096774193548387,0.7692307692307693
BERTScore,"(150, 200]",172.05645161290323,62,0.6774193548387096,0.7435897435897436
sentence-t5-base,"(150, 200]",172.05645161290323,62,0.7258064516129032,0.7792207792207793
ROUGE-L,"(150, 200]",172.05645161290323,62,0.5483870967741935,0.6818181818181818
