perturbation_type,method,f1,roc_auc,n_samples
node_replacement,AA-KEA,0.9629629629629629,0.9311224489795918,56
node_replacement,ROUGE-1,0.9180327868852459,0.9681122448979591,56
node_replacement,ROUGE-L,0.8813559322033898,0.9170918367346939,56
node_replacement,BLEU,0.8620689655172413,0.9119897959183673,56
node_replacement,BERTScore,0.9333333333333333,0.975765306122449,56
node_replacement,Sentence-T5,0.9655172413793104,0.9528061224489797,56
node_removal,AA-KEA,0.9841269841269841,0.96875,64
node_removal,ROUGE-1,0.9846153846153847,0.9892578125,64
node_removal,ROUGE-L,0.9393939393939394,0.9794921875,64
node_removal,BLEU,0.9846153846153847,0.990234375,64
node_removal,BERTScore,0.9846153846153847,0.9931640625,64
node_removal,Sentence-T5,0.9696969696969697,0.9951171875,64
edge_deletion,AA-KEA,0.9702970297029703,0.9620931952662722,104
edge_deletion,ROUGE-1,0.696969696969697,0.7080251479289941,104
edge_deletion,ROUGE-L,0.6923076923076923,0.6621671597633136,104
edge_deletion,BLEU,0.6865671641791045,0.6723372781065089,104
edge_deletion,BERTScore,0.773109243697479,0.8724112426035503,104
edge_deletion,Sentence-T5,0.7086614173228346,0.7374260355029586,104
edge_replacement,AA-KEA,0.6666666666666666,0.8088842975206612,176
edge_replacement,ROUGE-1,0.6779661016949152,0.6595428719008265,176
edge_replacement,ROUGE-L,0.8,0.8507231404958678,176
edge_replacement,BLEU,0.6923076923076923,0.7213326446280991,176
edge_replacement,BERTScore,0.6666666666666666,0.6202221074380165,176
edge_replacement,Sentence-T5,0.7909604519774012,0.8636363636363636,176
