dataset,perturbation_type,label,kg1_precision,kg1_recall,kg1_f1,kg1_our_triples,kg1_gt_triples,kg2_precision,kg2_recall,kg2_f1,kg2_our_triples,kg2_gt_triples,gt_modified_triples,detected_modifications,modification_detection_acc
codex,node_removal,1,0.3,0.3,0.3,10,10,0.0,0.0,0.0,10,1,9,0,0.0
codex,edge_deletion,1,0.0,0.0,0.0,0,16,0.0,0.0,0.0,0,12,4,0,0.0
codex,node_replacement,0,0.1111,0.1111,0.1111,9,9,0.1111,0.1111,0.1111,9,9,10,2,0.2
codex,node_replacement,1,0.2222,0.2222,0.2222,9,9,0.0,0.0,0.0,9,9,16,0,0.0
codex,edge_deletion,0,0.4,0.4,0.4,10,10,0.5,0.5,0.5,8,8,2,0,0.0
codex,node_removal,0,0.4615,0.4615,0.4615,13,13,0.4,0.4,0.4,10,10,3,2,0.6667
codex,edge_replacement,1,0.5,0.5,0.5,10,10,0.5,0.5,0.5,10,10,2,0,0.0
codex,edge_deletion,0,0.2222,0.2222,0.2222,9,9,0.2857,0.2857,0.2857,7,7,2,0,0.0
codex,node_replacement,1,0.3636,0.3636,0.3636,11,11,0.1818,0.1818,0.1818,11,11,12,0,0.0
codex,node_replacement,0,0.5,0.4545,0.4762,10,11,0.4545,0.4545,0.4545,11,11,8,4,0.5
codex,node_removal,0,0.2778,0.2778,0.2778,18,18,0.5,0.5,0.5,2,2,16,4,0.25
codex,node_replacement,1,0.1111,0.1111,0.1111,9,9,0.0,0.0,0.0,9,9,12,0,0.0
codex,node_replacement,0,0.4444,0.4444,0.4444,9,9,0.4444,0.4444,0.4444,9,9,10,2,0.2
codex,node_removal,0,0.3333,0.3333,0.3333,9,9,0.5,0.5,0.5,2,2,7,2,0.2857
codex,node_removal,0,0.2727,0.2727,0.2727,11,11,0.5,0.5,0.5,2,2,9,2,0.2222
codex,edge_replacement,0,0.3333,0.3333,0.3333,9,9,0.3333,0.3333,0.3333,9,9,2,0,0.0
codex,edge_replacement,1,0.4667,0.4667,0.4667,15,15,0.4667,0.4667,0.4667,15,15,2,0,0.0
codex,edge_deletion,1,0.4286,0.4615,0.4444,14,13,0.4286,0.5455,0.48,14,11,2,0,0.0
codex,edge_deletion,1,0.1,0.0909,0.0952,10,11,0.1,0.125,0.1111,10,8,3,0,0.0
codex,edge_replacement,1,0.0909,0.1111,0.1,11,9,0.1,0.1111,0.1053,10,9,2,0,0.0
codex,edge_deletion,0,0.2667,0.2667,0.2667,15,15,0.2143,0.25,0.2308,14,12,3,1,0.3333
codex,node_replacement,0,0.0909,0.0909,0.0909,11,11,0.0909,0.0909,0.0909,11,11,20,2,0.1
codex,edge_replacement,1,0.4545,0.4545,0.4545,11,11,0.4545,0.4545,0.4545,11,11,2,0,0.0
codex,node_removal,1,0.6364,0.6364,0.6364,11,11,0.3636,0.5714,0.4444,11,7,4,0,0.0
codex,node_removal,0,0.3333,0.3333,0.3333,9,9,0.3333,0.3333,0.3333,6,6,3,1,0.3333
codex,edge_replacement,1,0.4375,0.4375,0.4375,16,16,0.4375,0.4375,0.4375,16,16,2,0,0.0
codex,node_replacement,0,0.5556,0.5556,0.5556,9,9,0.6667,0.6667,0.6667,9,9,16,9,0.5625
codex,edge_deletion,1,0.4444,0.4444,0.4444,9,9,0.4,0.5714,0.4706,10,7,2,0,0.0
codex,node_removal,1,0.4167,0.4167,0.4167,12,12,0.0769,1.0,0.1429,13,1,11,0,0.0
codex,node_replacement,0,0.2727,0.3,0.2857,11,10,0.3333,0.4,0.3636,12,10,14,5,0.3571
codex,node_replacement,1,0.6,0.6,0.6,10,10,0.1,0.1,0.1,10,10,18,0,0.0
codex,node_replacement,0,0.5,0.5385,0.5185,14,13,0.5,0.5385,0.5185,14,13,20,10,0.5
codex,node_removal,1,0.2308,0.25,0.24,13,12,0.0,0.0,0.0,13,9,3,0,0.0
codex,node_replacement,0,0.4167,0.4167,0.4167,12,12,0.4167,0.4167,0.4167,12,12,20,8,0.4
codex,node_removal,1,0.3846,0.3846,0.3846,13,13,0.0,0.0,0.0,13,1,12,0,0.0
codex,edge_deletion,0,0.2941,0.3333,0.3125,17,15,0.3846,0.4545,0.4167,13,11,4,0,0.0
codex,node_replacement,0,0.3846,0.3846,0.3846,13,13,0.3846,0.3846,0.3846,13,13,20,8,0.4
codex,node_removal,1,0.4286,0.4286,0.4286,14,14,0.1429,1.0,0.25,14,2,12,0,0.0
codex,node_replacement,0,0.3333,0.3333,0.3333,12,12,0.25,0.25,0.25,12,12,18,5,0.2778
codex,node_replacement,0,0.2222,0.2222,0.2222,9,9,0.2222,0.2222,0.2222,9,9,12,2,0.1667
codex,edge_deletion,1,0.6,0.6,0.6,15,15,0.6,0.75,0.6667,15,12,3,0,0.0
codex,edge_replacement,0,0.2,0.2,0.2,10,10,0.3,0.3,0.3,10,10,2,1,0.5
codex,node_replacement,0,0.2727,0.2727,0.2727,11,11,0.2727,0.2727,0.2727,11,11,16,4,0.25
codex,edge_deletion,0,0.25,0.25,0.25,12,12,0.3,0.3333,0.3158,10,9,3,0,0.0
codex,edge_deletion,0,0.125,0.125,0.125,16,16,0.1429,0.1538,0.1481,14,13,3,0,0.0
codex,node_replacement,1,0.4545,0.4167,0.4348,11,12,0.0909,0.0833,0.087,11,12,16,0,0.0
codex,node_replacement,0,0.3571,0.4167,0.3846,14,12,0.4286,0.5,0.4615,14,12,10,4,0.4
codex,node_replacement,0,0.4545,0.4545,0.4545,11,11,0.4545,0.4545,0.4545,11,11,16,8,0.5
codex,node_removal,0,0.3333,0.3636,0.3478,12,11,0.25,1.0,0.4,4,1,10,3,0.3
codex,node_removal,0,0.2222,0.2222,0.2222,9,9,0.1667,0.1667,0.1667,6,6,3,1,0.3333
codex,edge_replacement,0,0.3636,0.3636,0.3636,11,11,0.3636,0.3636,0.3636,11,11,2,0,0.0
codex,node_removal,1,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0,7,2,0,0.0
codex,node_removal,1,0.1667,0.2,0.1818,12,10,0.0909,0.1667,0.1176,11,6,4,0,0.0
codex,node_removal,0,0.4286,0.4286,0.4286,14,14,0.75,0.75,0.75,4,4,10,3,0.3
codex,node_replacement,1,0.1111,0.1111,0.1111,9,9,0.0,0.0,0.0,9,9,16,0,0.0
codex,edge_replacement,0,0.5833,0.5833,0.5833,12,12,0.5833,0.5833,0.5833,12,12,2,0,0.0
codex,node_replacement,0,0.0,0.0,0.0,12,10,0.0,0.0,0.0,12,10,14,0,0.0
codex,edge_replacement,1,0.4545,0.4545,0.4545,11,11,0.4545,0.4545,0.4545,11,11,2,0,0.0
codex,edge_deletion,0,0.3529,0.3529,0.3529,17,17,0.5,0.5,0.5,12,12,5,0,0.0
codex,node_replacement,0,0.6,0.6,0.6,10,10,0.6,0.6,0.6,10,10,16,10,0.625
codex,edge_deletion,0,0.5455,0.5455,0.5455,11,11,0.6667,0.6667,0.6667,9,9,2,0,0.0
codex,edge_replacement,0,0.3333,0.3333,0.3333,9,9,0.3333,0.3333,0.3333,9,9,2,0,0.0
codex,edge_deletion,1,0.5,0.5,0.5,14,14,0.5,0.6364,0.56,14,11,3,0,0.0
codex,edge_replacement,1,0.4444,0.4444,0.4444,9,9,0.4444,0.4444,0.4444,9,9,2,0,0.0
codex,node_removal,0,0.25,0.25,0.25,12,12,0.3333,0.3333,0.3333,3,3,9,2,0.2222
codex,edge_deletion,0,0.3333,0.3333,0.3333,9,9,0.3,0.4286,0.3529,10,7,2,0,0.0
codex,edge_deletion,0,0.2778,0.2778,0.2778,18,18,0.4,0.4615,0.4286,15,13,5,0,0.0
codex,node_replacement,1,0.3846,0.3846,0.3846,13,13,0.0769,0.0769,0.0769,13,13,18,0,0.0
codex,node_replacement,1,0.6923,0.6923,0.6923,13,13,0.1538,0.1538,0.1538,13,13,20,0,0.0
codex,edge_deletion,1,0.4667,0.4667,0.4667,15,15,0.4667,0.6364,0.5385,15,11,4,0,0.0
codex,node_replacement,0,0.2222,0.2222,0.2222,9,9,0.2,0.2222,0.2105,10,9,12,4,0.3333
codex,node_removal,1,0.5,0.5,0.5,10,10,0.1,1.0,0.1818,10,1,9,0,0.0
codex,edge_deletion,0,0.4167,0.5,0.4545,12,10,0.625,0.625,0.625,8,8,2,0,0.0
codex,node_replacement,0,0.4545,0.4545,0.4545,11,11,0.4545,0.4545,0.4545,11,11,14,8,0.5714
codex,edge_deletion,0,0.4375,0.4375,0.4375,16,16,0.5385,0.5385,0.5385,13,13,3,0,0.0
codex,edge_replacement,1,0.0909,0.0909,0.0909,11,11,0.1,0.0909,0.0952,10,11,2,0,0.0
codex,node_removal,1,0.3889,0.3889,0.3889,18,18,0.1667,0.375,0.2308,18,8,10,0,0.0
codex,edge_deletion,1,0.2727,0.3,0.2857,11,10,0.25,0.375,0.3,12,8,2,0,0.0
codex,edge_deletion,1,0.1818,0.1818,0.1818,11,11,0.3636,0.4444,0.4,11,9,2,0,0.0
codex,node_replacement,0,0.3,0.3,0.3,10,10,0.3,0.3,0.3,10,10,8,4,0.5
codex,node_removal,1,0.4545,0.4545,0.4545,11,11,0.2727,0.3333,0.3,11,9,2,0,0.0
codex,edge_replacement,0,0.3333,0.3333,0.3333,9,9,0.2222,0.2222,0.2222,9,9,2,1,0.5
codex,node_removal,0,0.1818,0.1818,0.1818,11,11,0.0,0.0,0.0,5,5,6,2,0.3333
codex,edge_replacement,1,0.2222,0.2222,0.2222,9,9,0.2222,0.2222,0.2222,9,9,2,0,0.0
codex,node_removal,1,0.1,0.1111,0.1053,10,9,0.0,0.0,0.0,9,6,3,0,0.0
codex,node_replacement,1,0.6,0.6,0.6,10,10,0.1,0.1,0.1,10,10,18,0,0.0
codex,node_removal,0,0.5833,0.5833,0.5833,12,12,0.5,0.5,0.5,2,2,10,6,0.6
codex,node_replacement,1,0.5455,0.5455,0.5455,11,11,0.0909,0.0909,0.0909,11,11,20,0,0.0
codex,edge_replacement,1,0.2308,0.2308,0.2308,13,13,0.2308,0.2308,0.2308,13,13,4,0,0.0
codex,node_removal,0,0.5714,0.5714,0.5714,14,14,0.5556,0.5556,0.5556,9,9,5,3,0.6
codex,node_replacement,0,0.5,0.5,0.5,10,10,0.5,0.5,0.5,10,10,10,4,0.4
codex,node_replacement,1,0.4444,0.4444,0.4444,9,9,0.3333,0.3333,0.3333,9,9,10,0,0.0
codex,edge_deletion,1,0.2857,0.2857,0.2857,14,14,0.2857,0.4,0.3333,14,10,4,0,0.0
codex,edge_replacement,0,0.25,0.2222,0.2353,8,9,0.25,0.2222,0.2353,8,9,2,0,0.0
codex,node_replacement,1,0.3333,0.3333,0.3333,9,9,0.1111,0.1111,0.1111,9,9,8,0,0.0
codex,edge_deletion,0,0.5455,0.5455,0.5455,11,11,0.6667,0.6667,0.6667,9,9,2,0,0.0
codex,node_removal,1,0.4706,0.4706,0.4706,17,17,0.1765,0.375,0.24,17,8,9,0,0.0
codex,edge_deletion,1,0.0,0.0,0.0,12,9,0.0,0.0,0.0,12,7,2,0,0.0
codex,node_replacement,1,0.1667,0.1667,0.1667,12,12,0.0,0.0,0.0,12,12,16,0,0.0
codex,node_replacement,1,0.2,0.2222,0.2105,10,9,0.0,0.0,0.0,9,9,18,0,0.0
codex,node_removal,1,0.3333,0.3333,0.3333,9,9,0.0,0.0,0.0,9,3,6,0,0.0
codex,node_replacement,0,0.25,0.25,0.25,12,12,0.25,0.25,0.25,12,12,6,2,0.3333
codex,edge_replacement,1,0.0,0.0,0.0,0,14,0.0,0.0,0.0,0,14,2,0,0.0
codex,node_removal,0,0.3846,0.4545,0.4167,13,11,0.0,0.0,0.0,6,5,6,5,0.8333
