pair_id,paragraph_1,paragraph_2,kg_1,kg_2,aa_kea_similarity
0,"Germany maintains diplomatic relations with South Korea and Afghanistan. Additionally, Germany is a member of the Universal Postal Union. Ralf Christoffers is a politician who speaks, writes, and signs in German, and he holds German citizenship. Afghanistan, a nation where the predominant religion is Islam, also has diplomatic relations with Norway and Canada. South Korea participates as a member of both the International Hydrographic Organization and the World Trade Organization, while it holds diplomatic relations with Iran. Meanwhile, Canada has diplomatic relations with Belgium and Singapore, and it is a member of the International Centre for Settlement of Investment Disputes.","Germany is a member of the Universal Postal Union. Ralf Christoffers is a politician who speaks, writes, or signs in German. Afghanistan is predominantly a country where Islam is practiced and it has diplomatic relations with Norway. South Korea is a member of the International Hydrographic Organization and the World Trade Organization, while also maintaining diplomatic relations with Iran. Additionally, Canada has established diplomatic relations with both Belgium and Singapore and is a member of the International Centre for Settlement of Investment Disputes.","[[""Germany"", ""diplomaticRelations"", ""South_Korea""], [""Germany"", ""diplomaticRelations"", ""Afghanistan""], [""Germany"", ""member"", ""Universal_Postal_Union""], [""Ralf_Christoffers"", ""citizenship"", ""Germany""], [""Ralf_Christoffers"", ""language"", ""German""], [""Afghanistan"", ""diplomaticRelations"", ""Norway""], [""Afghanistan"", ""diplomaticRelations"", ""Canada""], [""Afghanistan"", ""religion"", ""Islam""], [""South_Korea"", ""member"", ""International_Hydrographic_Organization""], [""South_Korea"", ""member"", ""World_Trade_Organization""], [""South_Korea"", ""diplomaticRelations"", ""Iran""], [""Canada"", ""diplomaticRelations"", ""Belgium""], [""Canada"", ""diplomaticRelations"", ""Singapore""], [""Canada"", ""member"", ""International_Centre_for_Settlement_of_Investment_Disputes""]]","[[""Germany"", ""member"", ""Universal_Postal_Union""], [""Ralf_Christoffers"", ""language"", ""German""], [""Afghanistan"", ""diplomaticRelations"", ""Norway""], [""South_Korea"", ""member"", ""International_Hydrographic_Organization""], [""South_Korea"", ""member"", ""World_Trade_Organization""], [""South_Korea"", ""diplomaticRelations"", ""Iran""], [""Afghanistan"", ""religion"", ""Islam""], [""Canada"", ""diplomaticRelations"", ""Belgium""], [""Canada"", ""diplomaticRelations"", ""Singapore""], [""Canada"", ""member"", ""International_Centre_for_Settlement_of_Investment_Disputes""], [""Germany"", ""diplomaticRelations"", ""Afghanistan""]]",0.8888888888888888
1,"Trinidad and Tobago is named after Trinidad and maintains diplomatic relations with Taiwan. The United States of America also has diplomatic relations with Trinidad and Tobago and is a member of the Group on Earth Observations. Furthermore, the United States has diplomatic relations with Lesotho, which in turn has diplomatic relations with Russia. Lesotho is a member of both the International Telecommunication Union and the United Nations. Additionally, Michael Bailey Smith is an actor and film actor who holds citizenship in the United States of America.","Trinidad and Tobago is named after Trinidad and maintains diplomatic relations with Taiwan, while the United States of America also has diplomatic relations with Trinidad and Tobago and is a member of the Group on Earth Observations. Lesotho shares diplomatic relations with Russia and is a member of both the International Telecommunication Union and the United Nations. In the realm of film, Michael Bailey Smith is known as an actor and film actor.","[[""Trinidad_and_Tobago"", ""namedAfter"", ""Trinidad""], [""Trinidad_and_Tobago"", ""diplomaticRelations"", ""Taiwan""], [""United_States_of_America"", ""diplomaticRelations"", ""Trinidad_and_Tobago""], [""United_States_of_America"", ""member"", ""Group_on_Earth_Observations""], [""United_States_of_America"", ""diplomaticRelations"", ""Lesotho""], [""Lesotho"", ""diplomaticRelations"", ""Russia""], [""Lesotho"", ""member"", ""International_Telecommunication_Union""], [""Lesotho"", ""member"", ""United_Nations""], [""Michael_Bailey_Smith"", ""citizen"", ""United_States_of_America""], [""Michael_Bailey_Smith"", ""occupation"", ""actor""]]","[[""Trinidad_and_Tobago"", ""namedAfter"", ""Trinidad""], [""Trinidad_and_Tobago"", ""diplomaticRelations"", ""Taiwan""], [""United_States_of_America"", ""diplomaticRelations"", ""Trinidad_and_Tobago""], [""United_States_of_America"", ""member"", ""Group_on_Earth_Observations""], [""Lesotho"", ""diplomaticRelations"", ""Russia""], [""Lesotho"", ""member"", ""International_Telecommunication_Union""], [""Lesotho"", ""member"", ""United_Nations""], [""Michael_Bailey_Smith"", ""occupation"", ""actor""]]",0.8636363636363636
2,"Germany maintains diplomatic relations with several countries, including Guinea, Laos, and India. The German Democratic Republic shares borders with both the Polish People's Republic and Czechoslovakia, and its capital is East Berlin. Hannelore Mensch holds citizenship in both Germany and the German Democratic Republic and communicates in German. Furthermore, India is a member of the International Bank for Reconstruction and Development.","Germany maintains diplomatic relations with several countries, including Guinea, Laos, and India. India is a member of the International Bank for Reconstruction and Development. The German Democratic Republic, which has its capital in East Berlin, shares borders with the Polish People's Republic and Czechoslovakia. Hannelore Mensch is fluent in German, which reflects the language spoken in the region.","[[""Germany"", ""diplomaticRelations"", ""Guinea""], [""Germany"", ""diplomaticRelations"", ""Laos""], [""Germany"", ""diplomaticRelations"", ""India""], [""German_Democratic_Republic"", ""borders"", ""Polish_People_s_Republic""], [""German_Democratic_Republic"", ""borders"", ""Czechoslovakia""], [""German_Democratic_Republic"", ""capital"", ""East_Berlin""], [""Hannelore_Mensch"", ""citizenship"", ""Germany""], [""Hannelore_Mensch"", ""citizenship"", ""German_Democratic_Republic""], [""Hannelore_Mensch"", ""language"", ""German""], [""India"", ""member"", ""International_Bank_for_Reconstruction_and_Development""]]","[[""Germany"", ""diplomaticRelations"", ""Guinea""], [""Germany"", ""diplomaticRelations"", ""Laos""], [""Germany"", ""diplomaticRelations"", ""India""], [""German_Democratic_Republic"", ""borders"", ""Polish_People_s_Republic""], [""German_Democratic_Republic"", ""borders"", ""Czechoslovakia""], [""German_Democratic_Republic"", ""capital"", ""East_Berlin""], [""Hannelore_Mensch"", ""language"", ""German""], [""India"", ""member"", ""International_Bank_for_Reconstruction_and_Development""]]",0.8484848484848485
3,"The United Kingdom maintains diplomatic relations with Uruguay, among other countries. As a member of the Organisation for Economic Cooperation and Development and the ABCA Armies, the United Kingdom participates actively in various international collaborations. Uruguay, on the other hand, engages in diplomatic relations with Lebanon, Taiwan, and the Dominican Republic. Additionally, Alec Kirkbride, a citizen of the United Kingdom, is both an engineer and a diplomat, reflecting the diverse professions held by individuals from this nation.","The United Kingdom is a member of the Organisation for Economic Cooperation and Development as well as the ABCA Armies. Uruguay maintains diplomatic relations with several countries, including Lebanon, Taiwan, and the Dominican Republic. Alec Kirkbride is known for his dual professions as an engineer and a diplomat.","[[""United_Kingdom"", ""diplomaticRelations"", ""Uruguay""], [""United_Kingdom"", ""member"", ""Organisation_for_Economic_Cooperation_and_Development""], [""United_Kingdom"", ""member"", ""ABCA_Armies""], [""Uruguay"", ""diplomaticRelations"", ""Lebanon""], [""Uruguay"", ""diplomaticRelations"", ""Taiwan""], [""Uruguay"", ""diplomaticRelations"", ""Dominican_Republic""], [""Alec_Kirkbride"", ""citizen"", ""United_Kingdom""], [""Alec_Kirkbride"", ""profession"", ""engineer""], [""Alec_Kirkbride"", ""profession"", ""diplomat""]]","[[""United_Kingdom"", ""member"", ""Organisation_for_Economic_Cooperation_and_Development""], [""United_Kingdom"", ""member"", ""ABCA_Armies""], [""Uruguay"", ""diplomaticRelations"", ""Lebanon""], [""Uruguay"", ""diplomaticRelations"", ""Taiwan""], [""Uruguay"", ""diplomaticRelations"", ""Dominican_Republic""], [""Alec_Kirkbride"", ""profession"", ""engineer""], [""Alec_Kirkbride"", ""profession"", ""diplomat""]]",0.9166666666666666
4,"Bolivia is a member of the International Bank for Reconstruction and Development and the International Finance Corporation. The official language of Bolivia is Spanish. Furthermore, the United States of America shares diplomatic relations with Bolivia and is also a member of the Technical Cooperation Program and the Missile Technology Control Regime. In the realm of entertainment, Kevin McHale is a film actor and television actor who holds citizenship in the United States of America.",Bolivia is a member of both the International Bank for Reconstruction and Development and the International Finance Corporation. The official language spoken in Bolivia is Spanish. The United States of America has diplomatic relations with Bolivia and is also a member of the Technical Cooperation Program and the Missile Technology Control Regime. Kevin McHale is a film actor and television actor who holds citizenship in the United States of America.,"[[""Bolivia"", ""member"", ""International_Bank_for_Reconstruction_and_Development""], [""Bolivia"", ""member"", ""International_Finance_Corporation""], [""Bolivia"", ""officialLanguage"", ""Spanish""], [""United_States_of_America"", ""diplomaticRelations"", ""Bolivia""], [""United_States_of_America"", ""member"", ""Technical_Cooperation_Program""], [""United_States_of_America"", ""member"", ""Missile_Technology_Control_Regime""], [""Kevin_McHale"", ""citizenship"", ""United_States_of_America""], [""Kevin_McHale"", ""occupation"", ""film_actor""], [""Kevin_McHale"", ""occupation"", ""television_actor""]]","[[""Bolivia"", ""member"", ""International_Bank_for_Reconstruction_and_Development""], [""Bolivia"", ""member"", ""International_Finance_Corporation""], [""Bolivia"", ""officialLanguage"", ""Spanish""], [""United_States_of_America"", ""diplomaticRelations"", ""Bolivia""], [""United_States_of_America"", ""member"", ""Technical_Cooperation_Program""], [""United_States_of_America"", ""member"", ""Missile_Technology_Control_Regime""], [""Kevin_McHale"", ""citizenship"", ""United_States_of_America""], [""Kevin_McHale"", ""occupation"", ""film_actor""], [""Kevin_McHale"", ""occupation"", ""television_actor""]]",1.0
5,"Austria is a member of the Multilateral Investment Guarantee Agency and the Schengen Area, while it shares a border with Czechoslovakia. Antonia Rados, a citizen of Austria, was born in Klagenfurt, which is located in the administrative territorial entity of Carinthia. Antonia Rados speaks, writes, or signs in German and Klagenfurt is also a member of the Climate Alliance. Czechoslovakia is notable for being a member of both the Warsaw Pact and the United Nations.","Austria is a member of both the Multilateral Investment Guarantee Agency and the Schengen Area. Antonia Rados is known to speak, write, and sign in German. The city of Klagenfurt, which is located in the administrative territorial entity of Carinthia, is a member of the Climate Alliance. Additionally, Czechoslovakia was a member of the Warsaw Pact and the United Nations.","[[""Austria"", ""member"", ""Multilateral_Investment_Guarantee_Agency""], [""Austria"", ""member"", ""Schengen_Area""], [""Austria"", ""border"", ""Czechoslovakia""], [""Antonia_Rados"", ""citizen"", ""Austria""], [""Antonia_Rados"", ""birthPlace"", ""Klagenfurt""], [""Klagenfurt"", ""location"", ""Carinthia""], [""Antonia_Rados"", ""language"", ""German""], [""Klagenfurt"", ""member"", ""Climate_Alliance""], [""Czechoslovakia"", ""member"", ""Warsaw_Pact""], [""Czechoslovakia"", ""member"", ""United_Nations""]]","[[""Austria"", ""member"", ""Multilateral_Investment_Guarantee_Agency""], [""Austria"", ""member"", ""Schengen_Area""], [""Antonia_Rados"", ""language"", ""German""], [""Klagenfurt"", ""location"", ""Carinthia""], [""Klagenfurt"", ""member"", ""Climate_Alliance""], [""Czechoslovakia"", ""member"", ""Warsaw_Pact""], [""Czechoslovakia"", ""member"", ""United_Nations""]]",0.8484848484848485
6,"Switzerland maintains diplomatic relations with both the Holy See and South Korea, and it is a member of the International Energy Agency. South Korea also shares diplomatic relations with Japan and Bangladesh. The official language of South Korea is Korean. France is a member of Eurocontrol and the European Space Agency, and it shares a border with the Benelux countries. Bernard Comment, who is a novelist, holds citizenship in both France and Switzerland.","Switzerland maintains diplomatic relations with both the Holy See and South Korea. Additionally, Switzerland is a member of the International Energy Agency. In turn, South Korea has diplomatic relations with Japan and Bangladesh, and its official language is Korean. France is a member of Eurocontrol and the European Space Agency, and it shares a border with Benelux. Bernard Comment, a novelist, holds citizenship in both France and Switzerland.","[[""Switzerland"", ""diplomaticRelations"", ""Holy_See""], [""Switzerland"", ""diplomaticRelations"", ""South_Korea""], [""Switzerland"", ""member"", ""International_Energy_Agency""], [""South_Korea"", ""diplomaticRelations"", ""Japan""], [""South_Korea"", ""diplomaticRelations"", ""Bangladesh""], [""South_Korea"", ""officialLanguage"", ""Korean""], [""France"", ""member"", ""Eurocontrol""], [""France"", ""member"", ""European_Space_Agency""], [""France"", ""border"", ""Benelux""], [""Bernard_Comment"", ""citizenship"", ""France""], [""Bernard_Comment"", ""citizenship"", ""Switzerland""], [""Bernard_Comment"", ""occupation"", ""novelist""]]","[[""Switzerland"", ""diplomaticRelations"", ""Holy_See""], [""Switzerland"", ""diplomaticRelations"", ""South_Korea""], [""Switzerland"", ""member"", ""International_Energy_Agency""], [""South_Korea"", ""diplomaticRelations"", ""Japan""], [""South_Korea"", ""diplomaticRelations"", ""Bangladesh""], [""South_Korea"", ""officialLanguage"", ""Korean""], [""France"", ""member"", ""Eurocontrol""], [""France"", ""member"", ""European_Space_Agency""], [""France"", ""border"", ""Benelux""], [""Bernard_Comment"", ""citizenship"", ""France""], [""Bernard_Comment"", ""citizenship"", ""Switzerland""], [""Bernard_Comment"", ""occupation"", ""novelist""]]",1.0
7,"The Republic of the Congo shares a border with the Democratic Republic of the Congo, which in turn shares borders with the Central African Republic and is a member of the Southern African Development Community. Both the Republic of the Congo and the Democratic Republic of the Congo are active members of international organizations; the Republic of the Congo is a member of the Group on Earth Observations and the United Nations, while the Democratic Republic of the Congo maintains diplomatic relations with Greece. 

In a different context, Pat Kirtley is an audio engineer and guitarist who holds citizenship in the United States of America, a nation that has diplomatic relations with both Uruguay and the Republic of the Congo. Uruguay also maintains diplomatic relations with Argentina and the People's Republic of China, which in turn has diplomatic ties with Burundi and Syria. Additionally, the United States is a member of the International Development Association, enhancing its international engagement.","The Republic of the Congo shares a border with the Democratic Republic of the Congo, which also shares borders with the Central African Republic. Both the Republic of the Congo and the Democratic Republic of the Congo are members of significant international organizations, with the Republic of the Congo being a member of the Group on Earth Observations and the United Nations, while the Democratic Republic of the Congo is a member of the Southern African Development Community. Additionally, the Democratic Republic of the Congo maintains diplomatic relations with Greece.

In a different context, Pat Kirtley is an audio engineer and guitarist who holds citizenship in the United States of America. The United States of America engages in diplomatic relations with various countries, including Uruguay and the Republic of the Congo. Uruguay, in turn, has diplomatic relations with both Argentina and the People's Republic of China, which also maintains diplomatic relations with Burundi and Syria. Furthermore, the United States of America is a member of the International Development Association.","[[""Republic_of_the_Congo"", ""shares_border"", ""Democratic_Republic_of_the_Congo""], [""Democratic_Republic_of_the_Congo"", ""shares_border"", ""Central_African_Republic""], [""Republic_of_the_Congo"", ""member"", ""Group_on_Earth_Observations""], [""Republic_of_the_Congo"", ""member"", ""United_Nations""], [""Democratic_Republic_of_the_Congo"", ""member"", ""Southern_African_Development_Community""], [""Democratic_Republic_of_the_Congo"", ""diplomatic_relations"", ""Greece""], [""Pat_Kirtley"", ""citizen"", ""United_States_of_America""], [""United_States_of_America"", ""diplomatic_relations"", ""Uruguay""], [""United_States_of_America"", ""diplomatic_relations"", ""Republic_of_the_Congo""], [""Uruguay"", ""diplomatic_relations"", ""Argentina""], [""Uruguay"", ""diplomatic_relations"", ""People_s_Republic_of_China""], [""People_s_Republic_of_China"", ""diplomatic_relations"", ""Burundi""], [""People_s_Republic_of_China"", ""diplomatic_relations"", ""Syria""], [""United_States_of_America"", ""member"", ""International_Development_Association""]]","[[""Republic_of_the_Congo"", ""shares_border"", ""Democratic_Republic_of_the_Congo""], [""Democratic_Republic_of_the_Congo"", ""shares_border"", ""Central_African_Republic""], [""Republic_of_the_Congo"", ""member"", ""Group_on_Earth_Observations""], [""Republic_of_the_Congo"", ""member"", ""United_Nations""], [""Democratic_Republic_of_the_Congo"", ""member"", ""Southern_African_Development_Community""], [""Democratic_Republic_of_the_Congo"", ""diplomatic_relations"", ""Greece""], [""Pat_Kirtley"", ""citizen"", ""United_States_of_America""], [""United_States_of_America"", ""diplomatic_relations"", ""Uruguay""], [""United_States_of_America"", ""diplomatic_relations"", ""Republic_of_the_Congo""], [""Uruguay"", ""diplomatic_relations"", ""Argentina""], [""Uruguay"", ""diplomatic_relations"", ""People_s_Republic_of_China""], [""People_s_Republic_of_China"", ""diplomatic_relations"", ""Burundi""], [""People_s_Republic_of_China"", ""diplomatic_relations"", ""Syria""], [""United_States_of_America"", ""member"", ""International_Development_Association""]]",1.0
8,"Germany maintains diplomatic relations with both Sudan and El Salvador, while also sharing a border with the Kingdom of Denmark. Sudan has diplomatic relations with Kenya and is a member of UNESCO, positioning it as part of North Africa. The Kingdom of Denmark recognizes Danish and Faroese as its official languages and is a member of the International Hydrographic Organization. In the academic realm, Fritz Anton Franz Schmidt, a university teacher and citizen of Germany, is employed by the Technical University of Berlin.","Germany has diplomatic relations with El Salvador, while Sudan maintains diplomatic relations with Kenya. Sudan is also a member of UNESCO and is part of North Africa. Meanwhile, Fritz Anton Franz Schmidt works as a university teacher at the Technical University of Berlin. Additionally, the Kingdom of Denmark recognizes Danish and Faroese as its official languages and is a member of the International Hydrographic Organization.","[[""Germany"", ""diplomaticRelations"", ""Sudan""], [""Germany"", ""diplomaticRelations"", ""El_Salvador""], [""Germany"", ""border"", ""Kingdom_of_Denmark""], [""Sudan"", ""diplomaticRelations"", ""Kenya""], [""Sudan"", ""member"", ""UNESCO""], [""Sudan"", ""region"", ""North_Africa""], [""Kingdom_of_Denmark"", ""officialLanguage"", ""Danish""], [""Kingdom_of_Denmark"", ""officialLanguage"", ""Faroese""], [""Kingdom_of_Denmark"", ""member"", ""International_Hydrographic_Organization""], [""Fritz_Anton_Franz_Schmidt"", ""citizen"", ""Germany""], [""Fritz_Anton_Franz_Schmidt"", ""employer"", ""Technical_University_of_Berlin""]]","[[""Germany"", ""diplomaticRelations"", ""El_Salvador""], [""Sudan"", ""diplomaticRelations"", ""Kenya""], [""Sudan"", ""member"", ""UNESCO""], [""Sudan"", ""region"", ""North_Africa""], [""Kingdom_of_Denmark"", ""officialLanguage"", ""Danish""], [""Kingdom_of_Denmark"", ""officialLanguage"", ""Faroese""], [""Kingdom_of_Denmark"", ""member"", ""International_Hydrographic_Organization""], [""Fritz_Anton_Franz_Schmidt"", ""employer"", ""Technical_University_of_Berlin""], [""Fritz_Anton_Franz_Schmidt"", ""citizen"", ""Germany""]]",0.9305555555555556
9,"Candas Jane Dorsey is recognized as both a novelist and an author, and she holds Canadian citizenship. Canada maintains diplomatic relations with Israel and is a member of the League of Nations. Additionally, Canada has French as one of its official languages. The United States of America shares a border with Venezuela and is a member of the International Monetary Fund. Israel has established diplomatic relations with the United States of America, Eritrea, and Sweden.","Candas Jane Dorsey is a novelist and author who holds Canadian citizenship. In the international context, Canada maintains diplomatic relations with Israel, which also has diplomatic ties with Eritrea, Sweden, and the United States of America. Furthermore, Canada is a member of the League of Nations and recognizes French as one of its official languages. The United States of America shares a border with Venezuela and is a member of the International Monetary Fund.","[[""Candas_Jane_Dorsey"", ""citizenship"", ""Canada""], [""Canada"", ""diplomaticRelations"", ""Israel""], [""Canada"", ""member"", ""League_of_Nations""], [""Canada"", ""officialLanguage"", ""French""], [""United_States_of_America"", ""border"", ""Venezuela""], [""United_States_of_America"", ""member"", ""International_Monetary_Fund""], [""Israel"", ""diplomaticRelations"", ""United_States_of_America""], [""Israel"", ""diplomaticRelations"", ""Eritrea""], [""Israel"", ""diplomaticRelations"", ""Sweden""]]","[[""Candas_Jane_Dorsey"", ""citizenship"", ""Canada""], [""Canada"", ""diplomaticRelations"", ""Israel""], [""Canada"", ""member"", ""League_of_Nations""], [""Canada"", ""officialLanguage"", ""French""], [""United_States_of_America"", ""border"", ""Venezuela""], [""United_States_of_America"", ""member"", ""International_Monetary_Fund""], [""Israel"", ""diplomaticRelations"", ""United_States_of_America""], [""Israel"", ""diplomaticRelations"", ""Eritrea""], [""Israel"", ""diplomaticRelations"", ""Sweden""]]",1.0
