perturbation_type,method,f1,roc_auc,n_samples
node_removal,AA-KEA,0.9615384615384616,0.9272976680384089,108
node_removal,ROUGE-1,0.9818181818181818,0.9986282578875171,108
node_removal,ROUGE-L,0.9380530973451328,0.967764060356653,108
node_removal,BLEU,0.972972972972973,0.9979423868312757,108
node_removal,BERTScore,0.9285714285714286,0.9883401920438957,108
node_removal,Sentence-T5,0.9636363636363636,0.992798353909465,108
edge_deletion,AA-KEA,0.945054945054945,0.8975694444444444,96
edge_deletion,ROUGE-1,0.84,0.9038628472222223,96
edge_deletion,ROUGE-L,0.7722772277227723,0.8185763888888888,96
edge_deletion,BLEU,0.8351648351648352,0.8923611111111112,96
edge_deletion,BERTScore,0.7608695652173914,0.85546875,96
edge_deletion,Sentence-T5,0.8543689320388349,0.92578125,96
node_replacement,AA-KEA,1.0,1.0,130
node_replacement,ROUGE-1,0.8652482269503546,0.9434319526627218,130
node_replacement,ROUGE-L,0.7866666666666666,0.8473372781065089,130
node_replacement,BLEU,0.7874015748031497,0.8513609467455621,130
node_replacement,BERTScore,0.8794326241134752,0.9663905325443787,130
node_replacement,Sentence-T5,0.9016393442622951,0.989112426035503,130
edge_replacement,AA-KEA,0.7380952380952381,0.9100091827364555,66
edge_replacement,ROUGE-1,0.7317073170731707,0.7869605142332415,66
edge_replacement,ROUGE-L,0.7272727272727273,0.7878787878787878,66
edge_replacement,BLEU,0.6813186813186813,0.7272727272727273,66
edge_replacement,BERTScore,0.7368421052631579,0.7915518824609734,66
edge_replacement,Sentence-T5,0.7407407407407407,0.8191000918273647,66
