id,paragraph_1,paragraph_2,kg_1,kg_2,snea_bert_similarity
0,let me remind you that our allies include fervent supporters of this tax .,"i insist on reminding you that among our allies , there are devotees of this tax .","[[""our_allies"", ""include"", ""fervent_supporters_of_this_tax""]]","[[""our_allies"", ""include"", ""devotees_of_this_tax""], [""devotees_of_this_tax"", ""support"", ""this_tax""], [""our_allies"", ""have"", ""devotees_of_this_tax""]]",0.9501205007103884
1,"provide with rails , as by laying .",provide with rails .,"[[""rails"", ""provided_by"", ""TEXT_1""], [""TEXT_1"", ""method"", ""laying""]]","[[""rails"", ""provided_by"", ""TEXT_2""]]",0.5098722479146368
2,personnel casualty,military personnel lost by death or capture .,"[[""personnel"", ""type_of"", ""casualty""]]","[[""military_personnel"", ""lost_by"", ""death""], [""military_personnel"", ""lost_by"", ""capture""]]",0.3841709397255284
3,this gross error is leading russia to political ruin .,and this serious error is taking to russia to its ruin policy .,"[[""gross_error"", ""leading_to"", ""Russia""], [""gross_error"", ""causing"", ""political_ruin""], [""Russia"", ""experiencing"", ""political_ruin""]]","[[""serious_error"", ""taking_to"", ""Russia""], [""serious_error"", ""causing"", ""ruin_policy""], [""Russia"", ""experiencing"", ""ruin_policy""]]",0.4107455344742154
4,it has a margin of error of plus or minus 4 percentage points .,that poll had 712 likely voters and sampling error of plus or minus 3.7 percentage points .,"[[""it"", ""has_margin_of_error"", ""plus_or_minus_4_percentage_points""]]","[[""that_poll"", ""had_number_of_voters"", ""712_likely_voters""], [""that_poll"", ""has_sampling_error"", ""plus_or_minus_3.7_percentage_points""]]",0.5981730011613572
5,the processing or operation of something,"a set sequence of steps , part of larger computer program .","[[""something"", ""processed_by"", ""operation""], [""something"", ""operated_by"", ""processing""]]","[[""sequence_of_steps"", ""part_of"", ""computer_program""], [""computer_program"", ""contains"", ""sequence_of_steps""], [""sequence_of_steps"", ""defined_as"", ""set_sequence""]]",0.22307682866820977
6,a measurable or quantitative decrease,a sudden sharp decrease in some quantity .,[],"[[""sudden_sharp_decrease"", ""characterized_by"", ""quantitative_decrease""], [""sudden_sharp_decrease"", ""affects"", ""some_quantity""]]",0.0
7,"earlier this month , rim had said it expected to report second-quarter earnings of between 7 cents and 11 cents a share .",excluding legal fees and other charges it expected a loss of between 1 and 4 cents a share .,"[[""RIM"", ""expected_to_report"", ""second-quarter_earnings""], [""second-quarter_earnings"", ""range"", ""7_cents_to_11_cents_a_share""]]","[[""company"", ""expected"", ""loss""], [""loss"", ""range"", ""1_to_4_cents_a_share""], [""loss"", ""excludes"", ""legal_fees""], [""loss"", ""excludes"", ""other_charges""]]",0.4177603287705737
8,"maddox , 87 , cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery , virginia carnes said .","maddox , who had battled cancer since 1983 , cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery .","[[""Maddox"", ""age"", ""87""], [""Maddox"", ""injured"", ""two_ribs""], [""Maddox"", ""fell_at"", ""assisted_living_home""], [""Maddox"", ""recovering_from"", ""intestinal_surgery""], [""assisted_living_home"", ""type_of"", ""home""], [""Maddox"", ""spoken_about_by"", ""Virginia_Carnes""], [""Maddox"", ""incident_occurred"", ""10_days_ago""]]","[[""Maddox"", ""had_condition"", ""cancer""], [""Maddox"", ""battled_cancer_since"", ""1983""], [""Maddox"", ""injured"", ""two_ribs""], [""Maddox"", ""fell_at"", ""assisted_living_home""], [""Maddox"", ""recovering_from"", ""surgery""], [""assisted_living_home"", ""type_of"", ""home""], [""Maddox"", ""incident_occurred"", ""earlier_this_month""]]",0.754352107282581
9,a man shooting a car .,a man is cutting a potato .,"[[""man"", ""shooting"", ""car""]]","[[""man"", ""cutting"", ""potato""]]",0.1239737813686552
10,"we don 't know if any will be sars , "" said dr. james young , ontario 's commissioner of public safety .",""" we 're being hyper-vigilant , "" said dr. james young , ontario 's commissioner of public safety .","[[""Dr._James_Young"", ""said"", ""we_dont_know_if_any_will_be_sars""], [""Dr._James_Young"", ""occupation"", ""commissioner_of_public_safety""], [""Dr._James_Young"", ""affiliated_with"", ""Ontario""]]","[[""Dr._James_Young"", ""said"", ""were_being_hyper-vigilant""], [""Dr._James_Young"", ""occupation"", ""commissioner_of_public_safety""], [""Dr._James_Young"", ""affiliated_with"", ""Ontario""]]",0.7198850081258289
11,"unfortunately , others separate on the basis of accumulated hatred .",other separate unfortunately because of an accumulated resentment .,"[[""others"", ""separate_on_basis_of"", ""accumulated_hatred""], [""others"", ""separate"", ""unfortunately""]]","[[""other"", ""separate_because_of"", ""accumulated_resentment""], [""other"", ""separate"", ""unfortunately""]]",0.942015185505984
12,a man is playing keyboard .,a person is playing a piano .,"[[""man"", ""playing"", ""keyboard""]]","[[""person"", ""playing"", ""piano""]]",0.31974973121551126
13,a man is folding paper .,a woman is slicing a pepper .,"[[""man"", ""is_folding"", ""paper""]]","[[""woman"", ""is_slicing"", ""pepper""]]",0.050816259432386074
14,a plane is landing .,a animated airplane is landing .,"[[""plane"", ""is_landing"", ""True""]]","[[""animated_airplane"", ""is_landing"", ""True""]]",0.9079722113498463
15,a cat rapidly swats a kid in the head .,a cat and a boy play together .,"[[""cat"", ""swats"", ""kid""], [""kid"", ""located_in"", ""head""], [""cat"", ""acts_on"", ""head""], [""kid"", ""receives_action_from"", ""cat""]]","[[""cat"", ""plays_with"", ""boy""], [""cat"", ""interacts_with"", ""boy""], [""boy"", ""plays_with"", ""cat""]]",0.46387613154012086
16,the who experts didn 't say how many cases in hebei were in rural areas .,"hebei has reported 191 cases and eight deaths , though the who experts did not say how many were in rural areas .","[[""WHO_experts"", ""did_not_say"", ""number_of_cases_in_rural_areas""], [""Hebei"", ""location_of"", ""rural_areas""], [""cases"", ""located_in"", ""rural_areas""], [""WHO_experts"", ""commented_on"", ""Hebei""]]","[[""Hebei"", ""reported"", ""191_cases""], [""Hebei"", ""reported"", ""eight_deaths""], [""WHO_experts"", ""did_not_say"", ""number_of_cases_in_rural_areas""], [""Hebei"", ""location_of"", ""rural_areas""], [""cases"", ""located_in"", ""rural_areas""], [""WHO_experts"", ""commented_on"", ""Hebei""]]",0.9999999991684807
17,iraq 's economy was ravaged during years of u.n. sanctions over ex-president saddam hussein 's 1990 occupation of kuwait and by the u.s.-led war to oust him which ended in april .,iraq 's economy was shattered under former president saddam hussein and by the u.s.-led war to oust him which ended in april .,"[[""Iraq"", ""economy_ravaged_by"", ""U.N._sanctions""], [""U.N._sanctions"", ""imposed_during"", ""Saddam_Husseinoccupation_of_Kuwait""], [""Saddam_Hussein"", ""occupation_of"", ""Kuwait""], [""Kuwait"", ""occupation_by"", ""Saddam_Hussein""], [""Saddam_Hussein"", ""ex-president_of"", ""Iraq""], [""Iraq"", ""economy_ravaged_by"", ""U.S.-led_war""], [""U.S.-led_war"", ""ended_in"", ""April""], [""U.S.-led_war"", ""aimed_to_oust"", ""Saddam_Hussein""]]","[[""Iraq"", ""economy_shattered_by"", ""Saddam_Hussein""], [""Iraq"", ""economy_shattered_by"", ""U.S.-led_war""], [""Saddam_Hussein"", ""former_president_of"", ""Iraq""], [""U.S.-led_war"", ""ended_in"", ""April""], [""U.S.-led_war"", ""aimed_to_oust"", ""Saddam_Hussein""]]",0.6828097956542938
18,let me remind you that our allies include fervent supporters of this tax .,"i would like to remind you that among our allies , there are ardent supporters of this tax .","[[""allies"", ""include"", ""fervent_supporters""], [""fervent_supporters"", ""support"", ""tax""]]","[[""allies"", ""include"", ""ardent_supporters""], [""ardent_supporters"", ""support"", ""tax""]]",0.9577624511070129
19,have unlawful sex with a prostitute,have unlawful sex with a whore .,"[[""unlawful_sex"", ""involves"", ""prostitute""]]","[[""unlawful_sex"", ""involves"", ""whore""]]",0.9198090479253362
20,the man sat in his chair and stared .,the little girl is putting her hair into a pony tail .,"[[""man"", ""sat_in"", ""chair""], [""man"", ""performed_action"", ""stared""]]","[[""little_girl"", ""performing_action"", ""putting_her_hair""], [""little_girl"", ""putting_hair_into"", ""pony_tail""], [""pony_tail"", ""is_style_of"", ""hair""]]",0.09295140393872567
21,"the technology-laced nasdaq composite index .ixic rose 39.39 points , or 2.2 percent , to 1,826.33 , after losing more than 2 percent on tuesday .","the blue-chip dow jones industrial average .dji jumped 194.14 points , or 2.09 percent , to 9,469.20 after sinking more than 1 percent a day earlier .","[[""Nasdaq_Composite_Index"", ""rose"", ""39.39_points""], [""Nasdaq_Composite_Index"", ""increased_by_percentage"", ""2.2_percent""], [""Nasdaq_Composite_Index"", ""reached"", ""1826.33""], [""Nasdaq_Composite_Index"", ""lost"", ""more_than_2_percent""], [""Nasdaq_Composite_Index"", ""lost_on"", ""Tuesday""]]","[[""Dow_Jones_Industrial_Average"", ""jumped"", ""194.14_points""], [""Dow_Jones_Industrial_Average"", ""increased_by_percentage"", ""2.09_percent""], [""Dow_Jones_Industrial_Average"", ""reached"", ""9469.20""], [""Dow_Jones_Industrial_Average"", ""sank"", ""more_than_1_percent""], [""Dow_Jones_Industrial_Average"", ""sank_on"", ""a_day_earlier""]]",0.5989890705763212
22,register formally as a participant,register formally as a participant or member .,"[[""participant"", ""register_formally_as"", ""entity""]]","[[""participant"", ""register_formally_as"", ""entity""], [""member"", ""register_formally_as"", ""entity""]]",0.9999999995736413
23,a woman is slicing an onion .,a man is cutting and onion .,"[[""woman"", ""slicing"", ""onion""]]","[[""man"", ""cutting"", ""onion""]]",0.5992214451692202
24,"continue to live , exist , or prosper",continue to live through hardship or adversity .,"[[""TEXT_1"", ""contains"", ""phrase""], [""phrase"", ""meaning"", ""continue_to_live""], [""phrase"", ""meaning"", ""exist""], [""phrase"", ""meaning"", ""prosper""]]","[[""TEXT_2"", ""contains"", ""phrase""], [""phrase"", ""meaning"", ""continue_to_live""], [""phrase"", ""meaning"", ""live_through_hardship""], [""phrase"", ""meaning"", ""live_through_adversity""]]",0.6017813750412061
25,trading in loral was halted yesterday ; the shares closed on monday at $ 3.01 .,"the new york stock exchange suspended trading yesterday in loral , which closed at $ 3.01 friday .","[[""Loral"", ""trading_halted_on"", ""yesterday""], [""Loral"", ""shares_closed_at"", ""$3.01""], [""Loral"", ""shares_closed_on"", ""Monday""]]","[[""New_York_Stock_Exchange"", ""suspended_trading_in"", ""Loral""], [""Loral"", ""trading_suspended_on"", ""yesterday""], [""Loral"", ""shares_closed_at"", ""$3.01""], [""Loral"", ""shares_closed_on"", ""Friday""]]",0.7650738738313749
26,a man is jumping rope outside .,a woman is slicing a cucumber .,"[[""man"", ""is_jumping"", ""rope""], [""man"", ""located_outside"", ""outside""], [""rope"", ""is_being_jumped"", ""man""]]",[],0.0
27,a man shoots a man .,a man with a pistol shoots another man .,"[[""man"", ""shoots"", ""man""]]","[[""man_with_pistol"", ""shoots"", ""another_man""], [""man_with_pistol"", ""has"", ""pistol""], [""man_with_pistol"", ""same_as"", ""man""], [""another_man"", ""same_as"", ""man""]]",0.41398022258490225
28,"in addition , it offered the united states and israel a way to work around mr. arafat .","when the prime minister 's position was established in the spring , it offered the united states and israel a way to work around arafat .","[[""United_States"", ""offered_way_to_work_around"", ""Mr._Arafat""], [""Israel"", ""offered_way_to_work_around"", ""Mr._Arafat""]]","[[""United_States"", ""offered_way_to_work_around"", ""Arafat""], [""Israel"", ""offered_way_to_work_around"", ""Arafat""], [""Prime_Minister"", ""position_established_in"", ""Spring""]]",0.9919373425219172
29,""" and about eight to 10 seconds down , i hit .",""" i was in the water for about eight seconds .","[[""narrator"", ""experienced_event"", ""hitting_something""], [""hitting_something"", ""occurred_after"", ""8_to_10_seconds""], [""narrator"", ""fell_for"", ""8_to_10_seconds""]]","[[""narrator"", ""experienced_event"", ""being_in_water""], [""being_in_water"", ""lasted_for"", ""8_seconds""], [""narrator"", ""was_in_water_for"", ""8_seconds""]]",0.5221089730718599
30,cause friction ; wear away or erode,wear away or erode .,"[[""friction"", ""caused_by"", ""wear_away""], [""friction"", ""caused_by"", ""erode""]]",[],0.0
31,a person is frying meat in a pan .,a person is holding a skunk .,"[[""person"", ""frying"", ""meat""], [""meat"", ""located_in"", ""pan""], [""person"", ""using"", ""pan""]]","[[""person"", ""holding"", ""skunk""]]",0.18846884164792982
32,a puppy plays with a plastic container .,the dog is playing with a plastic container .,"[[""puppy"", ""plays_with"", ""plastic_container""]]","[[""dog"", ""plays_with"", ""plastic_container""]]",0.9634179099459899
33,"their contract will expire at 12 : 01 a.m. wednesday instead of 12 : 01 a.m. sunday , said rian wathen , organizing director for united food and commercial workers local 700 .",""" it has outraged the membership , "" said rian wathen , organizing director of united food and commercial workers local 700 .","[[""Rian_Wathen"", ""said"", ""their_contract_will_expire_at_12_01_a.m._wednesday""], [""their_contract"", ""will_expire_at"", ""12_01_a.m._wednesday""], [""their_contract"", ""will_not_expire_at"", ""12_01_a.m._sunday""], [""Rian_Wathen"", ""organizing_director_of"", ""United_Food_and_Commercial_Workers_Local_700""]]","[[""Rian_Wathen"", ""said"", ""it_has_outraged_the_membership""], [""it"", ""has_outraged"", ""membership""], [""Rian_Wathen"", ""organizing_director_of"", ""United_Food_and_Commercial_Workers_Local_700""]]",0.2945058072958997
34,"the computers were reportedly located in the u.s. , canada and south korea .","the pcs are scattered across the united states , canada and south korea .","[[""computers"", ""located_in"", ""U.S.""], [""computers"", ""located_in"", ""Canada""], [""computers"", ""located_in"", ""South_Korea""]]","[[""pcs"", ""located_in"", ""United_States""], [""pcs"", ""located_in"", ""Canada""], [""pcs"", ""located_in"", ""South_Korea""]]",0.9396723764381477
35,the arrests revealed new details about the four-month investigation at selenski 's mount olivet road home .,kerkowski and fassett 's bodies were unearthed at selenski 's mount olivet road home on june 5 .,"[[""arrests"", ""revealed"", ""new_details""], [""new_details"", ""about"", ""investigation""], [""investigation"", ""located_at"", ""Selenski_mount_olivet_road_home""], [""investigation"", ""duration"", ""four_months""]]","[[""Kerkowski"", ""body_unearthed_at"", ""Selenski_mount_olivet_road_home""], [""Fassett"", ""body_unearthed_at"", ""Selenski_mount_olivet_road_home""], [""Kerkowski"", ""body_unearthed_on"", ""June_5""], [""Fassett"", ""body_unearthed_on"", ""June_5""]]",0.3323874906640988
36,a badger is digging in the dirt .,a man is moving large rocks .,"[[""badger"", ""is_digging_in"", ""dirt""]]","[[""man"", ""is_moving"", ""large_rocks""]]",0.1534755180706062
37,"mr president , the cashman report can be summarised in four words : citizens ' power over bureaucracy .","mister the president , the report cashman can summarize itself in some words : the strength of the citizens on the bureaucracy .","[[""Cashman_Report"", ""can_be_summarised_in"", ""four_words""], [""Cashman_Report"", ""summarised_as"", ""citizens_power_over_bureaucracy""], [""President"", ""received"", ""Cashman_Report""]]","[[""Report_Cashman"", ""can_summarize_itself_in"", ""some_words""], [""Report_Cashman"", ""summarised_as"", ""strength_of_citizens_on_bureaucracy""], [""President"", ""received"", ""Report_Cashman""]]",0.7454691475097783
38,a girl is styling her hair .,a girl is brushing her hair .,"[[""girl"", ""is_styling"", ""her_hair""]]","[[""girl"", ""is_brushing"", ""her_hair""]]",0.8939999261698013
39,a man is slicing a potato .,a woman is cutting a jalepeno .,"[[""man"", ""slicing"", ""potato""]]","[[""woman"", ""cutting"", ""jalepeno""]]",0.2463320848566555
40,south africa has the world 's highest caseload with 4.7 million people infected with hiv or aids .,"with 4.7 million people infected with hiv or aids , south africa has the world 's highest aids caseload .","[[""South_Africa"", ""has_caseload"", ""4.7_million_people_infected_with_HIV_or_AIDS""], [""4.7_million_people_infected_with_HIV_or_AIDS"", ""infected_with"", ""HIV""], [""4.7_million_people_infected_with_HIV_or_AIDS"", ""infected_with"", ""AIDS""], [""South_Africa"", ""has"", ""world_highest_caseload""]]","[[""South_Africa"", ""has_caseload"", ""4.7_million_people_infected_with_HIV_or_AIDS""], [""4.7_million_people_infected_with_HIV_or_AIDS"", ""infected_with"", ""HIV""], [""4.7_million_people_infected_with_HIV_or_AIDS"", ""infected_with"", ""AIDS""], [""South_Africa"", ""has"", ""world_highest_AIDS_caseload""]]",0.8093537009293665
41,a man is riding a motorcycle .,a man is riding a horse .,"[[""man"", ""riding"", ""motorcycle""]]","[[""man"", ""riding"", ""horse""]]",0.2548157989751609
