pair_id,response1,response2,label,perturbation_type,dataset_name
0,"Last week, his lawyers asked Warner to grant clemency under conditions that would have lead to a new sentencing hearing.","Last week, his lawyers asked Gov. Mark R. Warner to grant clemency, but the governor declined to intervene.",0,non_paraphrase,mrpc
1,It forecast 445 billion yen in loan-loss charges for the year ending next March.,The bank booked 820 billion yen in loan-loss charges compared with 1.9 trillion yen a year ago.,0,non_paraphrase,mrpc
2,"Only two other countries, Germany and the Dominican Republic, have publicly expressed reservations, and Germany has since said it will sign it.","Only two other countries, the Dominican Republic and Germany, publicly expressed reservations about the treaty, and Germany has since said it will support the pact.",1,paraphrase,mrpc
3,Shares of Coke closed New York Stock Exchange trading Thursday at $ 44.01.,"In morning trading on the New York Stock Exchange, Coca-Cola shares were down 34 cents at $ 43.67.",0,non_paraphrase,mrpc
4,"Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity, increasing the chances that the effectiveness of the medication will be diffused.","Still others cite the difficulty of assembling a group of subjects whose depression is of comparable severity, a problem that complicates the task of properly measuring effectiveness.",1,paraphrase,mrpc
5,The Hulk weekend take surpasses the previous June record of $ 54.9-million for Austin Powers: The Spy Who Shagged Me.,"It beat the previous record of $ 54.9 set by 1999 's "" Austin Powers: The Spy Who Shagged Me. """,1,paraphrase,mrpc
6,"Mallard 's friend, Clete Jackson, and his cousin, Herbert Tyrone Cleveland, pleaded guilty last year to dumping Biggs ' body.","That night Jackson and his cousin, Herbert Tyrone Cleveland, went with Mallard to her house.",0,non_paraphrase,mrpc
7,"Researchers predicted an additional 23 cases of dementia a year for every 10,000 women on the therapy.","This represents an additional 23 cases of dementia per year in every 10,000 women treated.",1,paraphrase,mrpc
8,"At 5 p.m. EDT, Henri had maximum sustained winds near 50 mph, with some gusts reaching 60 mph.","At 8 p.m. Friday, Henri was becoming disorganized, but still had maximum sustained winds near 50 mph, with stronger gusts.",0,non_paraphrase,mrpc
9,"A photograph of the doctor 's son, Ariel, holding the guitar appeared in the National Enquirer two weeks after Harrison 's death.",A picture of the doctor 's son holding the guitar appeared in the National Enquirer just two weeks after George died.,1,paraphrase,mrpc
