pair_id,label,perturbation_type,gt_similarity,snea_bert_similarity,paragraph_1,paragraph_2,gt_kg1_triples,gt_kg2_triples,our_kg1_triples,our_kg2_triples,perturbation_log
0,1,node_replacement,0.8260869565217391,0.9984773785150888,"The drug sulbenicillin increases the efficacy of mivacurium, while decreasing the efficacy of demegestone. Penimepicycline enhances the efficacy of rocuronium but reduces the efficacy of sultamicillin and sulbenicillin. Rocuronium boosts the efficacy of amdinocillin and azidocillin, but it also has the side effect of injection site swelling. Additionally, flucloxacillin diminishes the efficacy of penimepicycline and has side effects like arthralgia and immune system disorder.","Sulbenicillin increases the efficacy of mivacurium, but decreases the efficacy of demegestone. Penimepicycline increases the efficacy of rocuronium, however it decreases the efficacy of sultamicillin and sulbenicillin. Flucloxacillin decreases the efficacy of penimepicycline and has side effects including arthralgia and immune system disorder. Rocuronium increases the efficacy of amdinocillin and azidocillin, but also has a side effect of injection site swelling.","(sulbenicillin, increase_efficacy, mivacurium)
(sulbenicillin, decrease_efficacy, demegestone)
(penimepicycline, increase_efficacy, rocuronium)
(penimepicycline, decrease_efficacy, sultamicillin)
(penimepicycline, decrease_efficacy, sulbenicillin)
(rocuronium, increase_efficacy, amdinocillin)
(rocuronium, increase_efficacy, azidocillin)
(rocuronium, has_side_effect, Injection site swelling)
(flucloxacillin, decrease_efficacy, penimepicycline)
(flucloxacillin, has_side_effect, Arthralgia)
(flucloxacillin, has_side_effect, Immune system disorder)","(sulbenicillin, increase_efficacy, sinensetin)
(sulbenicillin, decrease_efficacy, demegestone)
(penimepicycline, increase_efficacy, carmegliptin)
(penimepicycline, decrease_efficacy, sultamicillin)
(penimepicycline, decrease_efficacy, sulbenicillin)
(carmegliptin, increase_efficacy, amdinocillin)
(carmegliptin, increase_efficacy, azidocillin)
(carmegliptin, has_side_effect, Injection site swelling)
(mometasone, decrease_efficacy, penimepicycline)
(mometasone, has_side_effect, Subjective visual disturbances)
(mometasone, has_side_effect, Immune system disorder)","(sulbenicillin, increases_efficacy_of, mivacurium)
(sulbenicillin, decreases_efficacy_of, demegestone)
(penimepicycline, enhances_efficacy_of, rocuronium)
(penimepicycline, reduces_efficacy_of, sultamicillin)
(penimepicycline, reduces_efficacy_of, sulbenicillin)
(rocuronium, boosts_efficacy_of, amdinocillin)
(rocuronium, boosts_efficacy_of, azidocillin)
(rocuronium, has_side_effect, injection_site_swelling)
(flucloxacillin, diminishes_efficacy_of, penimepicycline)
(flucloxacillin, has_side_effect, arthralgia)
(flucloxacillin, has_side_effect, immune_system_disorder)","(sulbenicillin, increases_efficacy_of, mivacurium)
(sulbenicillin, decreases_efficacy_of, demegestone)
(penimepicycline, increases_efficacy_of, rocuronium)
(penimepicycline, decreases_efficacy_of, sultamicillin)
(penimepicycline, decreases_efficacy_of, sulbenicillin)
(rocuronium, increases_efficacy_of, amdinocillin)
(rocuronium, increases_efficacy_of, azidocillin)
(rocuronium, has_side_effect, injection_site_swelling)
(flucloxacillin, decreases_efficacy_of, penimepicycline)
(flucloxacillin, has_side_effect, arthralgia)
(flucloxacillin, has_side_effect, immune_system_disorder)",node_replacement(COMPOUND:713→None); node_replacement(COMPOUND:1206→None); node_replacement(SIDE_EFFECT:190→None); node_replacement(COMPOUND:291→None)
1,1,node_removal,0.3333333333333333,0.0,"The drug bunazosin decreases the efficacy of naphazoline, protokylol, and norfenefrine. Bisoprolol decreases the efficacy of calcium acetate and calcium lactate gluconate. Protokylol increases the efficacy of etilefrine and histapyrrodine. Naphazoline decreases the efficacy of tolazoline, propafenone, and celiprolol. Nadolol increases the efficacy of exenatide and insulin aspart, but decreases the efficacy of moxonidine. Cirazoline decreases the efficacy of bisoprolol, nadolol, and bunazosin.","The drug bunazosin decreases the efficacy of naphazoline, protokylol, and norfenefrine. Additionally, bisoprolol decreases the efficacy of calcium acetate and calcium lactate gluconate. On the other hand, protokylol increases the efficacy of etilefrine and histapyrrodine. The usage of naphazoline reduces the efficacy of tolazoline, propafenone, and celiprolol. Moreover, nadolol can increase the efficacy of exenatide and insulin aspart, but it decreases the efficacy of moxonidine. Lastly, cirazoline decreases the efficacy of bisoprolol, nadolol, and bunazosin.","(bunazosin, decrease_efficacy, naphazoline)
(bunazosin, decrease_efficacy, protokylol)
(bunazosin, decrease_efficacy, norfenefrine)
(bisoprolol, decrease_efficacy, calcium acetate)
(bisoprolol, decrease_efficacy, calcium lactate gluconate)
(protokylol, increase_efficacy, etilefrine)
(protokylol, increase_efficacy, histapyrrodine)
(naphazoline, decrease_efficacy, tolazoline)
(naphazoline, decrease_efficacy, propafenone)
(naphazoline, decrease_efficacy, celiprolol)
(nadolol, increase_efficacy, exenatide)
(nadolol, increase_efficacy, insulin aspart)
(nadolol, decrease_efficacy, moxonidine)
(cirazoline, decrease_efficacy, bisoprolol)
(cirazoline, decrease_efficacy, nadolol)
(cirazoline, decrease_efficacy, bunazosin)","(protokylol, increase_efficacy, histapyrrodine)
(naphazoline, decrease_efficacy, celiprolol)
(nadolol, increase_efficacy, exenatide)
(cirazoline, decrease_efficacy, nadolol)",,,node_removal(COMPOUND:7930→None); node_removal(COMPOUND:1162→None); node_removal(COMPOUND:8177→None); node_removal(COMPOUND:1276→None); node_removal(COMPOUND:10134→None); node_removal(COMPOUND:248→None); node_removal(COMPOUND:598→None); node_removal(COMPOUND:780→None)
2,0,edge_deletion,0.92,0.0,"Buthiazide increases the efficacy of glipizide and decreases the efficacy of verinurad and benzhydrocodone. Torasemide is affecting adducin 1 and has an indication for diuresis. Additionally, torasemide decreases the efficacy of mofebutazone. Estetrol decreases the efficacy of streptomycin, chenodeoxycholic acid, and nigericin. Luseogliflozin decreases the efficacy of torasemide and estetrol, but increases the efficacy of buthiazide.","The drug buthiazide can both increase the efficacy of glipizide and decrease the efficacy of verinurad and benzhydrocodone. Similarly, luseogliflozin can increase the efficacy of buthiazide. 

Torasemide is affecting adducin 1 and has an indication for diuresis. It also decreases the efficacy of mofebutazone.

On the other hand, estetrol decreases the efficacy of streptomycin, chenodeoxycholic acid, and nigericin.","(buthiazide, increase_efficacy, glipizide)
(buthiazide, decrease_efficacy, verinurad)
(buthiazide, decrease_efficacy, benzhydrocodone)
(torasemide, decrease_efficacy, mofebutazone)
(torasemide, is_affecting, adducin 1)
(torasemide, has_indication, Diuresis)
(estetrol, decrease_efficacy, streptomycin)
(estetrol, decrease_efficacy, chenodeoxycholic acid)
(estetrol, decrease_efficacy, nigericin)
(luseogliflozin, decrease_efficacy, torasemide)
(luseogliflozin, decrease_efficacy, estetrol)
(luseogliflozin, increase_efficacy, buthiazide)","(buthiazide, increase_efficacy, glipizide)
(buthiazide, decrease_efficacy, verinurad)
(buthiazide, decrease_efficacy, benzhydrocodone)
(torasemide, decrease_efficacy, mofebutazone)
(torasemide, is_affecting, adducin 1)
(torasemide, has_indication, Diuresis)
(estetrol, decrease_efficacy, streptomycin)
(estetrol, decrease_efficacy, chenodeoxycholic acid)
(estetrol, decrease_efficacy, nigericin)
(luseogliflozin, increase_efficacy, buthiazide)",,,edge_deletion(COMPOUND:10120→COMPOUND:10139); edge_deletion(COMPOUND:10120→COMPOUND:204)
3,1,edge_replacement,0.9333333333333332,0.0,"The compound 9-deazaguanine increases the activity of the hypotensive activities and decreases the efficacy of halazepam. Pinazepam increases the effect of neuropsychiatric effects, while decreasing the efficacy of 9-deazaguanine and proxyphylline. Proxyphylline has activity in the hyperkalemic activities and decreases the efficacy of delorazepam.","The compound 9-deazaguanine is known to increase the activity of the hypotensive activities, while at the same time decreasing the efficacy of halazepam. Pinazepam has been shown to increase the effect of neuropsychiatric effects, but it decreases the efficacy of 9-deazaguanine and proxyphylline. Proxyphylline has activity related to the hyperkalemic activities, however, it decreases the efficacy of delorazepam.","(9-deazaguanine, increase_activity,  the hypotensive activities )
(9-deazaguanine, decrease_efficacy, halazepam)
(pinazepam, increase_effect,  neuropsychiatric effects )
(pinazepam, decrease_efficacy, 9-deazaguanine)
(pinazepam, decrease_efficacy, proxyphylline)
(proxyphylline, has_activity,  the hyperkalemic activities )
(proxyphylline, decrease_efficacy, delorazepam)","(9-deazaguanine, decrease_efficacy, halazepam)
(9-deazaguanine, decrease_activity,  the hypotensive activities )
(pinazepam, increase_effect,  neuropsychiatric effects )
(pinazepam, decrease_efficacy, 9-deazaguanine)
(pinazepam, decrease_efficacy, proxyphylline)
(proxyphylline, has_activity,  the hyperkalemic activities )
(proxyphylline, decrease_efficacy, delorazepam)",,,edge_replacement(COMPOUND:4099→ACTIVITY:17)
4,0,edge_replacement,0.9565217391304348,0.9972008555394464,"Medazepam increases the neuropsychiatric effects, but decreases the efficacy of metronidazole and theobromine. Lobucavir decreases the efficacy of 1,2-benzodiazepine, medazepam, and doxefazepam. Doxefazepam targets the GABA(A) receptor and has the sedative activities. Additionally, 1,2-benzodiazepine's efficacy is decreased by pentoxifylline, doxofylline, and acefylline.","The drug medazepam decreases the efficacy of metronidazole, theobromine, and also reduces the neuropsychiatric effects. Additionally, lobucavir decreases the efficacy of 1,2-benzodiazepine, medazepam, and doxefazepam. Doxefazepam targets the GABA(A) receptor and has the sedative activities. Furthermore, 1,2-benzodiazepine decreases the efficacy of pentoxifylline, doxofylline, and acefylline.","(medazepam, increase_effect,  neuropsychiatric effects )
(medazepam, decrease_efficacy, metronidazole)
(medazepam, decrease_efficacy, theobromine)
(lobucavir, decrease_efficacy, 1,2-benzodiazepine)
(lobucavir, decrease_efficacy, medazepam)
(lobucavir, decrease_efficacy, doxefazepam)
(doxefazepam, has_target, gaba(a) receptor)
(doxefazepam, has_activity,  the sedative activities )
(1,2-benzodiazepine, decrease_efficacy, pentoxifylline)
(1,2-benzodiazepine, decrease_efficacy, doxofylline)
(1,2-benzodiazepine, decrease_efficacy, acefylline)","(medazepam, decrease_efficacy, metronidazole)
(medazepam, decrease_efficacy, theobromine)
(medazepam, decrease_effect,  neuropsychiatric effects )
(lobucavir, decrease_efficacy, 1,2-benzodiazepine)
(lobucavir, decrease_efficacy, medazepam)
(lobucavir, decrease_efficacy, doxefazepam)
(doxefazepam, has_target, gaba(a) receptor)
(doxefazepam, has_activity,  the sedative activities )
(1,2-benzodiazepine, decrease_efficacy, pentoxifylline)
(1,2-benzodiazepine, decrease_efficacy, doxofylline)
(1,2-benzodiazepine, decrease_efficacy, acefylline)","(Medazepam, increases, neuropsychiatric_effects)
(Medazepam, decreases_efficacy_of, Metronidazole)
(Medazepam, decreases_efficacy_of, Theobromine)
(Lobucavir, decreases_efficacy_of, 1,2-benzodiazepine)
(Lobucavir, decreases_efficacy_of, Medazepam)
(Lobucavir, decreases_efficacy_of, Doxefazepam)
(Doxefazepam, targets, GABA(A)_receptor)
(Doxefazepam, has, sedative_activities)
(1,2-benzodiazepine, efficacy_decreased_by, Pentoxifylline)
(1,2-benzodiazepine, efficacy_decreased_by, Doxofylline)
(1,2-benzodiazepine, efficacy_decreased_by, Acefylline)","(Medazepam, decreases_efficacy_of, Metronidazole)
(Medazepam, decreases_efficacy_of, Theobromine)
(Medazepam, reduces, neuropsychiatric_effects)
(Lobucavir, decreases_efficacy_of, 1,2-benzodiazepine)
(Lobucavir, decreases_efficacy_of, Medazepam)
(Lobucavir, decreases_efficacy_of, Doxefazepam)
(Doxefazepam, targets, GABA(A)_receptor)
(Doxefazepam, has, sedative_activities)
(1,2-benzodiazepine, decreases_efficacy_of, Pentoxifylline)
(1,2-benzodiazepine, decreases_efficacy_of, Doxofylline)
(1,2-benzodiazepine, decreases_efficacy_of, Acefylline)",edge_replacement(COMPOUND:11291→EFFECT:41)
5,0,edge_deletion,0.92,0.9001762057148985,"Andexanet alfa decreases the efficacy of several drugs including edetic acid, clorindione, and diphenadione. Diphenadione, in turn, increases the efficacy of levothyroxine but decreases the efficacy of pantothenic acid and formic acid. Cefacetrile decreases the efficacy of dabigatran. Edetic acid decreases the efficacy of cefpiramide, cefacetrile, and rurioctocog alfa pegol. Additionally, clorindione increases the efficacy of ketoconazole and nitroxoline.","Andexanet alfa decreases the efficacy of clorindione. Diphenadione increases the efficacy of levothyroxine but decreases the efficacy of pantothenic acid and formic acid. Cefacetrile decreases the efficacy of dabigatran. Edetic acid decreases the efficacy of cefpiramide, cefacetrile, and rurioctocog alfa pegol. Clorindione increases the efficacy of ketoconazole and nitroxoline.","(andexanet alfa, decrease_efficacy, edetic acid)
(andexanet alfa, decrease_efficacy, clorindione)
(andexanet alfa, decrease_efficacy, diphenadione)
(diphenadione, increase_efficacy, levothyroxine)
(diphenadione, decrease_efficacy, pantothenic acid)
(diphenadione, decrease_efficacy, formic acid)
(cefacetrile, decrease_efficacy, dabigatran)
(edetic acid, decrease_efficacy, cefpiramide)
(edetic acid, decrease_efficacy, cefacetrile)
(edetic acid, decrease_efficacy, rurioctocog alfa pegol)
(clorindione, increase_efficacy, ketoconazole)
(clorindione, increase_efficacy, nitroxoline)","(andexanet alfa, decrease_efficacy, clorindione)
(diphenadione, increase_efficacy, levothyroxine)
(diphenadione, decrease_efficacy, pantothenic acid)
(diphenadione, decrease_efficacy, formic acid)
(cefacetrile, decrease_efficacy, dabigatran)
(edetic acid, decrease_efficacy, cefpiramide)
(edetic acid, decrease_efficacy, cefacetrile)
(edetic acid, decrease_efficacy, rurioctocog alfa pegol)
(clorindione, increase_efficacy, ketoconazole)
(clorindione, increase_efficacy, nitroxoline)","(Andexanet_alfa, decreases_efficacy_of, edetic_acid)
(Andexanet_alfa, decreases_efficacy_of, clorindione)
(Andexanet_alfa, decreases_efficacy_of, diphenadione)
(Diphenadione, increases_efficacy_of, levothyroxine)
(Diphenadione, decreases_efficacy_of, pantothenic_acid)
(Diphenadione, decreases_efficacy_of, formic_acid)
(Cefacetrile, decreases_efficacy_of, dabigatran)
(Edetic_acid, decreases_efficacy_of, cefpiramide)
(Edetic_acid, decreases_efficacy_of, cefacetrile)
(Edetic_acid, decreases_efficacy_of, rurioctocog_alfa_pegol)
(Clorindione, increases_efficacy_of, ketoconazole)
(Clorindione, increases_efficacy_of, nitroxoline)","(Andexanet_alfa, decreases_efficacy_of, clorindione)
(Diphenadione, increases_efficacy_of, levothyroxine)
(Diphenadione, decreases_efficacy_of, pantothenic_acid)
(Diphenadione, decreases_efficacy_of, formic_acid)
(Cefacetrile, decreases_efficacy_of, dabigatran)
(Edetic_acid, decreases_efficacy_of, cefpiramide)
(Edetic_acid, decreases_efficacy_of, cefacetrile)
(Edetic_acid, decreases_efficacy_of, rurioctocog_alfa_pegol)
(Clorindione, increases_efficacy_of, ketoconazole)
(Clorindione, increases_efficacy_of, nitroxoline)",edge_deletion(COMPOUND:12294→COMPOUND:957); edge_deletion(COMPOUND:12294→COMPOUND:11203)
6,1,edge_replacement,0.9411764705882352,0.9994569612613258,"The drug Rimexolone increases the activity of the excretion rate, has an effect on electrolyte imbalance, and decreases the efficacy of Aminoglutethimide. Flurandrenolide causes the side effect of Contact Dermatitis. Aminoglutethimide decreases the efficacy of both Flurandrenolide and Hydrocortisone Aceponate, and targets the SN12K1. Hydrocortisone Aceponate decreases the efficacy of allogeneic processed thymus tissue.","Rimexolone increases the activity of the excretion rate and has the effect of causing electrolyte imbalance. It also decreases the efficacy of aminoglutethimide. Flurandrenolide leads to the side effect of contact dermatitis. Aminoglutethimide decreases the efficacy of both flurandrenolide and hydrocortisone aceponate, and targets sn12k1. Hydrocortisone aceponate further decreases the efficacy of allogeneic processed thymus tissue.","(rimexolone, increase_activity,  the excretion rate )
(rimexolone, has_effect,  electrolyte imbalance )
(rimexolone, decrease_efficacy, aminoglutethimide)
(flurandrenolide, has_side_effect, Dermatitis contact)
(aminoglutethimide, decrease_efficacy, flurandrenolide)
(aminoglutethimide, decrease_efficacy, hydrocortisone aceponate)
(aminoglutethimide, has_target, sn12k1)
(hydrocortisone aceponate, decrease_efficacy, allogeneic processed thymus tissue)","(rimexolone, has_effect,  electrolyte imbalance )
(rimexolone, decrease_efficacy, aminoglutethimide)
(rimexolone, decrease_activity,  the excretion rate )
(flurandrenolide, has_side_effect, Dermatitis contact)
(aminoglutethimide, decrease_efficacy, flurandrenolide)
(aminoglutethimide, decrease_efficacy, hydrocortisone aceponate)
(aminoglutethimide, has_target, sn12k1)
(hydrocortisone aceponate, decrease_efficacy, allogeneic processed thymus tissue)","(Rimexolone, increases, excretion_rate)
(Rimexolone, has_effect_on, electrolyte_imbalance)
(Rimexolone, decreases, Aminoglutethimide)
(Flurandrenolide, causes, Contact_Dermatitis)
(Aminoglutethimide, decreases, Flurandrenolide)
(Aminoglutethimide, decreases, Hydrocortisone_Aceponate)
(Aminoglutethimide, targets, SN12K1)
(Hydrocortisone_Aceponate, decreases, allogeneic_processed_thymus_tissue)","(Rimexolone, increases, excretion_rate)
(Rimexolone, has_effect_of, electrolyte_imbalance)
(Rimexolone, decreases, Aminoglutethimide)
(Flurandrenolide, leads_to, contact_dermatitis)
(Aminoglutethimide, decreases, Flurandrenolide)
(Aminoglutethimide, decreases, Hydrocortisone_Aceponate)
(Aminoglutethimide, targets, SN12K1)
(Hydrocortisone_Aceponate, decreases, allogeneic_processed_thymus_tissue)",edge_replacement(COMPOUND:879→ACTIVITY:7)
7,0,node_removal,0.2413793103448276,0.6173122419026139,"Hyodeoxycholic acid decreases the efficacy of norethisterone and gemfibrozil. It also has a target, UDP-glucuronosyltransferase 1-8. Lynestrenol reduces the efficacy of insulin detemir, procaine benzylpenicillin, and hyodeoxycholic acid. Insulin detemir has side effects such as eczema, fatigue, and diabetes mellitus. Procaine benzylpenicillin decreases the efficacy of desogestrel, norelgestromin, and Vibrio cholerae CVD 103-HgR strain live antigen. Norelgestromin targets the androgen receptor and reduces the efficacy of lepirudin.","The medication procaine benzylpenicillin decreases the efficacy of desogestrel, norelgestromin, and the Vibrio cholerae CVD 103-HgR strain live antigen.","(hyodeoxycholic acid, decrease_efficacy, norethisterone)
(hyodeoxycholic acid, decrease_efficacy, gemfibrozil)
(hyodeoxycholic acid, has_target, udp-glucuronosyltransferase 1-8)
(lynestrenol, decrease_efficacy, insulin detemir)
(lynestrenol, decrease_efficacy, procaine benzylpenicillin)
(lynestrenol, decrease_efficacy, hyodeoxycholic acid)
(insulin detemir, has_side_effect, Eczema)
(insulin detemir, has_side_effect, Fatigue)
(insulin detemir, has_side_effect, Diabetes mellitus)
(procaine benzylpenicillin, decrease_efficacy, desogestrel)
(procaine benzylpenicillin, decrease_efficacy, norelgestromin)
(procaine benzylpenicillin, decrease_efficacy, vibrio cholerae cvd 103-hgr strain live antigen)
(norelgestromin, has_target, androgen receptor)
(norelgestromin, decrease_efficacy, lepirudin)","(procaine benzylpenicillin, decrease_efficacy, desogestrel)
(procaine benzylpenicillin, decrease_efficacy, norelgestromin)
(procaine benzylpenicillin, decrease_efficacy, vibrio cholerae cvd 103-hgr strain live antigen)","(Hyodeoxycholic_acid, decreases_efficacy_of, Norethisterone)
(Hyodeoxycholic_acid, decreases_efficacy_of, Gemfibrozil)
(Hyodeoxycholic_acid, has_target, UDP-glucuronosyltransferase_1-8)
(Lynestrenol, reduces_efficacy_of, Insulin_detemir)
(Lynestrenol, reduces_efficacy_of, Procaine_benzylpenicillin)
(Lynestrenol, reduces_efficacy_of, Hyodeoxycholic_acid)
(Insulin_detemir, has_side_effect, Eczema)
(Insulin_detemir, has_side_effect, Fatigue)
(Insulin_detemir, has_side_effect, Diabetes_mellitus)
(Procaine_benzylpenicillin, decreases_efficacy_of, Desogestrel)
(Procaine_benzylpenicillin, decreases_efficacy_of, Norelgestromin)
(Procaine_benzylpenicillin, decreases_efficacy_of, Vibrio_cholerae_CVD_103-HgR_strain_live_antigen)
(Norelgestromin, targets, Androgen_receptor)
(Norelgestromin, reduces_efficacy_of, Lepirudin)","(Procaine_benzylpenicillin, decreases_efficacy_of, Desogestrel)
(Procaine_benzylpenicillin, decreases_efficacy_of, Norelgestromin)
(Procaine_benzylpenicillin, decreases_efficacy_of, Vibrio_cholerae_CVD_103-HgR_strain_live_antigen)",node_removal(SIDE_EFFECT:160→None); node_removal(SIDE_EFFECT:255→None); node_removal(SIDE_EFFECT:457→None); node_removal(PROTEIN:946→None); node_removal(COMPOUND:10371→None); node_removal(COMPOUND:9705→None); node_removal(COMPOUND:1→None)
8,1,edge_deletion,0.8947368421052632,0.9999999991309356,"The drug nafcillin decreases the efficacy of demeclocycline, felodipine, and seletracetam. Demeclocycline, in turn, decreases the efficacy of sulbenicillin. Seletracetam decreases the efficacy of docusate and sulfate ion. Additionally, felodipine decreases the efficacy of deacetylbisacodyl and frangula purshiana bark while also having the side effect of causing tension.","The drug nafcillin decreases the efficacy of demeclocycline, felodipine, and seletracetam. Demeclocycline, in turn, decreases the efficacy of sulbenicillin. Seletracetam decreases the efficacy of docusate and sulfate ion. Felodipine decreases the efficacy of deacetylbisacodyl and frangula purshiana bark, while also causing the side effect of tension.","(nafcillin, decrease_efficacy, demeclocycline)
(nafcillin, decrease_efficacy, felodipine)
(nafcillin, decrease_efficacy, seletracetam)
(demeclocycline, decrease_efficacy, sulbenicillin)
(seletracetam, decrease_efficacy, docusate)
(seletracetam, decrease_efficacy, sulfate ion)
(felodipine, decrease_efficacy, deacetylbisacodyl)
(felodipine, decrease_efficacy, frangula purshiana bark)
(felodipine, has_side_effect, Tension)","(nafcillin, decrease_efficacy, demeclocycline)
(demeclocycline, decrease_efficacy, sulbenicillin)
(seletracetam, decrease_efficacy, docusate)
(seletracetam, decrease_efficacy, sulfate ion)
(felodipine, decrease_efficacy, deacetylbisacodyl)
(felodipine, decrease_efficacy, frangula purshiana bark)
(felodipine, has_side_effect, Tension)","(nafcillin, decreases_efficacy_of, demeclocycline)
(nafcillin, decreases_efficacy_of, felodipine)
(nafcillin, decreases_efficacy_of, seletracetam)
(demeclocycline, decreases_efficacy_of, sulbenicillin)
(seletracetam, decreases_efficacy_of, docusate)
(seletracetam, decreases_efficacy_of, sulfate_ion)
(felodipine, decreases_efficacy_of, deacetylbisacodyl)
(felodipine, decreases_efficacy_of, frangula_purshiana_bark)
(felodipine, causes_side_effect, tension)","(nafcillin, decreases_efficacy_of, demeclocycline)
(nafcillin, decreases_efficacy_of, felodipine)
(nafcillin, decreases_efficacy_of, seletracetam)
(demeclocycline, decreases_efficacy_of, sulbenicillin)
(seletracetam, decreases_efficacy_of, docusate)
(seletracetam, decreases_efficacy_of, sulfate_ion)
(felodipine, decreases_efficacy_of, deacetylbisacodyl)
(felodipine, decreases_efficacy_of, frangula_purshiana_bark)
(felodipine, causes_side_effect, tension)",edge_deletion(COMPOUND:593→COMPOUND:1006); edge_deletion(COMPOUND:593→COMPOUND:5309)
9,0,edge_replacement,0.9565217391304348,0.9997542118253008,"Tiotropium increases the effect of urinary retention and has the side effect of mouth ulceration. Additionally, tiotropium decreases the efficacy of magnesium. Emetonium iodide decreases the efficacy of linaclotide, magnesium carbonate, and sodium tartrate. Magnesium, in turn, decreases the efficacy of dihydroetorphine, dimetindene, and emetonium iodide. Dihydroetorphine increases the efficacy of pregabalin and lofexidine.","Tiotropium decreases efficacy of magnesium and has a side effect of mouth ulceration, as well as decreasing the effect of urinary retention. Emetonium iodide decreases efficacy of linaclotide, magnesium carbonate, and sodium tartrate. Magnesium decreases efficacy of dihydroetorphine, dimetindene, and emetonium iodide. Dihydroetorphine increases efficacy of pregabalin and lofexidine.","(tiotropium, increase_effect,  urinary retention )
(tiotropium, decrease_efficacy, magnesium)
(tiotropium, has_side_effect, Mouth ulceration)
(emetonium iodide, decrease_efficacy, linaclotide)
(emetonium iodide, decrease_efficacy, magnesium carbonate)
(emetonium iodide, decrease_efficacy, sodium tartrate)
(magnesium, decrease_efficacy, dihydroetorphine)
(magnesium, decrease_efficacy, dimetindene)
(magnesium, decrease_efficacy, emetonium iodide)
(dihydroetorphine, increase_efficacy, pregabalin)
(dihydroetorphine, increase_efficacy, lofexidine)","(tiotropium, decrease_efficacy, magnesium)
(tiotropium, has_side_effect, Mouth ulceration)
(tiotropium, decrease_effect,  urinary retention )
(emetonium iodide, decrease_efficacy, linaclotide)
(emetonium iodide, decrease_efficacy, magnesium carbonate)
(emetonium iodide, decrease_efficacy, sodium tartrate)
(magnesium, decrease_efficacy, dihydroetorphine)
(magnesium, decrease_efficacy, dimetindene)
(magnesium, decrease_efficacy, emetonium iodide)
(dihydroetorphine, increase_efficacy, pregabalin)
(dihydroetorphine, increase_efficacy, lofexidine)","(Tiotropium, increases, urinary_retention)
(Tiotropium, has_side_effect, mouth_ulceration)
(Tiotropium, decreases, magnesium)
(Emetonium_iodide, decreases, linaclotide)
(Emetonium_iodide, decreases, magnesium_carbonate)
(Emetonium_iodide, decreases, sodium_tartrate)
(Magnesium, decreases, dihydroetorphine)
(Magnesium, decreases, dimetindene)
(Magnesium, decreases, emetonium_iodide)
(Dihydroetorphine, increases, pregabalin)
(Dihydroetorphine, increases, lofexidine)","(Tiotropium, decreases, magnesium)
(Tiotropium, has_side_effect, mouth_ulceration)
(Tiotropium, decreases, urinary_retention)
(Emetonium_iodide, decreases, linaclotide)
(Emetonium_iodide, decreases, magnesium_carbonate)
(Emetonium_iodide, decreases, sodium_tartrate)
(Magnesium, decreases, dihydroetorphine)
(Magnesium, decreases, dimetindene)
(Magnesium, decreases, emetonium_iodide)
(Dihydroetorphine, increases, pregabalin)
(Dihydroetorphine, increases, lofexidine)",edge_replacement(COMPOUND:1348→EFFECT:96)
