perturbation_type,method,f1,roc_auc,n_samples
node_replacement,AA-KEA,0.8431372549019608,0.8846597462514417,102
node_replacement,ROUGE-1,0.773109243697479,0.7747020376778162,102
node_replacement,ROUGE-L,0.7153284671532847,0.6780084582852749,102
node_replacement,BLEU,0.6891891891891891,0.6351403306420608,102
node_replacement,BERTScore,0.8,0.8662053056516724,102
node_replacement,Sentence-T5,0.9333333333333333,0.9790465205690119,102
node_removal,AA-KEA,0.8676470588235294,0.9292307692307694,130
node_removal,ROUGE-1,0.8549618320610687,0.9319526627218935,130
node_removal,ROUGE-L,0.7910447761194029,0.8807100591715977,130
node_removal,BLEU,0.8489208633093526,0.8960946745562131,130
node_removal,BERTScore,0.816,0.9110059171597633,130
node_removal,Sentence-T5,0.9172932330827067,0.9778698224852072,130
edge_deletion,AA-KEA,0.675,0.6960514233241506,66
edge_deletion,ROUGE-1,0.6875,0.5899908172635445,66
edge_deletion,ROUGE-L,0.6966292134831461,0.6184573002754821,66
edge_deletion,BLEU,0.6888888888888889,0.5766758494031221,66
edge_deletion,BERTScore,0.6881720430107527,0.5684113865932048,66
edge_deletion,Sentence-T5,0.6808510638297872,0.6432506887052342,66
edge_replacement,AA-KEA,0.6865671641791045,0.6312956555171088,102
edge_replacement,ROUGE-1,0.6758620689655173,0.5893886966551326,102
edge_replacement,ROUGE-L,0.7164179104477612,0.6318723567858516,102
edge_replacement,BLEU,0.6833333333333333,0.6255286428296808,102
edge_replacement,BERTScore,0.6666666666666666,0.5963091118800462,102
edge_replacement,Sentence-T5,0.8440366972477065,0.9234909650134563,102
