perturbation_type,method,f1,roc_auc,n_samples
node_replacement,AA-KEA,0.9148936170212766,0.9582978723404255,97
node_replacement,ROUGE-1,0.7377049180327869,0.7808510638297872,97
node_replacement,ROUGE-L,0.6911764705882353,0.7051063829787234,97
node_replacement,BLEU,0.684931506849315,0.6774468085106383,97
node_replacement,BERTScore,0.8596491228070176,0.9136170212765957,97
node_replacement,Sentence-T5,0.8686868686868687,0.9336170212765957,97
edge_deletion,AA-KEA,0.7777777777777778,0.8103703703703703,104
edge_deletion,ROUGE-1,0.7027027027027027,0.655,104
edge_deletion,ROUGE-L,0.7034482758620689,0.6429629629629631,104
edge_deletion,BLEU,0.6883116883116883,0.6211111111111113,104
edge_deletion,BERTScore,0.7244094488188977,0.7551851851851852,104
edge_deletion,Sentence-T5,0.703125,0.7322222222222222,104
edge_replacement,AA-KEA,0.6790123456790124,0.5972027972027971,107
edge_replacement,ROUGE-1,0.6918238993710691,0.5833916083916084,107
edge_replacement,ROUGE-L,0.7189542483660131,0.6475524475524476,107
edge_replacement,BLEU,0.7019867549668874,0.6251748251748251,107
edge_replacement,BERTScore,0.7123287671232876,0.6237762237762238,107
edge_replacement,Sentence-T5,0.7412587412587412,0.7367132867132866,107
node_removal,AA-KEA,0.8666666666666667,0.8794896030245746,92
node_removal,ROUGE-1,0.8686868686868687,0.9196597353497165,92
node_removal,ROUGE-L,0.8349514563106796,0.8983931947069943,92
node_removal,BLEU,0.8888888888888888,0.9215500945179584,92
node_removal,BERTScore,0.8686868686868687,0.9352551984877127,92
node_removal,Sentence-T5,0.88,0.9215500945179584,92
