pair_id,response1,response2,label,perturbation_type,dataset_name
0,"Ipomoea purpurea is actively involved in ecological interactions with species like Cemolobus ipomoeae and the pollinator Peponapis pruinosa. The pollinator Melitoma taurea visits Ipomoea purpurea, establishing a connection between these species. Melitoma taurea also interacts with Cirsium discolor and visits the flowers of Eupatorium serotinum. Eupatorium serotinum, in turn, has interactions with several other species, including Bicyrtes quadrifasciatus, Chauliognathus pennsylvanicus, and Vaccinium arboreum. Vaccinium arboreum extends its ecological interactions to include Sassafras albidum and Carya alba. Additionally, Napaea dioica is linked through its interactions with Bombus impatiens and has a connection to Melitoma taurea, highlighting the intricate web of relationships between these species in their shared habitats.","Ipomoea purpurea is a species known to interact with Cemolobus ipomoeae and Peponapis pruinosa. This plant is also visited by Melitoma taurea, which is a species that interacts with Cirsium discolor and visits the flowers of Eupatorium serotinum. Eupatorium serotinum has interactions with several species including Bicyrtes quadrifasciatus, Chauliognathus pennsylvanicus, and Vaccinium arboreum. Vaccinium arboreum is further linked through interactions with Sassafras albidum and Carya alba. Napaea dioica also interacts with Bombus impatiens and Melitoma taurea, adding to the complex web of interactions in this ecosystem.",1,node_replacement,semantic_kg_globi
1,"Cladosporium nigrellum is a species of fungus that uses several plants as hosts, including Populus tremula, Fagus sylvatica, and Saxifraga sibirica. Populus tremula not only serves as a host but also interacts with other entities such as Zeugophora flavicollis, an organism known to feed on Salix alba. Additionally, Populus tremula has interactions with Dothiora sphaerioides and Peniophora violaceolivida. Saxifraga sibirica, another host for Cladosporium nigrellum, interacts with Woodsia alpina and Adoxa moschatellina, forming a complex web of ecological relationships.","Cladosporium nigrellum utilizes multiple plant species as its hosts, including Populus tremula, Fagus sylvatica, and Saxifraga sibirica. Populus tremula, being one of the hosts for Cladosporium nigrellum, has interactions with various other organisms such as Zeugophora flavicollis, which feeds on Salix alba, as well as the fungal species Dothiora sphaerioides and Peniophora violaceolivida. Additionally, Saxifraga sibirica, another host for Cladosporium nigrellum, interacts with Woodsia alpina and Adoxa moschatellina, further emphasizing the complex ecological relationships within this environment.",1,edge_replacement,semantic_kg_globi
2,"Tanacetum vulgare interacts with various species, including Eristalis brousii, Nodulosphaeria dolioloides, and Eristalis tenax, contributing to a complex ecological network. Meanwhile, Centaurea scabiosa is another plant involved in interactions with species like Golovinomyces cichoracearum, Trupanea stellata, and Bremia lactucae, highlighting its role in supporting a diverse range of organisms. Coelopencyrtus arenarius is a parasite of several Hylaeus species, including Hylaeus nigrita, Hylaeus nigritus, and Hylaeus gibbus, indicating its dependence on these hosts. Among its many roles, Hylaeus nigritus is known to pollinate Centaurea jacea and Centaurea scabiosa, while also visiting the flowers of Tanacetum vulgare. Hylaeus gibbus, another pollinator, helps in the reproduction of plants such as Philadelphus incanus, Erigeron canadensis, and Senecio inaequidens. Together, these interactions weave a rich tapestry of ecological relationships, underscoring the interconnectedness of diverse species within their environments.","In the intricate web of ecological interactions, Tanacetum vulgare, commonly known as tansy, interacts with Nodulosphaeria dolioloides and the hoverfly Eristalis tenax. Meanwhile, Centaurea scabiosa forms connections with Golovinomyces cichoracearum. The parasitic wasp Coelopencyrtus arenarius is a parasite of several species, including Hylaeus nigrita, Hylaeus nigritus, and Hylaeus gibbus. Hylaeus nigritus not only visits the flowers of Tanacetum vulgare but also plays a role in pollinating Centaurea scabiosa. Hylaeus gibbus engages in pollination activities as well, extending its effects to Philadelphus incanus, Erigeron canadensis, and Senecio inaequidens. Through these interactions, these species contribute to the dynamic processes of pollination, parasitism, and other ecological relationships within their environments.",0,node_removal,semantic_kg_globi
3,"Betula pendula is a versatile species that interacts with various organisms such as Euceraphis punctipennis and Cortinarius armillatus, and also creates a habitat for Nyctalus leisleri. Euceraphis punctipennis continues its interactions with Alnus rubra and Betula alleghaniensis, showing a connection between multiple tree species. Nyctalus leisleri benefits not only from the habitat provided by Betula pendula but also feeds on a range of species including Eupsilia transversa, Sabra harpagula, and Agrotis ipsilon. Eupsilia transversa has a diet that includes Prunus padus, and it utilizes Tilia platyphyllos and Corylus avellana as host plants. Meanwhile, Sabra harpagula finds hosts in Tilia cordata and Quercus cerris. Furthermore, Fomitopsis rufolaccata, a fungus, has host relationships with Betula pendula, Picea schrenkiana, and Cedrus deodara, showcasing the interconnectedness of this ecosystem.","Betula pendula plays a multifaceted role in its ecosystem by interacting with organisms such as Euceraphis punctipennis and Cortinarius armillatus. This birch species also creates habitats for Nyctalus leisleri, a bat known for its dietary preference that includes Eupsilia transversa, Sabra harpagula, and Agrotis ipsilon. Euceraphis punctipennis, besides interacting with Betula pendula, also interacts with Alnus rubra and Betula alleghaniensis. Eupsilia transversa feeds on Prunus padus and finds hosts in Tilia platyphyllos and Corylus avellana. Fomitopsis rufolaccata uses Betula pendula, Picea schrenkiana, and Cedrus deodara as hosts in its lifecycle. Meanwhile, Sabra harpagula establishes a host relationship with Tilia cordata and Quercus cerris. The interaction among these diverse species highlights the intricate and interdependent relationships within their shared environment.",1,node_removal,semantic_kg_globi
4,"Helianthus annuus engages in a mutualistic relationship with Diadasia enavata, highlighting a beneficial interaction between these species. Helianthus annuus also exhibits interactions with Sarcobatus vermiculatus and Euphorbia dentata, indicating its ecological connectivity with these plants. Sarcobatus vermiculatus further interacts with Ceratocephala orthoceras and Artemisia tridentata, showcasing its role in a broader web of plant interactions. Diadasia enavata supplements its ecological role by consuming Helminthotheca echioides and having Helianthus petiolaris as a host species, emphasizing its diverse ecological relationships. Moreover, Diadasia enavata is found adjacent to Monarda citriodora, illustrating spatial proximity. Complementing the ecological web, Hahncappsia coloradensis also interacts with Helianthus annuus, further accentuating the interconnected nature of these species within their habitat.","Helianthus annuus is a species that interacts with Euphorbia dentata, highlighting their ecological connection. Sarcobatus vermiculatus is involved in interactions with both Ceratocephala orthoceras and Artemisia tridentata, indicating its role in the ecosystem. The species Diadasia enavata, a type of bee, feeds on Helminthotheca echioides and has Helianthus petiolaris as a host. This bee is also known to be adjacent to Monarda citriodora, suggesting close proximity or possible interactions. Lastly, Hahncappsia coloradensis interacts with Helianthus annuus, further emphasizing the complex web of interactions among these species.",0,edge_deletion,semantic_kg_globi
5,"Chimpanzee associated porprismacovirus 2 is a virus that hosts in Pan troglodytes, also known as the chimpanzee. These chimpanzees have a diverse diet that includes consuming Xylopia quintasii, Cynometra alexandri, and Bridelia scleroneura. Interestingly, Xylopia quintasii serves as a key plant in this ecosystem, having vectors such as Lophoceros fasciatus, Cercopithecus neglectus, and Tauraco persa for its propagation. Furthermore, Lophoceros fasciatus, a significant vector for Xylopia quintasii, feeds on several plants including Celtis toka, Ficus platyphylla, and Strombosia pustulata, illustrating the complex web of interactions within this environmental niche.","Chimpanzee associated porprismacovirus 2 is a virus that co-occurs with Pan troglodytes, commonly known as chimpanzees. These primates have a diverse diet, consuming various plant species such as Xylopia quintasii, Cynometra alexandri, and Bridelia scleroneura. Xylopia quintasii is notable for having several vectors including Lophoceros fasciatus, Cercopithecus neglectus, and Tauraco persa. Lophoceros fasciatus, a bird, is known to eat a variety of fruits like Celtis toka, Ficus platyphylla, and Strombosia pustulata. This interconnected web of species interactions highlights the complex ecological relationships present in their environment.",0,edge_replacement,semantic_kg_globi
6,"The Swine acute diarrhea syndrome related coronavirus is known to interact with various plant species such as Maianthemum canadense and Rosa arkansana. In addition to its interactions with plant species, it also has Quercus fusiformis as a host. Rosa arkansana further interacts with species including Dasineura rhodophaga, Pediomelum argophyllum, and Pulsatilla patens. Pulsatilla patens itself interacts with other plant species like Juniperus communis and Arctostaphylos uva-ursi. Meanwhile, Mesopolobus citrinus acts as a parasite to several organisms, including Swine acute diarrhea syndrome related coronavirus, Rabdophaga saliciperda, and Molinia caerulea. Rabdophaga saliciperda is associated with Salix alba as its host.","The Swine acute diarrhea syndrome related coronavirus is known to interact with several species, including Maianthemum canadense and Rosa arkansana. It also has Quercus fusiformis as a host. Interestingly, Rosa arkansana itself interacts with species such as Dasineura rhodophaga, Pediomelum argophyllum, and Pulsatilla patens. Moreover, the latter species, Pulsatilla patens, interacts with Juniperus communis and Arctostaphylos uva-ursi. In the web of interactions, Mesopolobus citrinus acts as a parasite to Rabdophaga saliciperda, Molinia caerulea, and the Swine acute diarrhea syndrome related coronavirus. Rabdophaga saliciperda is additionally hosted by Salix alba, creating intricate relationships within this ecosystem.",1,node_removal,semantic_kg_globi
7,"Clinopodium nubigenum is associated as a vector with Tapirus pinchaque, highlighting a unique connection in their ecosystem. Acrocephalus arundinaceus interacts with Acrocephalus stentoreus, indicating possible interspecies connections or shared habitats. Gallibacterium salpingitidis is noted to have hosts such as Anas platyrhynchos and Bos taurus, showcasing its adaptability in infecting different species. Furthermore, Gallibacterium salpingitidis acts as a pathogen to Anser anser, suggesting its potential impact on this species. Elymus lanceolatus commonly co-occurs with Glechoma hederacea and Pilosella officinarum, which indicates a shared ecological niche or environment. Bos taurus, aside from interacting with Lespedeza cuneata, consumes Elymus lanceolatus and Clinopodium nubigenum, reflecting its dietary habits. Anas platyrhynchos feeds on Hordeum vulgare and Beckmannia syzigachne, while also interacting with Phalacrocorax auritus, suggesting interactions within its habitat. Anser anser co-occurs with Acrocephalus arundinaceus and feeds on plants including Sagittaria guayanensis and Ipomoea aquatica, indicating diverse dietary preferences within its environment. This network of interactions and dietary habits among these species paints a vivid picture of ecological interdependencies and co-occurrences in their respective habitats.","Acrocephalus arundinaceus interacts with Acrocephalus stentoreus, indicating a dynamic relationship between these two bird species. On another note, Gallibacterium salpingitidis is known to have Anas platyrhynchos as its host, establishing a parasitic relationship with this duck species, which interestingly consumes Beckmannia syzigachne as part of its diet. Meanwhile, Elymus lanceolatus exhibits a co-occurrence pattern with two different plant species: Glechoma hederacea and Pilosella officinarum. This suggests potential ecological interactions and shared habitats among these species.",0,node_removal,semantic_kg_globi
8,"Rubus flagellaris demonstrates interactions with various species, including Coelioxys sayi, Zodion fulvifrons, and Oplismenus hirtellus. Among these interactions, Coelioxys sayi further connects with Justicia americana, Helianthus occidentalis, and Pediomelum tenuiflorum, adding depth to the ecological network. Furthermore, Zodion fulvifrons not only interacts with Erigeron philadelphicus but also actively consumes Scutellaria lateriflora. Meanwhile, Rubus flagellaris is subject to consumption by Diptacus gigantorhynchus, which also feeds on Prunus persica, indicating a complex food web within this ecological landscape.","Rubus flagellaris interacts with various species such as Coelioxys sayi, Zodion fulvifrons, and Oplismenus hirtellus, indicating its significance in ecological networks. Coelioxys sayi further interacts with a diverse array of species including Justicia americana, Helianthus occidentalis, and Pediomelum tenuiflorum, highlighting its role in fostering biodiversity. Zodion fulvifrons interacts with Erigeron philadelphicus and has a dietary relationship with Scutellaria lateriflora. Interestingly, Diptacus gigantorhynchus is known to feed on both Rubus flagellaris and Prunus persica, showcasing a complex interdependence within this ecological community.",1,edge_deletion,semantic_kg_globi
9,"Morone saxatilis, commonly known as striped bass, displays predatory behavior by consuming Alosa sapidissima and preying on both Fundulus seminolis and Symphurus plagiusa. Meanwhile, Scorpaenichthys marmoratus, known as cabezon, is involved in a complex web of interactions; it feeds on Haliotis kamtschatkana and interacts with Engraulis mordax, as well as Morone saxatilis. Anoplopoma fimbria, or sablefish, preys on Pasiphaea pacifica and Scorpaenichthys marmoratus while feeding on Thysanoessa inermis. This species, Thysanoessa inermis, a type of krill, co-occurs with Meganyctiphanes norvegica and consumes Calanus hyperboreus and Calanus finmarchicus. Notably, Calanus hyperboreus itself preys on Calanus glacialis. Meganyctiphanes norvegica is known to prey on Metridia lucens. Completing this intricate food web, Astarte compacta feeds on Neocrangon communis and preys on Anoplopoma fimbria. The interplay of these various organisms highlights the complexity and interdependence found within marine ecosystems.",Scorpaenichthys marmoratus is a species that interacts with Engraulis mordax and Morone saxatilis. These interactions may occur in aquatic ecosystems where these species coexist and influence each other's ecological roles and behaviors.,0,node_removal,semantic_kg_globi
