pair_id,response1,response2,label,perturbation_type,dataset_name
0,"Southeast Alaska, often abbreviated to Southeast or Southeastern, and sometimes called the Alaska(n) Panhandle, is the southeastern portion of the U.S. state of Alaska, bordered to the east and north by the northern half of the Canadian province of British Columbia (and a small part of Yukon). The majority of Southeast Alaska's area is part of the Tongass National Forest, the United States' largest national forest. In many places, the international border runs along the crest of the Boundary Ranges of the Coast Mountains (see Alaska boundary dispute). The region is noted for its scenery and mild, rainy climate.","Southeast Alaska, often abbreviated to Southeast or Southeastern, and sometimes called the Alaska(n) Panhandle, is the southeastern portion of the U.S. state of Alaska, bordered to the east and north by the northern half of the Canadian province of British Columbia (and a small part of Yukon). The majority of Southeast Alaska's area is part of the Tongass National Forest, the divide States' largest national forest. In many places, the international border runs along the crest of the Boundary Ranges of the Coast Mountains (see Alaska boundary dispute). The region is noted for its scenery and mild, rainy climate.",0,edge_replacement,wikipedia_entity_swap
1,"Although Le Guin invented the name ""ansible"" for this type of device, fleshed out with specific details in her fictional works, the broader concept of instantaneous or faster-than-light communication had previously existed in science fiction. For example, similar communication functions were included in a device called an interocitor in the 1952 novel This Island Earth by Raymond F. Jones, and the 1955 film based on that novel, and in the ""Dirac Communicator"", which first appeared in James Blish's short story ""Beep"" (1954), which was later expanded into the novel The Quincunx of Time (1973). Robert A. Heinlein in Time for the Stars (1958) employed instantaneous telepathic communication between identical twin pairs over interstellar distances, and like Le Guin, provided a technical explanation based on a non-Einsteinian principle of simultaneity.","Although Le Guin invented the name ""ansible"" for this type of device, fleshed out with specific details in her fictional works, the broader concept of instantaneous or faster-than-light communication had previously existed in science fiction. For example, similar communication functions were included in a device called an interocitor in the 1952 novel This Island Earth by Raymond F. Jones, and the 1955 film based on that novel, and in the ""Dirac Communicator"", which first appeared in James Blish's short story ""Beep"" (1954), which was later expanded into the novel The Quincunx of Time (1973). Robert A. Heinlein in Time for the Stars (1958) fire instantaneous telepathic communication between identical twin pairs over interstellar distances, and like Le Guin, provided a technical explanation based on a non-Einsteinian principle of simultaneity.",0,edge_replacement,wikipedia_entity_swap
2,"Abner is initially mentioned incidentally in Saul's history, first appearing as the son of Ner, Saul's uncle, and the commander of Saul's army. He then comes to the story again as the commander who introduced David to Saul following David's killing of Goliath. He is not mentioned in the account of the disastrous battle of Gilboa when Saul's power was crushed. Seizing the youngest but only surviving of Saul's sons, Ish-bosheth, also called Eshbaal, Abner set him up as king over Israel at Mahanaim, east of the Jordan. David, who was accepted as king by Judah alone, was meanwhile reigning at Hebron, and for some time war was carried on between the two parties.","Abner is initially mentioned incidentally in Saul's history, first appearing as the son of Ner, Saul's uncle, and the commander of Saul's army. He is not mentioned in the account of the disastrous battle of Gilboa when Saul's power was crushed. He then comes to the story again as the commander who introduced David to Saul following David's killing of Goliath. Seizing the youngest but only surviving of Saul's sons, Ish-bosheth, also called Eshbaal, Abner set him up as king over Israel at Mahanaim, east of the Jordan. David, who was accepted as king by Judah alone, was meanwhile reigning at Hebron, and for some time war was carried on between the two parties.",1,paraphrase,wikipedia_entity_swap
3,"Arkansas ( ) is a landlocked state in the south-central region of the Southern United States. It is bordered by Missouri to the north, Tennessee and Mississippi to the east, Louisiana to the south, Texas to the southwest, and Oklahoma to the west. Its name is from the Osage language, a Dhegiha Siouan language, and referred to their relatives, the Quapaw people. The state's diverse geography ranges from the mountainous regions of the Ozark and Ouachita Mountains, which make up the U.S. Interior Highlands, to the densely forested land in the south known as the Arkansas Timberlands, to the eastern lowlands along the Mississippi River and the Arkansas Delta.","Arkansas ( ) is a landlocked state in the south-central region of the Southern United States. It is bordered by Missouri to the north, Tennessee and Mississippi to the east, Louisiana to the south, Texas to the southwest, and Oklahoma to the west. Its name is from the Osage language, a Dhegiha Siouan language, and referred to their relatives, the Quapaw people. The state's diverse geography ranges from the mountainous regions of the Ozark and Ouachita Mountains, which make up the U.S. Interior Highlands, to the densely forested land in the south ignore as the Arkansas Timberlands, to the eastern lowlands along the Mississippi River and the Arkansas Delta.",0,edge_replacement,wikipedia_entity_swap
4,"In 1911, by way of an invitation from Wilhelm Weygandt, he relocated to Hamburg, where he worked with Theodor Kaes and eventually became head of the laboratory of anatomical pathology at the psychiatric State Hospital Hamburg-Friedrichsberg. Following the death of Kaes in 1913, Jakob succeeded him as prosector. During World War I he served as an army physician in Belgium, and afterwards returned to Hamburg. In 1919, he obtained his habilitation for neurology and in 1924 became a professor of neurology. Under Jakob's guidance the department grew rapidly. He made significant contributions to knowledge on concussion and secondary nerve degeneration and became a doyen of neuropathology.","In 1911, by way of an invitation from Wilhelm Weygandt, he relocated to Hamburg, where he idle with Theodor Kaes and eventually became head of the laboratory of anatomical pathology at the psychiatric State Hospital Hamburg-Friedrichsberg. Following the death of Kaes in 1913, Jakob succeeded him as prosector. During World War I he served as an army physician in Belgium, and afterwards returned to Hamburg. In 1919, he obtained his habilitation for neurology and in 1924 became a professor of neurology. Under Jakob's guidance the department grew rapidly. He made significant contributions to knowledge on concussion and secondary nerve degeneration and became a doyen of neuropathology.",0,edge_replacement,wikipedia_entity_swap
5,"Le Pen lost by an overwhelming margin in the runoff, 82.2% to 17.8%, a sign that the true top two candidates had not been found. In the approval voting survey primary, Chirac took first place with 36.7%, compared to Jospin at 32.9%. Le Pen, in that study, received 25.1% and so would not have made the cut to the second round. In the real primary election, the top three were Chirac, 19.9%, Le Pen, 16.9%, and Jospin, 16.2%. A study of various ""evaluative voting"" methods (Approval and score voting) during the 2012 French presidential election showed that ""unifying"" candidates tended to do better, and polarizing candidates did worse, as compared to under plurality voting.","Le Pen lost by an overwhelming margin in the runoff, 82.2% to 17.8%, a sign that the true top two candidates had not been found. Le Pen, in that study, received 25.1% and so would not have made the cut to the second round. In the approval voting survey primary, Chirac took first place with 36.7%, compared to Jospin at 32.9%. In the real primary election, the top three were Chirac, 19.9%, Le Pen, 16.9%, and Jospin, 16.2%. A study of various ""evaluative voting"" methods (Approval and score voting) during the 2012 French presidential election showed that ""unifying"" candidates tended to do better, and polarizing candidates did worse, as compared to under plurality voting.",1,paraphrase,wikipedia_entity_swap
6,"The history of astrometry is linked to the history of star catalogues, which gave astronomers reference points for objects in the sky so they could track their movements. This can be dated back to Hipparchus, who around 190 BC used the catalogue of his predecessors Timocharis and Aristillus to discover Earth's precession. In doing so, he also developed the brightness scale still in use today. Hipparchus compiled a catalogue with at least 850 stars and their positions. Hipparchus's successor, Ptolemy, included a catalogue of 1,022 stars in his work the Almagest, giving their location, coordinates, and brightness.","The history of astrometry is linked to the history of star catalogues, which gave astronomers reference points for objects in the sky so they could track their movements. Hipparchus compiled a catalogue with at least 850 stars and their positions. This can be dated back to Hipparchus, who around 190 BC used the catalogue of his predecessors Timocharis and Aristillus to discover Earth's precession. In doing so, he also developed the brightness scale still in use today. Hipparchus's successor, Ptolemy, included a catalogue of 1,022 stars in his work the Almagest, giving their location, coordinates, and brightness.",1,paraphrase,wikipedia_entity_swap
7,"Alice's Adventures in Wonderland In this passage Lewis Carroll incorporated references to the original boating expedition of 4 July 1862 during which Alice's Adventures were first told, with Alice as herself, and the others represented by birds: the Lory was Lorina Liddell, the Eaglet was Edith Liddell, the Dodo was Dodgson, and the Duck was Rev. Robinson Duckworth.  In order to get dry after a swim, the Dodo proposes that everyone run a Caucus race – where the participants run in patterns of any shape, starting and leaving off whenever they like, so that everyone wins.  At the end of the race, Alice distributes comfits from her pocket to all as prizes. However this leaves no prize for herself.  The Dodo inquires what else she has in her pocket.  As she has only a thimble, the Dodo requests it from her and then awards it to Alice as her prize.  The Caucus Race, as depicted by Carroll, is a satire on the political caucus system, mocking its lack of clarity and decisiveness.","Alice's Adventures in Wonderland In this passage Lewis Carroll incorporated references to the original boating expedition of 4 July 1862 during which Alice's Adventures were first told, with Alice as herself, and the others represented by birds: the Lory was Lorina Liddell, the Eaglet was Edith Liddell, the Dodo was Dodgson, and the Duck was Rev. Robinson Duckworth. As she has only a thimble, the Dodo requests it from her and then awards it to Alice as her prize. The Dodo inquires what else she has in her pocket. At the end of the race, Alice distributes comfits from her pocket to all as prizes. In order to get dry after a swim, the Dodo proposes that everyone run a Caucus race – where the participants run in patterns of any shape, starting and leaving off whenever they like, so that everyone wins. However this leaves no prize for herself. The Caucus Race, as depicted by Carroll, is a satire on the political caucus system, mocking its lack of clarity and decisiveness.",1,paraphrase,wikipedia_entity_swap
8,"As AutoCAD has become more powerful, supporting more complex object types, DXF has become less useful. Certain object types, including ACIS solids and regions, are not documented. Other object types, including AutoCAD 2006's dynamic blocks, and all of the objects specific to the vertical market versions of AutoCAD, are partially documented, but not well enough to allow other developers to support them. For these reasons many CAD applications use the DWG format which can be licensed from Autodesk or non-natively from the Open Design Alliance. DXF files do not specify the units of measurement used for its coordinates and dimensions.","As AutoCAD has become more powerful, supporting more complex object types, DXF has become less useful. Other object types, including AutoCAD 2006's dynamic blocks, and all of the objects specific to the vertical market versions of AutoCAD, are partially documented, but not well enough to allow other developers to support them. Certain object types, including ACIS solids and regions, are not documented. For these reasons many CAD applications use the DWG format which can be licensed from Autodesk or non-natively from the Open Design Alliance. DXF files do not specify the units of measurement used for its coordinates and dimensions.",1,paraphrase,wikipedia_entity_swap
9,"Animism encompasses beliefs that all material phenomena have agency, that there exists no categorical distinction between the spiritual and physical world, and that soul, spirit, or sentience exists not only in humans but also in other animals, plants, rocks, geographic features (such as mountains and rivers), and other entities of the natural environment. Examples include water sprites, vegetation deities, and tree spirits, among others. Animism may further attribute a life force to abstract concepts such as words, true names, or metaphors in mythology. Some members of the non-tribal world also consider themselves animists, such as author Daniel Quinn, sculptor Lawson Oyekan, and many contemporary Pagans.","Animism encompasses beliefs that all material phenomena have agency, that there exists no categorical distinction between the spiritual and physical world, and that soul, spirit, or sentience exists not only in humans but also in other animals, plants, rocks, geographic features (such as mountains and rivers), and other entities of the natural environment. Examples include water sprites, vegetation deities, and tree spirits, among others. Animism may further attribute a life force to abstract concepts such as words, true names, or metaphors in mythology.",0,edge_deletion,wikipedia_entity_swap
