method,length_bin,avg_length,n_samples,accuracy,f1
AA-KEA (Our Method),"(60, 80]",80.0,6,0.6666666666666666,0.8
BERTScore,"(60, 80]",80.0,6,0.6666666666666666,0.8
sentence-t5-base,"(60, 80]",80.0,6,1.0,1.0
ROUGE-L,"(60, 80]",80.0,6,0.8333333333333334,0.9090909090909091
AA-KEA (Our Method),"(80, 100]",91.67222222222222,90,0.8111111111111111,0.8495575221238938
BERTScore,"(80, 100]",91.67222222222222,90,0.6888888888888889,0.7777777777777778
sentence-t5-base,"(80, 100]",91.67222222222222,90,0.7,0.784
ROUGE-L,"(80, 100]",91.67222222222222,90,0.6444444444444445,0.7538461538461538
AA-KEA (Our Method),"(100, 150]",119.15454545454546,220,0.8045454545454546,0.8170212765957446
BERTScore,"(100, 150]",119.15454545454546,220,0.7045454545454546,0.7601476014760148
sentence-t5-base,"(100, 150]",119.15454545454546,220,0.7136363636363636,0.7725631768953068
ROUGE-L,"(100, 150]",119.15454545454546,220,0.6454545454545455,0.7328767123287672
AA-KEA (Our Method),"(150, 200]",172.43650793650792,63,0.7619047619047619,0.7887323943661971
BERTScore,"(150, 200]",172.43650793650792,63,0.6666666666666666,0.7341772151898734
sentence-t5-base,"(150, 200]",172.43650793650792,63,0.7142857142857143,0.7692307692307693
ROUGE-L,"(150, 200]",172.43650793650792,63,0.5396825396825397,0.6741573033707865
