pair_id,response1,response2,label,perturbation_type,dataset_name
0,"He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , North Branch , Otisville , Stephen 's , and Factories .","He preached in Bridgeville , Callicoon , Fallsburgh , Grahamsville , Lackawack , Neversink , North Branch , Otisville , Stephen and Fabriken .",1,paraphrase,paws_wiki
1,"Cassandra Peterson also appeared in Peaches Christ 's `` All About Evil '' with Patrick Bristow , Mink Stole and Brown .","Cassandra Peterson also appeared in Peaches Christi `` All About Evil '' with Patrick Bristow , Mink Stole and Brown .",1,paraphrase,paws_wiki
2,The railway station of Betul is located between Bhopal and Nagpur station .,Nagpur railway station is located between Bhopal and Betul station .,0,non_paraphrase,paws_wiki
3,"Griese was temporarily injured in the season , however , and later relieved of Grossman .","However , Griese was temporarily injured in the season , and later relieved by Grossman .",1,paraphrase,paws_wiki
4,"April 16 , 1984 -- became adult contemporary WCGY , music of the 1960s and 1970s with 25 % of current music .","April 16 , 1984 - became adult current WCGY , 1960s ' and 1970s ' music with 25 % contemporary music .",0,non_paraphrase,paws_wiki
5,`` Whatever Will Be '' ( 2005 ) is the second song released by Tammin from her first album `` Whatever Will Be '' .,`` Whatever Will Be '' ( 2005 ) is the first song of Tammin from her second album `` Whatever Will Be '' .,0,non_paraphrase,paws_wiki
6,"In February 2016 , Daniel Pollack announced that Argentina had reached agreement with Paul Singer .",Daniel Pollack announced in February 2016 that Argentina had reached an agreement with Paul Singer .,1,paraphrase,paws_wiki
7,The county seat for DeWitt Township was also in Clinton County from the founding of the county .,The county seat for Clinton County was also located in DeWitt Township from the inception of the County .,0,non_paraphrase,paws_wiki
8,"They were accompanied by several other families , or were soon followed , including Masters , Kisner , Battin , Parker , Lundy , Lemon , Oliver , and Rich .","They were accompanied or were soon followed by some other families , including Masters , Parker , Lundy , Battin , Kisner , Lemon , Oliver , and Rich .",1,paraphrase,paws_wiki
9,"The Indore district consists of 4 divisions : Depalpur , Sanwer , Indore and Mhow .","Mhow district consists of 4 divisions ; Depalpur , Sanwer , Indore and Indore .",0,non_paraphrase,paws_wiki
