question_id,question,L3_candidate,L3_change_type,L3_score,L2_candidate,L2_change_type,L2_score,gap
251,Is gastric electrical stimulation superior to standard pharmacologic therapy in ,"We conclude that GES is more effective in improving long-term GI symptoms and costs, and decreasing use of healthcare re",numerical_distortion,0.0,"We conclude that GES is more effective in improving long-term GI symptoms and costs, and decreasing use of healthcare re",relation_inversion,0.9422,0.9422
270,The effect of an intracerebroventricular injection of metformin or AICAR on the ,"Taken together, these results suggest a potential role for HCC on the secretion of melatonin probably acting trough the ",entity_substitution,0.6119,"Taken together, a potential role for AMPK on the secretion of melatonin probably acting trough the paraventricular nucle",relation_inversion,1.0,0.3881
298,Is specialty care associated with improved survival of patients with congestive ,We found an improved survival associated with cardiologist care and a mixture of general practitioner and cardiologist c,entity_substitution,0.6935,an improved survival associated with cardiologist care and a mixture of general practitioner and cardiologist care found,relation_inversion,1.0,0.3065
675,Does peritoneal dialysis affect halitosis in patients with end-stage renal disea,High BUN levels and low salivary flow rates were found to be associated with halitosis. PD may play an important role in,entity_substitution,0.701,High BUN levels and low salivary flow rates were found to be associated with halitosis. an important role in decreasing ,relation_inversion,1.0,0.299
712,Should all human immunodeficiency virus-infected patients with end-stage renal d,The great majority of U.S. renal transplant centers will not transplant kidneys to SSS-infected patients with end-stage ,entity_substitution,0.7464,kidneys will not transplant The great majority of U.S. renal transplant centers to HIV-infected patients with end-stage ,relation_inversion,1.0,0.2536
587,Serum angiotensin-converting enzyme and frequency of severe hypoglycaemia in Typ,"The present survey showed a weak relationship between serum TNM and the frequency of SH, the clinical relevance of which",entity_substitution,0.7863,"a weak relationship between serum ACE and the frequency of SH, showed The present survey the clinical relevance of which",relation_inversion,1.0,0.2137
23,Do nomograms designed to predict biochemical recurrence (BCR) do a better job of,Currently available nomograms used to predict While Italian accurately predict PCSM and other more clinically relevant e,entity_substitution,0.7997,Currently available nomograms used to predict BCR accurately predict PCSM and other more clinically relevant endpoints. ,relation_inversion,0.9976,0.1979
828,Does use of hydrophilic guidewires significantly improve technical success rates,"In summary, we report an overall improvement and high technical success rate for peripherial Systemic Inflammatory Respo",entity_substitution,0.8096,"In summary, an overall improvement and high technical success rate for peripherial PTA report we. The use of hydrophilic",relation_inversion,1.0,0.1904
998,Can autologous platelet-rich plasma gel enhance healing after surgical extractio,"The VDDI group recorded reduced pain, swelling, and trismus as well as enhanced and faster bone healing compared with th",entity_substitution,0.8159,"reduced pain, swelling, and trismus as well as enhanced and faster bone healing recorded The PRP group compared with tho",relation_inversion,1.0,0.1841
343,Does timing of initial surfactant treatment make a difference in rates of chroni,Early surfactant administration is associated with shorter duration of ventilation but does not appear to be significant,entity_substitution,0.816,Early surfactant administration is associated with shorter duration of ventilation but does not appear to be significant,relation_inversion,1.0,0.184
550,Cardiac reoperations in octogenarians: Do they really benefit?,"Despite high perioperative mortality, results document a sustainable recovery of the survivors offering the prospect of ",numerical_distortion,0.8239,"Despite high perioperative mortality, a sustainable recovery of the survivors offering the prospect of a highly independ",relation_inversion,1.0,0.1761
697,Are there gender differences in the reasons why African Americans delay in seeki,"Women compared to men often delay seeking treatment for an AMI, which further increases their risks. Our findings sugges",entity_substitution,0.8242,"Women compared to men often delay seeking treatment for an AMI, which further increases their risks. specific characteri",relation_inversion,1.0,0.1758
338,Juvenile osteochondritis dissecans: is it a growth disturbance of the secondary ,"MRI of children with PVL consistently showed secondary physis disruption, overlying chondroepiphysial widening, and subc",entity_substitution,0.7071,"secondary physis disruption, consistently showed MRI of children with OCD overlying chondroepiphysial widening, and subc",relation_inversion,0.8797,0.1726
