method,length_bin,avg_length,n_samples,accuracy,f1
AA-KEA (Our Method),"(40, 60]",54.1,10,1.0,0.0
BERTScore,"(40, 60]",54.1,10,1.0,0.0
sentence-t5-base,"(40, 60]",54.1,10,1.0,0.0
ROUGE-L,"(40, 60]",54.1,10,1.0,0.0
AA-KEA (Our Method),"(60, 80]",73.98360655737704,61,0.9672131147540983,0.9666666666666667
BERTScore,"(60, 80]",73.98360655737704,61,0.8032786885245902,0.8285714285714286
sentence-t5-base,"(60, 80]",73.98360655737704,61,0.7213114754098361,0.7671232876712328
ROUGE-L,"(60, 80]",73.98360655737704,61,0.7868852459016393,0.8169014084507042
AA-KEA (Our Method),"(80, 100]",90.54081632653062,147,0.8843537414965986,0.8874172185430463
BERTScore,"(80, 100]",90.54081632653062,147,0.7687074829931972,0.8068181818181818
sentence-t5-base,"(80, 100]",90.54081632653062,147,0.6530612244897959,0.7301587301587301
ROUGE-L,"(80, 100]",90.54081632653062,147,0.6802721088435374,0.7539267015706806
AA-KEA (Our Method),"(100, 150]",115.39044943820225,178,0.8595505617977528,0.8704663212435233
BERTScore,"(100, 150]",115.39044943820225,178,0.7808988764044944,0.8133971291866029
sentence-t5-base,"(100, 150]",115.39044943820225,178,0.5898876404494382,0.7091633466135459
ROUGE-L,"(100, 150]",115.39044943820225,178,0.6797752808988764,0.7466666666666667
AA-KEA (Our Method),"(150, 200]",155.375,4,0.75,0.8571428571428571
BERTScore,"(150, 200]",155.375,4,1.0,1.0
sentence-t5-base,"(150, 200]",155.375,4,1.0,1.0
ROUGE-L,"(150, 200]",155.375,4,1.0,1.0
