method,length_bin,avg_length,n_samples,accuracy,f1
AA-KEA (Our Method),"(40, 60]",54.766666666666666,15,0.9333333333333333,0.9230769230769231
BERTScore,"(40, 60]",54.766666666666666,15,0.6666666666666666,0.6666666666666666
sentence-t5-base,"(40, 60]",54.766666666666666,15,0.8,0.7272727272727273
ROUGE-L,"(40, 60]",54.766666666666666,15,0.8666666666666667,0.8333333333333334
AA-KEA (Our Method),"(60, 80]",69.9125,40,0.975,0.9743589743589743
BERTScore,"(60, 80]",69.9125,40,0.725,0.7659574468085106
sentence-t5-base,"(60, 80]",69.9125,40,0.85,0.8421052631578947
ROUGE-L,"(60, 80]",69.9125,40,0.7,0.7142857142857143
AA-KEA (Our Method),"(80, 100]",90.05263157894737,19,1.0,1.0
BERTScore,"(80, 100]",90.05263157894737,19,0.7368421052631579,0.8
sentence-t5-base,"(80, 100]",90.05263157894737,19,0.9473684210526315,0.9523809523809523
ROUGE-L,"(80, 100]",90.05263157894737,19,0.8421052631578947,0.8695652173913043
AA-KEA (Our Method),"(100, 150]",110.32352941176471,17,1.0,1.0
BERTScore,"(100, 150]",110.32352941176471,17,0.8235294117647058,0.896551724137931
sentence-t5-base,"(100, 150]",110.32352941176471,17,0.7647058823529411,0.8571428571428571
ROUGE-L,"(100, 150]",110.32352941176471,17,0.7647058823529411,0.8333333333333334
AA-KEA (Our Method),"(150, 200]",164.0,1,1.0,1.0
BERTScore,"(150, 200]",164.0,1,1.0,1.0
sentence-t5-base,"(150, 200]",164.0,1,1.0,1.0
ROUGE-L,"(150, 200]",164.0,1,1.0,1.0
