pair_id,label,perturbation_type,gt_similarity,snea_bert_similarity,paragraph_1,paragraph_2,gt_kg1_triples,gt_kg2_triples,our_kg1_triples,our_kg2_triples,perturbation_log
0,1,node_replacement,0.782608695652174,0.9988049397895152,"The U.S. Economy is closely related to Gross Domestic Product, the global economic slowdown, and innovation. The Gross Domestic Product operates in Mexico and relates to both economic growth and the Canadian economy. Spending impacts the U.S. Economy, while the global economic slowdown has a negative impact on bank stocks. Furthermore, innovation not only affects technology but also has a positive impact on business and significantly influences the jobs market.","The U.S. Economy relates to several key factors including Gross Domestic Product, global economic slowdown, and innovation. The Gross Domestic Product operates in Mexico and also relates to economic growth and the Canadian economy. Additionally, spending impacts the U.S. Economy, while the global economic slowdown has a negative impact on bank stocks. Innovation plays a significant role by impacting technology and the jobs market, and it has a positive impact on business.","(The U.S. Economy, Relate_To, Gross Domestic Product)
(The U.S. Economy, Relate_To, Global economic slowdown)
(The U.S. Economy, Relate_To, Innovation)
(Global economic slowdown, Negative_Impact_On, Bank stocks)
(Spending, Impact, The U.S. Economy)
(Gross Domestic Product, Operate_In, Mexico)
(Gross Domestic Product, Relate_To, Economic growth)
(Gross Domestic Product, Relate_To, Canadian economy)
(Innovation, Impact, Technology)
(Innovation, Positive_Impact_On, Business)
(Innovation, Impact, Jobs Market)","(The U.S. Economy, Relate_To, Gross Domestic Product)
(The U.S. Economy, Relate_To, Command)
(The U.S. Economy, Relate_To, Innovation)
(Command, Negative_Impact_On, Bitcoin Cash)
(Spending, Impact, The U.S. Economy)
(Gross Domestic Product, Operate_In, Mexico)
(Gross Domestic Product, Relate_To, Economic growth)
(Gross Domestic Product, Relate_To, Canadian economy)
(Innovation, Impact, Manufacturing)
(Innovation, Positive_Impact_On, Financial World)
(Innovation, Impact, Pardons)","(U.S._Economy, related_to, Gross_Domestic_Product)
(U.S._Economy, related_to, global_economic_slowdown)
(U.S._Economy, related_to, innovation)
(Gross_Domestic_Product, operates_in, Mexico)
(Gross_Domestic_Product, relates_to, economic_growth)
(Gross_Domestic_Product, relates_to, Canadian_economy)
(Spending, impacts, U.S._Economy)
(global_economic_slowdown, has_negative_impact_on, bank_stocks)
(Innovation, affects, technology)
(Innovation, has_positive_impact_on, business)
(Innovation, influences, jobs_market)","(U.S._Economy, relates_to, Gross_Domestic_Product)
(U.S._Economy, relates_to, global_economic_slowdown)
(U.S._Economy, relates_to, innovation)
(Gross_Domestic_Product, operates_in, Mexico)
(Gross_Domestic_Product, relates_to, economic_growth)
(Gross_Domestic_Product, relates_to, Canadian_economy)
(Spending, impacts, U.S._Economy)
(global_economic_slowdown, has_negative_impact_on, bank_stocks)
(Innovation, impacts, technology)
(Innovation, impacts, jobs_market)
(Innovation, has_positive_impact_on, business)",node_replacement(4149→None); node_replacement(2553→None); node_replacement(3736→None); node_replacement(2262→None); node_replacement(10564→None)
1,1,node_removal,0.7142857142857143,0.7113984399787363,"Assad plays a central role in controlling the Syrian Conflict, a situation that has garnered international attention. His actions are closely related to the deployment of chemical weapons, which have been a significant and controversial aspect of the conflict. Additionally, Assad is a key member of the Assad regime, which underpins the political structure supporting his control and influence.","Assad exerts control over the Syrian Conflict, a complex situation involving various factions and international interests. His actions and decisions within this conflict are closely related to the deployment and alleged use of chemical weapons, which has drawn widespread condemnation and scrutiny. Additionally, Assad is a pivotal figure within the Assad regime, implying his integral role and influence within the governing structure that supports him.","(Assad, Control, Syrian Conflict)
(Assad, Relate_To, Chemical Weapons)
(Assad, Is_Member_Of, Assad regime)","(Assad, Control, Syrian Conflict)
(Assad, Relate_To, Chemical Weapons)","(Assad, plays_central_role_in, Syrian_Conflict)
(Syrian_Conflict, has_garnered, international_attention)
(Assad, actions_related_to, deployment_of_chemical_weapons)
(deployment_of_chemical_weapons, aspect_of, Syrian_Conflict)
(Assad, member_of, Assad_regime)
(Assad_regime, underpins, political_structure)
(political_structure, supports, Assad_control_and_influence)","(Assad, exerts_control_over, Syrian_Conflict)
(Syrian_Conflict, involves, various_factions)
(Syrian_Conflict, involves, international_interests)
(Assad, actions_related_to, deployment_and_alleged_use_of_chemical_weapons)
(deployment_and_alleged_use_of_chemical_weapons, draws, widespread_condemnation)
(deployment_and_alleged_use_of_chemical_weapons, draws, scrutiny)
(Assad, pivotal_figure_in, Assad_regime)
(Assad_regime, implies, integral_role_of_Assad)
(Assad_regime, supports, Assad_influence)
(Assad_regime, part_of, governing_structure)",node_removal(1455→None)
2,0,node_replacement,0.7272727272727273,0.5652583623492695,"Manafort is related to both Paul Manafort and Mueller, and is involved in activities that raise concerns for U.S. banks. These banks, which operate in the United States, play a crucial role in controlling the financial response to potential cyberattacks.","Manafort is connected to both the Secretary of State and Mueller, suggesting a significant network of relationships possibly affecting political and legal domains. In addition to these connections, Manafort also engages in activities that raise funds for charities. These charities, operating within the United States, exercise control over initiatives such as the MeToo Movement, indicating their influence and reach within societal change efforts.","(Manafort, Relate_To, Paul Manafort)
(Manafort, Relate_To, Mueller)
(Manafort, Raise, U.S. banks)
(U.S. banks, Control, Cyberattack)
(U.S. banks, Operate_In, United States)","(Manafort, Relate_To, Secretary of State)
(Manafort, Relate_To, Mueller)
(Manafort, Raise, Charities)
(Charities, Control, MeToo Movement)
(Charities, Operate_In, United States)","(Manafort, related_to, Paul_Manafort)
(Manafort, related_to, Mueller)
(Manafort, involved_in, activities)
(activities, raise_concerns_for, U.S._banks)
(U.S._banks, operate_in, United_States)
(U.S._banks, play_role_in, controlling_financial_response_to_potential_cyberattacks)","(Manafort, connected_to, Secretary_of_State)
(Manafort, connected_to, Mueller)
(Manafort, engages_in, activities)
(activities, raise_funds_for, charities)
(charities, operate_in, United_States)
(charities, exercise_control_over, initiatives)
(initiatives, include, MeToo_Movement)
(charities, have_influence_on, societal_change_efforts)",node_replacement(116→None); node_replacement(905→None); node_replacement(2094→None)
3,1,node_replacement,0.8571428571428572,0.660301282131833,"Paul Achleitner controls Deutsche Bank AG and has a significant impact on Deutsche Bank. Additionally, Paul Achleitner relates to John Cryan, indicating a connection between the two in the context of their roles within the bank.","Paul Achleitner controls Deutsche Bank AG and has a notable impact on Deutsche Bank. Additionally, Paul Achleitner relates to John Cryan, indicating a connection between them within the context of the bank's leadership and strategic direction.","(Paul Achleitner, Impact, Deutsche Bank)
(Paul Achleitner, Control, Deutsche Bank AG)
(Paul Achleitner, Relate_To, John Cryan)","(Paul Achleitner, Impact, Warburg Pincus)
(Paul Achleitner, Control, Deutsche Bank AG)
(Paul Achleitner, Relate_To, John Cryan)","(Paul_Achleitner, controls, Deutsche_Bank_AG)
(Paul_Achleitner, has_impact_on, Deutsche_Bank)
(Paul_Achleitner, relates_to, John_Cryan)
(Paul_Achleitner, role_context, Deutsche_Bank)
(John_Cryan, role_context, Deutsche_Bank)","(Paul_Achleitner, controls, Deutsche_Bank_AG)
(Paul_Achleitner, has_impact_on, Deutsche_Bank)
(Paul_Achleitner, relates_to, John_Cryan)
(Paul_Achleitner, role_context, Deutsche_Bank_leadership)
(John_Cryan, role_context, Deutsche_Bank_leadership)
(Deutsche_Bank_leadership, involves, strategic_direction)",node_replacement(264→None)
4,0,edge_deletion,0.9090909090909092,0.9263133932009,"The ISM relates to trading partners and has a significant impact on both the manufacturing sector and the US economy. The manufacturing sector, in turn, relates to employment and operates within the Canadian economy.","The ISM relates to trading partners and has an impact on the US economy. Furthermore, the manufacturing sector operates in the Canadian economy and relates to employment, highlighting the interconnectedness of these economic components across borders.","(ISM, Relate_To, Trading Partners)
(ISM, Impact, Manufacturing sector)
(ISM, Impact, US Economy)
(Manufacturing sector, Relate_To, Employment)
(Manufacturing sector, Operate_In, Canadian economy)","(ISM, Relate_To, Trading Partners)
(ISM, Impact, US Economy)
(Manufacturing sector, Relate_To, Employment)
(Manufacturing sector, Operate_In, Canadian economy)","(ISM, relates_to, trading_partners)
(ISM, impact_on, manufacturing_sector)
(ISM, impact_on, US_economy)
(manufacturing_sector, relates_to, employment)
(manufacturing_sector, operates_in, Canadian_economy)","(ISM, relates_to, trading_partners)
(ISM, impact_on, US_economy)
(manufacturing_sector, operates_in, Canadian_economy)
(manufacturing_sector, relates_to, employment)",edge_deletion(4356→1965)
5,0,node_removal,0.4210526315789473,0.6753286072124143,"The Securities and Exchange Commission controls both shareholders and the banking industry, and has a negative impact on the Bitcoin ETF. Shareholders, in turn, impact companies, while William Taylor relates to both the US Government and the Securities and Exchange Commission. Additionally, the US Government relates to the U.S.-China trade dispute and negatively impacts Kellyanne Conway, while it also has an impact on investment in China.","William Taylor relates to the US Government, which impacts investment in China. Additionally, shareholders have an influence on companies, indicating the interconnectedness between these entities in financial and political contexts.","(Securities and Exchange Commission, Control, Shareholders)
(Securities and Exchange Commission, Negative_Impact_On, Bitcoin ETF)
(Securities and Exchange Commission, Control, Banking Industry)
(William Taylor, Relate_To, US Government)
(William Taylor, Relate_To, Securities and Exchange Commission)
(Shareholders, Impact, Companies)
(US Government, Relate_To, U.S.-China Trade Dispute)
(US Government, Negative_Impact_On, Kellyanne Conway)
(US Government, Impact, Investment in China)","(William Taylor, Relate_To, US Government)
(Shareholders, Impact, Companies)
(US Government, Impact, Investment in China)","(Securities_and_Exchange_Commission, controls, shareholders)
(Securities_and_Exchange_Commission, controls, banking_industry)
(Securities_and_Exchange_Commission, negative_impact_on, Bitcoin_ETF)
(shareholders, impact, companies)
(William_Taylor, relates_to, US_Government)
(William_Taylor, relates_to, Securities_and_Exchange_Commission)
(US_Government, relates_to, U.S.-China_trade_dispute)
(US_Government, negative_impact_on, Kellyanne_Conway)
(US_Government, impact_on, investment_in_China)","(William_Taylor, relates_to, US_Government)
(US_Government, impact_on, investment_in_China)
(shareholders, influence_on, companies)",node_removal(66→None); node_removal(1219→None); node_removal(1906→None)
6,1,node_removal,0.2727272727272727,0.9960877617443044,"Economic data relates to inflation and has an impact on trade discussions. Additionally, the market is interconnected with economic data and it significantly impacts emerging-market currencies. Furthermore, the market is a member of the United Kingdom, reflecting its broader economic landscape.","Economic data relates to inflation and impacts trade discussions. The market is connected to this economic data and also has an impact on emerging-market currencies. Furthermore, the market is a member of the United Kingdom, indicating its inclusion within this economic framework.","(economic data, Relate_To, Inflation)
(economic data, Impact, Trade Discussions)
(market, Relate_To, economic data)
(market, Impact, Emerging-Market Currencies)
(market, Is_Member_Of, United Kingdom)","(market, Is_Member_Of, United Kingdom)","(Economic_data, relates_to, inflation)
(Economic_data, has_impact_on, trade_discussions)
(Market, interconnected_with, Economic_data)
(Market, has_impact_on, emerging-market_currencies)
(Market, member_of, United_Kingdom)","(Economic_data, relates_to, inflation)
(Economic_data, impacts, trade_discussions)
(Market, connected_to, Economic_data)
(Market, has_impact_on, emerging-market_currencies)
(Market, member_of, United_Kingdom)",node_removal(25→None); node_removal(1084→None); node_removal(8586→None)
7,0,edge_replacement,0.9230769230769232,0.8299639728607473,"Chinese Steelmakers are noted to negatively impact U.S. Tariffs, which have a cascading effect on multiple fronts. The tariffs impact Beijing and influence the flow of Chinese imports. These measures also have implications for consumers, who, besides being impacted by the tariffs, are members of Alphabet Inc. Additionally, consumer behavior significantly impacts GDP Growth, highlighting the interconnected nature of modern economic systems.","Chinese Steelmakers have a positive impact on U.S. tariffs, adjusting foreign trade dynamics. These U.S. tariffs subsequently affect Beijing, influencing governmental strategy and policy adjustments, while equally impacting the influx of Chinese imports. Moreover, U.S. tariffs play a significant role in shaping consumer behavior and market conditions. Meanwhile, consumers contribute to the composition of market metrics as they are members of Alphabet Inc., a major tech conglomerate, and their spending patterns can influence GDP growth, highlighting the interconnected nature of global economic factors.","(Chinese Steelmakers, Negative_Impact_On, U.S. Tariffs)
(Consumer, Is_Member_Of, Alphabet Inc.)
(Consumer, Impact, GDP Growth)
(U.S. Tariffs, Impact, Beijing)
(U.S. Tariffs, Impact, Chinese Imports)
(U.S. Tariffs, Impact, Consumer)","(Chinese Steelmakers, Positive_Impact_On, U.S. Tariffs)
(Consumer, Is_Member_Of, Alphabet Inc.)
(Consumer, Impact, GDP Growth)
(U.S. Tariffs, Impact, Beijing)
(U.S. Tariffs, Impact, Chinese Imports)
(U.S. Tariffs, Impact, Consumer)","(Chinese_Steelmakers, impact, U.S._Tariffs)
(U.S._Tariffs, affect, Beijing)
(U.S._Tariffs, influence, Chinese_imports)
(U.S._Tariffs, impact, consumers)
(consumers, member_of, Alphabet_Inc)
(consumer_behavior, impact, GDP_Growth)","(Chinese_Steelmakers, impact, U.S._Tariffs)
(U.S._Tariffs, affect, Beijing)
(U.S._Tariffs, influence, Chinese_imports)
(U.S._Tariffs, influence, governmental_strategy)
(U.S._Tariffs, influence, policy_adjustments)
(U.S._Tariffs, shape, consumer_behavior)
(U.S._Tariffs, shape, market_conditions)
(consumers, member_of, Alphabet_Inc)
(consumers, contribute_to, market_metrics)
(consumer_spending_patterns, influence, GDP_Growth)",edge_replacement(11680→3686)
8,1,node_replacement,0.8461538461538461,0.9591364957954672,"Blackstone has a significant relationship with Wall Street and actively invests in Switzerland. Furthermore, Blackstone operates in Saudi Arabia. Switzerland is interconnected with various international economic elements, such as trade deficits, the European Union, and China.","Blackstone, a prominent financial entity, has various connections and operations that highlight its significant role in global finance. It relates to Wall Street, showcasing its involvement with one of the world's major financial centers. Furthermore, Blackstone invests in Switzerland, a country known for its banking prowess and strategic economic alliances. In addition to this investment, Blackstone operates in Saudi Arabia, indicating a diverse geographic span of activities. Switzerland itself maintains connections with several important economic factors; it relates to trade deficits, signaling its role in international trade dynamics. Additionally, Switzerland has established relationships with the European Union and China, two influential players in global commerce and economics.","(Blackstone, Relate_To, Wall Street)
(Blackstone, Invests_In, Switzerland)
(Blackstone, Operate_In, Saudi Arabia)
(Switzerland, Relate_To, Trade Deficits)
(Switzerland, Relate_To, European Union)
(Switzerland, Relate_To, China)","(Blackstone, Relate_To, Derby)
(Blackstone, Invests_In, Switzerland)
(Blackstone, Operate_In, Saudi Arabia)
(Switzerland, Relate_To, US Money Supply)
(Switzerland, Relate_To, European Union)
(Switzerland, Relate_To, China)","(Blackstone, significant_relationship_with, Wall_Street)
(Blackstone, actively_invests_in, Switzerland)
(Blackstone, operates_in, Saudi_Arabia)
(Switzerland, interconnected_with, trade_deficits)
(Switzerland, interconnected_with, European_Union)
(Switzerland, interconnected_with, China)","(Blackstone, prominent_financial_entity, global_finance)
(Blackstone, relates_to, Wall_Street)
(Blackstone, invests_in, Switzerland)
(Switzerland, known_for, banking_prowess)
(Switzerland, known_for, strategic_economic_alliances)
(Blackstone, operates_in, Saudi_Arabia)
(Switzerland, maintains_connections_with, trade_deficits)
(Switzerland, related_to, international_trade_dynamics)
(Switzerland, established_relationships_with, European_Union)
(Switzerland, established_relationships_with, China)
(European_Union, influential_player_in, global_commerce)
(China, influential_player_in, global_economics)",node_replacement(354→None); node_replacement(2843→None)
9,0,node_replacement,0.7777777777777778,0.5712696443491128,"The investigation, which has an impact on Tesla Inc., is related to Congress, highlighting its broader significance. Robert Swan plays a pivotal role in controlling this investigation, as well as overseeing the Community involved in it. This web of interactions underscores the complexity of the situation and the significant influence Robert Swan holds within this context.","Steve Penny has control over an investigation as well as the Community, guiding the direction and development of both. This investigation impacts Tesla Inc., shedding light on potential influences or outcomes related to the company. Furthermore, the investigation is related to the Military, suggesting broader implications that may affect both sectors.","(investigation, Impact, Tesla Inc.)
(investigation, Relate_To, Congress)
(Robert Swan, Control, investigation)
(Robert Swan, Control, Community)","(investigation, Impact, Tesla Inc.)
(investigation, Relate_To, Military)
(Steve Penny, Control, investigation)
(Steve Penny, Control, Community)","(investigation, impact_on, Tesla_Inc.)
(investigation, related_to, Congress)
(Robert_Swan, controls, investigation)
(Robert_Swan, oversees, Community)
(Robert_Swan, plays_pivotal_role_in, investigation)
(investigation, involves, Community)
(Robert_Swan, holds_influence_in, context)","(Steve_Penny, controls, investigation)
(Steve_Penny, controls, Community)
(Steve_Penny, guides, investigation)
(Steve_Penny, guides, Community)
(investigation, impact_on, Tesla_Inc.)
(investigation, related_to, Military)
(investigation, sheds_light_on, potential_influences_or_outcomes)
(potential_influences_or_outcomes, related_to, Tesla_Inc.)",node_replacement(11295→None); node_replacement(54→None)
