pair_id,response1,response2,label,perturbation_type,dataset_name
0,"Germany maintains diplomatic relations with Albania, Burkina Faso, and South Sudan. Cornelia Schmalz-Jacobsen is a citizen of Germany, where she is a member of the Free Democratic Party and speaks, writes, or signs in German. Burkina Faso is a member of both the OHADA and the African Union, and it shares a border with Mali. Additionally, Albania is a member of the International Development Association.","Germany maintains diplomatic relations with several countries, including Albania, Burkina Faso, and South Sudan. Cornelia Schmalz-Jacobsen is a citizen of Germany, where she speaks German and is a member of the Free Democratic Party. Burkina Faso is a member of both OHADA and the African Union and shares a border with Mali. Furthermore, Albania is a member of the International Development Association.",1,node_removal,semantic_kg_codex
1,"Russia maintains diplomatic relations with Nauru and is a member of the International Telecommunication Union. It shares a border with Georgia, which, in turn, has diplomatic relations with Albania, Turkey, and Ukraine. Meanwhile, Egypt also engages in diplomatic relations, notably with Taiwan and Slovenia, and shares its border with the Gaza Strip. The United Kingdom has diplomatic relations with both Russia and Egypt, and it is a member of the International Centre for Settlement of Investment Disputes. Furthermore, Nauru is a member of Interpol. Roy Ewans was born in Torquay, holds citizenship in the United Kingdom, and passed away in Surrey.","Russia maintains diplomatic relations with Nauru, and it is a member of the International Telecommunication Union. Additionally, Russia shares a border with Georgia, which also has diplomatic relations with Albania, Turkey, and Ukraine. Egypt is another country with notable diplomatic relations; it maintains these with Taiwan and Slovenia and shares its border with the Gaza Strip. The United Kingdom has diplomatic relations with both Russia and Egypt, and is a member of the International Centre for Settlement of Investment Disputes. Nauru is a member of Interpol. Roy Ewans, who was born in Torquay and had United Kingdom citizenship, passed away in Surrey.",1,edge_deletion,semantic_kg_codex
2,"Greg Shaw was a music critic who held citizenship in the United States of America. He passed away in Los Angeles, a city that shares borders with San Pedro and Santa Monica, and is located within Los Angeles County. The United States of America maintains diplomatic relations with several countries, including the Democratic Republic of the Congo, Lesotho, and Sudan.","Greg Shaw was a dub actor, who held citizenship in Great Moravia. He passed away in Los Angeles, a city that shares borders with San Pedro and Santa Monica, and is located within Los Angeles County. Great Moravia maintained diplomatic relations with several countries, including the Democratic Republic of the Congo, Lesotho, and Sudan.",0,node_replacement,semantic_kg_codex
3,"Uruguay maintains diplomatic relations with the Netherlands, the Dominican Republic, and Israel. The United Kingdom also has diplomatic relations with Uruguay, Armenia, and Trinidad and Tobago. Armenia, whose capital is Yerevan, is a member of the Asian Development Bank and has diplomatic relations with Germany.","Uruguay maintains diplomatic relations with the Netherlands, the Dominican Republic, and Israel. The United Kingdom also has diplomatic relations with Uruguay, Armenia, and Trinidad and Tobago. Additionally, Armenia has diplomatic relations with Germany, is a member of the Asian Development Bank, and its capital is Yerevan.",1,node_replacement,semantic_kg_codex
4,"France maintains diplomatic relations with Tunisia, Mauritius, and Peru. Tunisia is also a member of the International Atomic Energy Agency and the International Finance Corporation, and it has diplomatic relations with Germany. Mauritius is a member of Interpol. Gabrielle Wittkop, a writer who was born in Nantes, holds French citizenship.","France maintains diplomatic relations with both Mauritius and Peru. Gabrielle Wittkop, who was born in Nantes, worked as a writer. Mauritius is a member of Interpol, while Tunisia holds membership in both the International Atomic Energy Agency and the International Finance Corporation, and also has diplomatic relations with Germany.",0,edge_deletion,semantic_kg_codex
5,"Pandurang Sadashiv Sane was a social worker and translator who held Indian citizenship. His home country, India, has established diplomatic relations with several nations, including Syria, Uruguay, and Laos. Laos, on the other hand, is a member of the International Bank for Reconstruction and Development and the Asian Development Bank, and it maintains diplomatic ties with Australia. Meanwhile, Syria shares a border with Lebanon and is a member of both the Universal Postal Union and the International Telecommunication Union. Uruguay also has diplomatic relations with the Netherlands.","Pandurang Sadashiv Sane, a translator, holds Indian citizenship. India maintains diplomatic relations with Syria, Uruguay, and Laos. Syria is a member of both the Universal Postal Union and the International Telecommunication Union, and shares a border with Lebanon. Additionally, Laos is a member of the International Bank for Reconstruction and Development, while Uruguay has diplomatic relations with the Netherlands.",0,node_removal,semantic_kg_codex
6,"Franz Peter Wirth is a screenwriter and film director who holds citizenship in Germany. Germany maintains diplomatic relations with both the Marshall Islands and Finland, and it is a member of the United Nations Industrial Development Organization. The Marshall Islands shares a border with Nauru and has diplomatic relations with Palau, while also being a member of the Alliance of Small Island States. Furthermore, Finland is a member of the Arctic Council.","Franz Peter Wirth is a screenwriter and film director who holds citizenship in Germany. Germany has diplomatic relations with both the Marshall Islands and Finland, and it is also a member of the United Nations Industrial Development Organization. The Marshall Islands shares a border with Nauru and has diplomatic relations with Palau. Additionally, the Marshall Islands is a member of the Alliance of Small Island States, while Finland is a member of the Arctic Council.",1,edge_replacement,semantic_kg_codex
7,"The Soviet Union shares borders with the Polish People's Republic and Iran and has diplomatic relations with the German Democratic Republic. Jesper Palm Lundorf, a citizen of Denmark, is both an athlete and a police officer. Denmark maintains diplomatic relations with Turkey, the Soviet Union, and Romania.","The Soviet Union shares borders with both the Polish People's Republic and Iran, while also maintaining diplomatic relations with the German Democratic Republic. On another note, Jesper Palm Lundorf is known for his occupations as an athlete and a police officer. Furthermore, Denmark has established diplomatic relations with Turkey and Romania, indicating a network of international ties.",0,edge_deletion,semantic_kg_codex
8,"Germany is a member of the Caribbean Development Bank and has established diplomatic relations with Russia. Georgia also has diplomatic relations with several countries, including Cambodia, Saudi Arabia, and Bangladesh. Jamaica is a member of the Multilateral Investment Guarantee Agency and maintains diplomatic relations with both Georgia and Germany. Additionally, Deborah Anzinger, a sculptor and visual artist, holds Jamaican citizenship.","Germany is a member of the Caribbean Development Bank and maintains diplomatic relations with Russia. Georgia also has diplomatic relations with Cambodia, Saudi Arabia, and Bangladesh. Jamaica, in addition to being a member of the Multilateral Investment Guarantee Agency, has diplomatic relations with both Georgia and Germany. Deborah Anzinger, a sculptor and visual artist, holds citizenship in Jamaica.",1,node_replacement,semantic_kg_codex
9,"Clarence Andrew Cannon was a lawyer and a member of the Democratic Party in the United States of America. The United States of America is a member of the United Nations and maintains diplomatic relations with Kuwait and Kyrgyzstan. Kuwait is a member of the Organisation for the Prohibition of Chemical Weapons and has diplomatic relations with Saudi Arabia. Meanwhile, Kyrgyzstan is a member of both the International Development Association and the Shanghai Cooperation Organisation, and it also shares diplomatic relations with Bangladesh.","Snow is a lawyer and a member of the Democratic Party in the United States of America, where he holds citizenship. The United States of America is a member of the United Nations and maintains diplomatic relations with both Kuwait and Kyrgyzstan. Kuwait is part of the Organisation for the Prohibition of Chemical Weapons and shares diplomatic ties with Saudi Arabia. Kyrgyzstan is a member of the International Development Association and the Strategic Airlift Capability, while also having diplomatic relations with Bangladesh.",0,node_replacement,semantic_kg_codex
10,"Iran maintains diplomatic relations with Serbia, South Korea, and South Africa. In addition, South Africa has an official language, which is Xhosa, and serves as a diplomatic partner to Bolivia, with Pretoria as its capital city. Serbia shares a border with North Macedonia and has diplomatic relations with both Portugal and Oman. Meanwhile, South Korea engages in diplomatic relations with Brazil and is a member of UNESCO and the Nuclear Suppliers Group. Bolivia is part of the Organization of American States and the World Trade Organization, while also sharing a border with Argentina. Abbas Mirza was a citizen of Iran, spoke Persian, and is buried in Mashhad.","Serbia maintains diplomatic relations with Portugal. Additionally, Bolivia is a member of the Organization of American States.",0,node_removal,semantic_kg_codex
11,"Marina Remnyova is employed by Moscow State University and has her citizenship in Russia. She received her education at the Philological Faculty of Moscow State University. Additionally, Kenya maintains diplomatic relations with both Nigeria and India, while Russia has diplomatic relations with Kenya and Libya, and shares a border with the People's Republic of China, which also has diplomatic relations with Grenada.","Marina Remnyova is employed by Moscow State University and holds citizenship in Russia. She received her education at the Philological Faculty of Moscow State University. In the realm of international relations, Kenya maintains diplomatic relations with both Nigeria and India. Additionally, Russia has established diplomatic relations with Kenya and Libya, and it shares a border with the People's Republic of China, which has diplomatic relations with Grenada.",1,node_replacement,semantic_kg_codex
12,"Ukraine has diplomatic relations with both the Philippines and the Netherlands, as well as being a member of UNESCO. The Netherlands also maintains diplomatic relations with Israel and Germany and is a member of the Universal Postal Union. Serhiy Tihipko holds citizenship in Ukraine and is recognized as both a banker and an economist.","Bulgaria has established diplomatic relations with both the Philippines and the Netherlands, and it is a member of UNESCO. The Netherlands also maintains diplomatic relations with Antigua and Barbuda as well as Germany, and is a member of the Universal Postal Union. Additionally, Serhiy Tihipko, who is a banker and economist, holds Bulgarian citizenship.",0,node_replacement,semantic_kg_codex
13,"Christos Yiannopoulos is a writer who was born in Patras, a city in Greece. He holds German citizenship, and Germany maintains diplomatic relations with Niger, Peru, and Paraguay. Additionally, Greece is a member of both Interpol and NATO.",Christos Yiannopoulos is a writer who was born in Patras.,0,node_removal,semantic_kg_codex
14,"Kiribati is a member of the Universal Postal Union and maintains diplomatic relations with both Georgia and Spain. The United States of America shares a border with Kiribati and also has diplomatic relations with Ethiopia and Fiji. Vonda N. McIntyre, a writer who was born in Louisville, holds citizenship in the United States of America. Ethiopia is part of East Africa and has established diplomatic relations with Finland.",Vonda N. McIntyre was a writer who was born in Louisville.,0,node_removal,semantic_kg_codex
